pos,change,player,player_id,country_id,country_name,country,team_id,team_name,team_url,points,careerbest,rankdate,player_url
1,( - ),Sikandar Raza,25422,10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,328,328 v South Africa at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/25422/sikandar-raza
2,(+1),Hardik Pandya,63751,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,284,285 v Zimbabwe at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/63751/hardik-pandya
3,(-1),Saim Ayub,70241,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,275,303 v India at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/70241/saim-ayub
4,( - ),Dipendra Singh Airee,66061,170,Nepal,NEP,637,Nepal,https://www.icc-cricket.com/teams/637/nepal-men/,244,244 v Scotland at Mumbai 2026,2026-03-01,https://www.icc-cricket.com/rankings/66061/dipendra-singh-airee
5,( - ),Azmatullah Omarzai,67516,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,241,244 v United Arab Emirates at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/67516/azmatullah-omarzai
6,( - ),Roston Chase,58071,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,239,255 v New Zealand at Auckland 2025,2026-03-01,https://www.icc-cricket.com/rankings/58071/roston-chase
7,(+1),Mohammad Nabi,7797,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,209,361 v Bangladesh at Mirpur 2019,2026-03-01,https://www.icc-cricket.com/rankings/7797/mohammad-nabi
8,(+1),Mohammad Nawaz,57935,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,203,230 v Australia at Lahore 2026,2026-03-01,https://www.icc-cricket.com/rankings/57935/mohammad-nawaz
9,(-2),Shivam Dube,66044,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,202,216 v South Africa at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/66044/shivam-dube
10,( - ),Romario Shepherd,66243,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,197,212 v New Zealand at Dunedin 2025,2026-03-01,https://www.icc-cricket.com/rankings/66243/romario-shepherd
11,(+8),Jason Holder,10232,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,194,194 v India at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/10232/jason-holder
12,(+3),Mitchell Santner,57903,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,189,189 v England at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/57903/mitchell-santner
13,(-2),Rashid Khan,65748,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,183,183 v Canada at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/65748/rashid-khan
14,(-2),Gerhard Erasmus,57890,18,Namibia,NAM,20,Namibia,https://www.icc-cricket.com/teams/20/namibia-men/,180,190 v Zimbabwe at Namibia 2023,2026-03-01,https://www.icc-cricket.com/rankings/57890/gerhard-erasmus
15,(-2),Marcus Stoinis,4311,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,175,235 v Namibia at Antigua 2024,2026-03-01,https://www.icc-cricket.com/rankings/4311/marcus-stoinis
16,(-2),Benjamin Manenti,70728,125,Italy,ITA,1298,Italy,https://www.icc-cricket.com/teams/1298/italy-men/,172,172 v West Indies at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/70728/benjamin-manenti
17,(+3),Dasun Shanaka,59067,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,166,166 v Pakistan at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/59067/dasun-shanaka
18,(-1),Sam Curran,65584,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,163,169 v Italy at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/65584/sam-curran
=,(+13),Will Jacks,66927,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,163,163 v New Zealand at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/66927/will-jacks
20,(-2),Axar Patel,62576,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,162,190 v South Africa at New Chandigarh 2025,2026-03-01,https://www.icc-cricket.com/rankings/62576/axar-patel
21,(-5),Wanindu Hasaranga,65027,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,160,243 v Afghanistan at Dambulla 2024,2026-03-01,https://www.icc-cricket.com/rankings/65027/wanindu-hasaranga
22,(-1),Shadab Khan,65739,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,149,199 v Afghanistan at Sharjah 2023,2026-03-01,https://www.icc-cricket.com/rankings/65739/shadab-khan
23,(-1),Aiden Markram,64219,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,148,214 v India at Gqeberha 2023,2026-03-01,https://www.icc-cricket.com/rankings/64219/aiden-markram
24,(-1),Kushal Bhurtel,66128,170,Nepal,NEP,637,Nepal,https://www.icc-cricket.com/teams/637/nepal-men/,146,146 v Scotland at Mumbai 2026,2026-03-01,https://www.icc-cricket.com/rankings/66128/kushal-bhurtel
25,(-1),Bas de Leede,67717,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,143,143 v India at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/67717/bas-de-leede
26,(-1),Glenn Maxwell,10085,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,142,375 v Sri Lanka at Colombo (RPS) 2016,2026-03-01,https://www.icc-cricket.com/rankings/10085/glenn-maxwell
27,(-2),Liam Livingstone,63940,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,139,261 v West Indies at Barbados 2024,2026-03-01,https://www.icc-cricket.com/rankings/63940/liam-livingstone
28,( - ),Gareth Delany,67568,13,Ireland,IRE,13,Ireland,https://www.icc-cricket.com/teams/13/ireland-men/,136,174 v Afghanistan at Greater Noida 2020,2026-03-01,https://www.icc-cricket.com/rankings/67568/gareth-delany
29,(+8),George Linde,57533,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,135,135 v Zimbabwe at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/57533/george-linde
30,(-1),Michael Leask,63917,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,134,134 v Nepal at Mumbai 2026,2026-03-01,https://www.icc-cricket.com/rankings/63917/michael-leask
=,(-1),Cameron Green,66870,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,134,157 v South Africa at Darwin 2025,2026-03-01,https://www.icc-cricket.com/rankings/66870/cameron-green
=,(-3),Abhishek Sharma,66799,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,134,163 v Bangladesh at Dubai 2025,2026-03-01,https://www.icc-cricket.com/rankings/66799/abhishek-sharma
33,(+16),Rachin Ravindra,66053,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,132,132 v England at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/66053/rachin-ravindra
