pos,change,player,player_id,country_id,country_name,country,team_id,team_name,team_url,points,careerbest,rankdate,player_url
1,( - ),Abhishek Sharma,66799,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,874,931 v Sri Lanka at Dubai 2025,2026-03-01,https://www.icc-cricket.com/rankings/66799/abhishek-sharma
2,(+1),Sahibzada Farhan,64076,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,848,848 v Sri Lanka at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/64076/sahibzada-farhan
3,(-1),Phil Salt,65632,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,803,881 v West Indies at Barbados 2024,2026-03-01,https://www.icc-cricket.com/rankings/65632/phil-salt
4,(+1),Ishan Kishan,64712,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,783,783 v West Indies at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/64712/ishan-kishan
5,(-1),Pathum Nissanka,66368,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,766,796 v Zimbabwe at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/66368/pathum-nissanka
6,(+1),Tilak Varma,70761,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,749,845 v England at Chennai 2025,2026-03-01,https://www.icc-cricket.com/rankings/70761/tilak-varma
7,(-1),Suryakumar Yadav,11803,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,739,912 v New Zealand at Ranchi 2023,2026-03-01,https://www.icc-cricket.com/rankings/11803/suryakumar-yadav
8,(+1),Dewald Brevis,84562,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,737,737 v Zimbabwe at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/84562/dewald-brevis
9,(-1),Jos Buttler,9782,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,716,794 v South Africa at Old Trafford 2025,2026-03-01,https://www.icc-cricket.com/rankings/9782/jos-buttler
10,( - ),Tim Seifert,63867,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,712,740 v United Arab Emirates at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/63867/tim-seifert
11,(+6),Brian Bennett,87227,10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,701,708 v India at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/87227/brian-bennett
12,(-1),Travis Head,62023,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,700,885 v Scotland at Edinburgh 2024,2026-03-01,https://www.icc-cricket.com/rankings/62023/travis-head
13,(+2),Ryan Rickelton,64941,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,697,697 v Zimbabwe at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/64941/ryan-rickelton
14,(-2),Mitchell Marsh,10094,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,689,694 v India at Melbourne 2025,2026-03-01,https://www.icc-cricket.com/rankings/10094/mitchell-marsh
15,(-2),Ibrahim Zadran,67519,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,678,678 v Canada at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/67519/ibrahim-zadran
16,(+4),Aiden Markram,64219,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,668,801 v England at Sharjah 2021,2026-03-01,https://www.icc-cricket.com/rankings/64219/aiden-markram
17,(-3),Shai Hope,63797,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,667,712 v Australia at St Kitts 2025,2026-03-01,https://www.icc-cricket.com/rankings/63797/shai-hope
18,(-2),Rahmanullah Gurbaz,68027,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,662,672 v South Africa at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/68027/rahmanullah-gurbaz
19,(-1),Harry Brook,66374,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,650,652 v Pakistan at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/66374/harry-brook
20,(-1),Kusal Mendis,63882,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,633,666 v Australia at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/63882/kusal-mendis
21,( - ),Tanzid Hasan,70206,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,631,636 v West Indies at Chittagong 2025,2026-03-01,https://www.icc-cricket.com/rankings/70206/tanzid-hasan
22,( - ),Saiteja Mukkamalla,95043,20,USA,USA,22,USA,https://www.icc-cricket.com/teams/22/usa-men/,620,636 v Netherlands at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/95043/saiteja-mukkamalla
