pos,change,player,player_id,country_id,country_name,country,team_id,team_name,team_url,points,careerbest,rankdate,player_url
1,( - ),Varun Chakaravarthy,67469,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,771,818 v South Africa at Dharamsala 2025,2026-03-01,https://www.icc-cricket.com/rankings/67469/varun-chakaravarthy
2,( - ),Rashid Khan,65748,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,753,828 v Bangladesh at Dehradun 2018,2026-03-01,https://www.icc-cricket.com/rankings/65748/rashid-khan
3,(+2),Abrar Ahmed,66884,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,736,757 v Netherlands at Colombo (SSC) 2026,2026-03-01,https://www.icc-cricket.com/rankings/66884/abrar-ahmed
4,(-1),Corbin Bosch,63605,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,730,745 v West Indies at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/63605/corbin-bosch
5,(-1),Adil Rashid,4661,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,719,747 v West Indies at Barbados 2022,2026-03-01,https://www.icc-cricket.com/rankings/4661/adil-rashid
6,( - ),Adam Zampa,58913,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,682,746 v Sri Lanka at Sydney 2022,2026-03-01,https://www.icc-cricket.com/rankings/58913/adam-zampa
7,(+1),Jasprit Bumrah,63755,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,671,783 v England at Bengaluru 2017,2026-03-01,https://www.icc-cricket.com/rankings/63755/jasprit-bumrah
8,(-1),Matthew Forde,74165,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,667,679 v Zimbabwe at Mumbai 2026,2026-03-01,https://www.icc-cricket.com/rankings/74165/matthew-forde
9,( - ),Mustafizur Rahman,63881,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,665,718 v Sri Lanka at Colombo (RPS) 2017,2026-03-01,https://www.icc-cricket.com/rankings/63881/mustafizur-rahman
10,(+2),Mujeeb Ur Rahman,67540,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,663,757 v Ireland at Greater Noida 2020,2026-03-01,https://www.icc-cricket.com/rankings/67540/mujeeb-ur-rahman
11,(+4),Nathan Ellis,70324,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,661,678 v India at Queensland 2025,2026-03-01,https://www.icc-cricket.com/rankings/70324/nathan-ellis
12,( - ),Mohammad Nawaz,57935,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,658,672 v Namibia at Colombo (SSC) 2026,2026-03-01,https://www.icc-cricket.com/rankings/57935/mohammad-nawaz
13,(+6),Arshdeep Singh,67905,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,653,679 v England at Kolkata 2025,2026-03-01,https://www.icc-cricket.com/rankings/67905/arshdeep-singh
14,(+9),Liam Dawson,4266,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,652,652 v New Zealand at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/4266/liam-dawson
=,(+2),Maheesh Theekshana,69274,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,652,686 v New Zealand at Bay Oval 2024,2026-03-01,https://www.icc-cricket.com/rankings/69274/maheesh-theekshana
16,(-6),Wanindu Hasaranga,65027,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,651,809 v West Indies at Abu Dhabi 2021,2026-03-01,https://www.icc-cricket.com/rankings/65027/wanindu-hasaranga
=,(-6),Brad Evans,69377,10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,651,680 v Australia at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/69377/brad-evans
18,(-6),Jacob Duffy,57672,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,650,750 v South Africa at Harare 2025,2026-03-01,https://www.icc-cricket.com/rankings/57672/jacob-duffy
19,(-2),Akeal Hosein,57239,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,638,726 v Bangladesh at Chittagong 2025,2026-03-01,https://www.icc-cricket.com/rankings/57239/akeal-hosein
20,(+6),Lungi Ngidi,64225,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,637,637 v Zimbabwe at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/64225/lungi-ngidi
21,(-3),Salman Mirza,83489,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,636,645 v Namibia at Colombo (SSC) 2026,2026-03-01,https://www.icc-cricket.com/rankings/83489/salman-mirza
22,(-1),Mahedi Hasan,65473,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,634,636 v West Indies at St. Vincent 2024,2026-03-01,https://www.icc-cricket.com/rankings/65473/mahedi-hasan
23,(+1),Axar Patel,62576,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,629,667 v Afghanistan at Indore 2024,2026-03-01,https://www.icc-cricket.com/rankings/62576/axar-patel
24,(+1),Jofra Archer,64254,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,624,668 v India at Chennai 2025,2026-03-01,https://www.icc-cricket.com/rankings/64254/jofra-archer
25,(+4),Mitchell Santner,57903,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,622,735 v Pakistan at Wellington 2018,2026-03-01,https://www.icc-cricket.com/rankings/57903/mitchell-santner
=,(-6),Marco Jansen,69409,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,622,639 v India at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/69409/marco-jansen
27,( - ),Rishad Hossain,70203,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,619,630 v Sri Lanka at Colombo (RPS) 2025,2026-03-01,https://www.icc-cricket.com/rankings/70203/rishad-hossain
28,(-7),Gudakesh Motie,64262,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,617,715 v Sri Lanka at Dambulla 2024,2026-03-01,https://www.icc-cricket.com/rankings/64262/gudakesh-motie
29,(-1),Matthew Humphreys,85951,13,Ireland,IRE,13,Ireland,https://www.icc-cricket.com/teams/13/ireland-men/,615,615 v Oman at Colombo (SSC) 2026,2026-03-01,https://www.icc-cricket.com/rankings/85951/matthew-humphreys
30,(+11),Matt Henry,60544,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,613,614 v England at Christchurch 2025,2026-03-01,https://www.icc-cricket.com/rankings/60544/matt-henry
31,(-1),Brad Currie,93065,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,611,615 v England at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/93065/brad-currie
32,( - ),Xavier Bartlett,66516,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,607,607 v Oman at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/66516/xavier-bartlett
33,(+5),Dunith Wellalage,69651,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,605,605 v Pakistan at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/69651/dunith-wellalage
34,(+8),Sikandar Raza,25422,10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,603,607 v Oman at Colombo (SSC) 2026,2026-03-01,https://www.icc-cricket.com/rankings/25422/sikandar-raza
35,(-2),Josh Hazlewood,4255,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,602,808 v Sri Lanka at Sydney 2022,2026-03-01,https://www.icc-cricket.com/rankings/4255/josh-hazlewood
=,(-4),Shaheen Afridi,66833,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,602,636 v Australia at Lahore 2022,2026-03-01,https://www.icc-cricket.com/rankings/66833/shaheen-afridi
37,(-2),Nasum Ahmed,57999,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,597,643 v Afghanistan at Mirpur 2022,2026-03-01,https://www.icc-cricket.com/rankings/57999/nasum-ahmed
38,(-2),Harmeet Singh,36489,20,USA,USA,22,USA,https://www.icc-cricket.com/teams/22/usa-men/,592,594 v Netherlands at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/36489/harmeet-singh
39,(-5),Kuldeep Yadav,63187,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,588,737 v New Zealand at Hamilton 2019,2026-03-01,https://www.icc-cricket.com/rankings/63187/kuldeep-yadav
40,(-2),Aryan Dutt,81030,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,581,581 v India at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/81030/aryan-dutt
41,(-1),Azmatullah Omarzai,67516,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,580,587 v United Arab Emirates at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/67516/azmatullah-omarzai
42,(+2),Jason Holder,10232,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,576,610 v New Zealand at Nelson 2025,2026-03-01,https://www.icc-cricket.com/rankings/10232/jason-holder
43,(-6),Matheesha Pathirana,73830,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,574,613 v Oman at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/73830/matheesha-pathirana
44,( - ),Fazalhaq Farooqi,67927,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,569,700 v Pakistan at Sharjah 2023,2026-03-01,https://www.icc-cricket.com/rankings/67927/fazalhaq-farooqi
45,(-2),Ravi Bishnoi,71288,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,558,707 v Australia at Bengaluru 2023,2026-03-01,https://www.icc-cricket.com/rankings/71288/ravi-bishnoi
=,(+1),Jamie Overton,58482,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,558,564 v Pakistan at Pallekele 2026,2026-03-01,https://www.icc-cricket.com/rankings/58482/jamie-overton
47,(+2),Tanzim Hasan Sakib,70921,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,554,560 v Ireland at Chittagong 2025,2026-03-01,https://www.icc-cricket.com/rankings/70921/tanzim-hasan-sakib
48,(-2),Nuwan Thushara,66158,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,552,714 v Afghanistan at Abu Dhabi 2025,2026-03-01,https://www.icc-cricket.com/rankings/66158/nuwan-thushara
49,(-1),Keshav Maharaj,48607,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,544,673 v India at Indore 2022,2026-03-01,https://www.icc-cricket.com/rankings/48607/keshav-maharaj
50,(+1),Hardik Pandya,63751,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,537,550 v Pakistan at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/63751/hardik-pandya
51,(+5),George Linde,57533,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,536,552 v Ireland at Belfast 2021,2026-03-01,https://www.icc-cricket.com/rankings/57533/george-linde
52,(-2),Dushmantha Chameera,58065,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,534,560 v India at Colombo (RPS) 2021,2026-03-01,https://www.icc-cricket.com/rankings/58065/dushmantha-chameera
53,(+14),Kagiso Rabada,63611,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,533,603 v West Indies at Nagpur 2016,2026-03-01,https://www.icc-cricket.com/rankings/63611/kagiso-rabada
54,(-3),Blessing Muzarabani,67784,10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,527,535 v Bangladesh at Harare 2021,2026-03-01,https://www.icc-cricket.com/rankings/67784/blessing-muzarabani
