pos,change,country_id,country,shortname,team_id,team_name,team_url,matches,points,rating,rankdate
1,( - ),4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,83,22613,272,2026-03-01
2,( - ),3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,55,14300,260,2026-03-01
3,( - ),1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,49,12645,258,2026-03-01
4,( - ),5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,64,16002,250,2026-03-01
5,( - ),7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,63,15432,245,2026-03-01
6,( - ),6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,84,20002,238,2026-03-01
7,( - ),9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,74,17424,235,2026-03-01
8,( - ),8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,60,13593,227,2026-03-01
9,( - ),2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,67,14925,223,2026-03-01
10,( - ),262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,52,11504,221,2026-03-01
11,( - ),10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,72,14539,202,2026-03-01
12,( - ),13,Ireland,IRE,13,Ireland,https://www.icc-cricket.com/teams/13/ireland-men/,45,9001,200,2026-03-01
13,( - ),15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,39,7064,181,2026-03-01
14,( - ),16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,27,4836,179,2026-03-01
15,( - ),18,Namibia,NAM,20,Namibia,https://www.icc-cricket.com/teams/20/namibia-men/,39,6940,178,2026-03-01
16,( - ),20,USA,USA,22,USA,https://www.icc-cricket.com/teams/22/usa-men/,37,6562,177,2026-03-01
17,( - ),19,United Arab Emirates,UAE,21,United Arab Emirates,https://www.icc-cricket.com/teams/21/united-arab-emirates-men/,66,11584,176,2026-03-01
18,( - ),170,Nepal,NEP,637,Nepal,https://www.icc-cricket.com/teams/637/nepal-men/,46,8031,175,2026-03-01
19,( - ),12,Canada,CAN,12,Canada,https://www.icc-cricket.com/teams/12/canada-men/,39,5928,152,2026-03-01
20,( - ),181,Oman,OMN,28,Oman,https://www.icc-cricket.com/teams/28/oman-men/,51,7707,151,2026-03-01
21,( - ),240,Uganda,UGN,29,Uganda,https://www.icc-cricket.com/teams/29/uganda-men/,56,7952,142,2026-03-01
22,( - ),184,Papua New Guinea,PNG,750,Papua New Guinea,https://www.icc-cricket.com/teams/750/papua-new-guinea-men/,20,2718,136,2026-03-01
23,( - ),134,Kuwait,KUW,1797,Kuwait,https://www.icc-cricket.com/teams/1797/kuwait-men/,45,5775,128,2026-03-01
24,( - ),17,Hong Kong,HK,19,Hong Kong,"https://www.icc-cricket.com/teams/19/hong-kong,-china-men/",55,7037,128,2026-03-01
25,( - ),149,Malaysia,MAS,552,Malaysia,https://www.icc-cricket.com/teams/552/malaysia-men/,59,7386,125,2026-03-01
26,( - ),125,Italy,ITA,1298,Italy,https://www.icc-cricket.com/teams/1298/italy-men/,22,2680,122,2026-03-01
27,( - ),192,Qatar,QAT,1763,Qatar,https://www.icc-cricket.com/teams/1763/qatar-men/,46,5407,118,2026-03-01
28,( - ),259,Jersey,JSY,1481,Jersey,https://www.icc-cricket.com/teams/1481/jersey-men/,24,2819,117,2026-03-01
29,( - ),37,Bahrain,BRN,1872,Bahrain,https://www.icc-cricket.com/teams/1872/bahrain-men/,81,9430,116,2026-03-01
30,( - ),216,Spain,ESP,1739,Spain,https://www.icc-cricket.com/teams/1739/spain-men/,22,2478,113,2026-03-01
31,( - ),11,Bermuda,BDA,11,Bermuda,https://www.icc-cricket.com/teams/11/bermuda-men/,27,3040,113,2026-03-01
32,( - ),205,Saudi Arabia,SDA,1751,Saudi Arabia,https://www.icc-cricket.com/teams/1751/saudi-arabia-men/,39,4245,109,2026-03-01
