"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AJ Finch","Aaron James Finch","Australia","t20s",103,103,3120,172,14,35.06,2265,137.75,19,2,309,125
"AM Hardie","Aaron Mark Hardie","Australia","t20s",11,11,180,28,3,22.5,149,120.81,0,0,19,5
"AC Voges","Adam Charles Voges","Australia","t20s",5,5,139,51,3,69.5,116,119.83,1,0,8,2
"AC Gilchrist","Adam Craig Gilchrist","Australia","t20s",13,13,272,48,1,22.67,203,133.99,0,0,27,13
"A Zampa","Adam Zampa","Australia","t20s",26,26,70,13,11,4.67,91,76.92,0,0,6,0
"AT Carey","Alex Tyson Carey","Australia","t20s",28,28,267,37,4,11.12,250,106.8,0,0,23,7
"AJ Tye","Andrew James Tye","Australia","t20s",14,14,83,20,6,10.38,79,105.06,0,0,5,4
"A Symonds","Andrew Symonds","Australia","t20s",11,11,337,85,5,56.17,204,165.2,2,0,33,10
"AC Agar","Ashton Charles Agar","Australia","t20s",28,28,277,29,7,13.19,285,97.19,0,0,19,9
"AJ Turner","Ashton James Turner","Australia","t20s",14,14,110,24,5,12.22,133,82.71,0,0,4,2
"BJ Rohrer","Ben James Rohrer","Australia","t20s",1,1,16,16,0,16,14,114.29,0,0,0,1
"BR Dunk","Ben Robert Dunk","Australia","t20s",5,5,99,32,0,19.8,70,141.43,0,0,8,6
"BAD Manenti","Benjamin Andrew Davey Manenti","Australia","t20s",11,11,231,60,1,23.1,161,143.48,2,0,20,12
"BCJ Cutting","Benjamin Colin James Cutting","Australia","t20s",4,4,40,29,0,10,28,142.86,0,0,2,3
"BJ Dwarshuis","Benjamin James Dwarshuis","Australia","t20s",11,11,63,17,3,7.88,83,75.9,0,0,2,1
"BR McDermott","Benjamin Reginald McDermott","Australia","t20s",23,23,342,54,4,18,347,98.56,2,0,17,13
"BW Hilfenhaus","Benjamin William Hilfenhaus","Australia","t20s",3,3,2,2,1,1,10,20,0,0,0,0
"B Stanlake","Billy James Stanlake","Australia","t20s",2,2,9,7,1,9,13,69.23,0,0,0,1
