"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"Abdur Razzak","Abdur Razzak","Bangladesh","t20s",15,15,37,9,7,4.62,68,54.41,0,0,1,0
"Abu Hider","Abu Hider Rony","Bangladesh","t20s",3,3,37,22,2,37,29,127.59,0,0,4,2
"Abu Jayed","Abu Jayed Chowdhury","Bangladesh","t20s",1,1,2,2,0,2,3,66.67,0,0,0,0
"Afif Hossain","Afif Hossain Dhrubo","Bangladesh","t20s",58,58,1031,77,11,21.94,888,116.1,3,0,79,36
"Aftab Ahmed","Aftab Ahmed Chowdhury","Bangladesh","t20s",11,11,203,62,2,22.56,174,116.67,1,0,22,5
"Al-Amin Hossain","Al-Amin Hossain","Bangladesh","t20s",4,4,7,5,2,3.5,12,58.33,0,0,1,0
"Alok Kapali","Alok Kapali","Bangladesh","t20s",7,7,57,19,2,11.4,89,64.04,0,0,3,1
"Aminul Islam Biplob","Aminul Islam Biplob","Bangladesh","t20s",3,3,22,9,2,22,19,115.79,0,0,4,0
"Arafat Sunny","Arafat Sunny","Bangladesh","t20s",6,6,34,10,3,11.33,32,106.25,0,0,3,1
"Ariful Haque","Ariful Haque","Bangladesh","t20s",7,7,54,18,3,13.5,62,87.1,0,0,4,0
"Dhiman Ghosh","Dhiman Ghosh","Bangladesh","t20s",1,1,1,1,1,1,2,50,0,0,0,0
"Farhad Reza","Farhad Reza","Bangladesh","t20s",8,8,65,19,1,9.29,89,73.03,0,0,3,2
"Hasan Mahmud","Hasan Mahmud","Bangladesh","t20s",9,9,50,26,8,50,52,96.15,0,0,0,4
"Imrul Kayes","Imrul Kayes","Bangladesh","t20s",13,13,119,36,3,11.9,141,84.4,0,0,14,3
"Jaker Ali","Jaker Ali Anik","Bangladesh","t20s",38,38,692,72,13,27.68,579,119.52,3,0,36,39
"Shahadat Hossain","Kazi Shahadat Hossain","Bangladesh","t20s",5,5,31,21,1,7.75,42,73.81,0,0,3,0
"Liton Das","Litton Kumer Das","Bangladesh","t20s",107,107,2420,83,6,23.96,1944,124.49,14,0,237,76
"Suhrawadi Shuvo","MD Sohrawordi Shuvo","Bangladesh","t20s",1,1,1,1,1,1,3,33.33,0,0,0,0
"Mahedi Hasan","Mahedi Hasan","Bangladesh","t20s",43,43,408,33,11,12.75,418,97.61,0,0,29,14
"Mahmudul Hasan Joy","Mahmudul Hasan Joy","Bangladesh","t20s",1,1,5,5,0,5,10,50,0,0,0,0
"Mashrafe Mortaza","Mashrafe Bin Mortaza","Bangladesh","t20s",35,35,291,33,11,12.12,230,126.52,0,0,26,15
