"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"A Johnson","Aaron Johnson","Canada","t20s",31,31,910,121,3,32.5,645,141.09,6,2,85,60
"AS Dean","Abzal S Dean","Canada","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"Akhil Kumar","Akhil Kumar","Canada","t20s",6,6,41,14,4,20.5,36,113.89,0,0,3,2
"AS Hansra","Amarbir Singh Hansra","Canada","t20s",7,7,76,30,2,15.2,74,102.7,0,0,4,3
"A Kapoor","Armaan Kapoor","Canada","t20s",1,1,9,9,1,9,4,225,0,0,1,0
"A Bagai","Ashish Bagai","Canada","t20s",4,4,165,67,1,55,157,105.1,1,0,14,0
"BF Calitz","Benjamin Fredeman Calitz","Canada","t20s",9,9,122,26,2,17.43,89,137.08,0,0,7,6
"D Heyliger","Dillon Heyliger","Canada","t20s",36,36,379,30,22,27.07,236,160.59,0,0,24,26
"DS Bajwa","Dilpreet Singh Bajwa","Canada","t20s",19,19,432,56,4,28.8,350,123.43,4,0,43,13
"GDR Eranga","Galkandage Don Romesh Eranga","Canada","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"GEF Barnett","Geoffery Edward Fulton Barnett","Canada","t20s",2,2,66,36,0,33,49,134.69,0,0,9,0
"Hamza Tariq","Hamza Tariq","Canada","t20s",18,18,207,55,8,20.7,151,137.09,1,0,13,10
"H Thaker","Harsh Thaker","Canada","t20s",39,39,732,53,9,24.4,615,119.02,2,0,39,33
"HS Baidwan","Harvir Singh Baidwan","Canada","t20s",5,5,52,21,1,13,43,120.93,0,0,4,1
"H Osinde","Henry Osinde","Canada","t20s",3,3,11,5,1,5.5,15,73.33,0,0,1,0
"H Patel","Hiral Patel","Canada","t20s",10,10,182,51,0,18.2,203,89.66,1,0,15,1
"IS Billcliff","Ian Shaw Billcliff","Canada","t20s",2,2,51,37,1,51,39,130.77,0,0,3,2
"JOA Gordon","Jeremy Oliver Alster Gordon","Canada","t20s",3,3,4,2,3,4,8,50,0,0,0,0
"JM Davison","John Michael Davison","Canada","t20s",2,2,0,0,0,0,4,0,0,0,0,0
"Junaid Siddiqui","Junaid Siddiqui","Canada","t20s",6,6,30,13,3,10,34,88.24,0,0,0,1
"Kaleem Sana","Kaleem Sana Rehman","Canada","t20s",9,9,51,13,5,12.75,54,94.44,0,0,2,3
"K Tathgur","Kanwarpal Tathgur","Canada","t20s",10,10,129,53,3,18.43,118,109.32,1,0,5,8
"Khurram Chohan","Khurram Rasheed Chohan","Canada","t20s",2,2,10,7,1,10,10,100,0,0,1,0
"MS Aulakh","Maninderjit Singh Aulakh","Canada","t20s",1,1,0,0,0,0,2,0,0,0,0,0
"MR Montfort","Mark Rondell Montfort","Canada","t20s",1,1,1,1,1,1,2,50,0,0,0,0
"M Spoors","Matthew Spoors","Canada","t20s",9,9,269,108,2,38.43,231,116.45,1,1,30,6
"Abraash Khan","Muhammad Abraash Khan","Canada","t20s",4,4,66,22,0,16.5,60,110,0,0,7,1
"M Gill","Mukhwinder Gill","Canada","t20s",1,1,15,15,0,15,20,75,0,0,0,0
"NS Dhaliwal","Navneet Singh Dhaliwal","Canada","t20s",43,43,1265,70,7,35.14,975,129.74,11,0,104,55
"NR Kirton","Nicholas Rasheed Kirton","Canada","t20s",36,36,737,69,6,24.57,623,118.3,2,0,48,28
