"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AU Rashid","Adil Usman Rashid","England","t20s",40,40,163,22,20,8.15,192,84.9,0,0,13,1
"AD Mascarenhas","Adrian Dimitri Mascarenhas","England","t20s",12,12,123,31,5,17.57,107,114.95,0,0,8,5
"A Shahzad","Ajmal Shahzad","England","t20s",1,1,0,0,1,0,3,0,0,0,0,0
"AN Cook","Alastair Nathan Cook","England","t20s",4,4,61,26,0,15.25,55,110.91,0,0,10,0
"AD Hales","Alexander Daniel Hales","England","t20s",72,72,2024,116,8,31.62,1482,136.57,12,1,220,69
"A Flintoff","Andrew Flintoff","England","t20s",7,7,76,31,2,15.2,62,122.58,0,0,7,2
"AJ Strauss","Andrew John Strauss","England","t20s",4,4,73,33,0,18.25,68,107.35,0,0,9,0
"AAP Atkinson","Angus Alexander Patrick Atkinson","England","t20s",2,2,10,8,1,10,23,43.48,0,0,0,0
"BM Duckett","Ben Matthew Duckett","England","t20s",21,21,527,84,2,27.74,354,148.87,3,0,69,8
"BA Stokes","Benjamin Andrew Stokes","England","t20s",34,34,576,52,9,23.04,457,126.04,1,0,41,22
"BA Carse","Brydon Alexander Carse","England","t20s",8,8,46,31,3,9.2,37,124.32,0,0,2,3
"CJ Jordan","Christopher James Jordan","England","t20s",51,51,424,36,21,14.13,332,127.71,0,0,29,21
"CMW Read","Christopher Mark Wells Read","England","t20s",1,1,13,13,0,13,11,118.18,0,0,2,0
"CP Schofield","Christopher Paul Schofield","England","t20s",4,4,24,9,3,24,21,114.29,0,0,2,0
"CR Woakes","Christopher Roger Woakes","England","t20s",16,16,147,37,8,18.38,121,121.49,0,0,9,7
"C Kieswetter","Craig Kieswetter","England","t20s",24,24,526,63,2,23.91,474,110.97,3,0,47,23
"DR Mousley","Daniel Richard Mousley","England","t20s",1,1,8,8,0,8,6,133.33,0,0,0,1
"DL Maddy","Darren Lee Maddy","England","t20s",4,4,113,50,1,37.67,80,141.25,1,0,12,3
"DJ Willey","David Jonathan Willey","England","t20s",23,23,206,33,10,15.85,161,127.95,0,0,15,11
"DJ Malan","Dawid Johannes Malan","England","t20s",59,59,1874,103,9,37.48,1464,128.01,16,1,194,62
"EN Gay","Emilio Nico Gay","England","t20s",3,3,64,50,0,21.33,30,213.33,1,0,9,2
"EJG Morgan","Eoin Joseph Gerard Morgan","England","t20s",104,104,2443,91,24,30.54,1838,132.92,14,0,185,120
"GJ Batty","Gareth Jon Batty","England","t20s",1,1,4,4,0,4,7,57.14,0,0,0,0
"GHS Garton","George Henry Simmons Garton","England","t20s",1,1,2,2,0,2,4,50,0,0,0,0
"GP Swann","Graeme Peter Swann","England","t20s",15,15,104,34,10,20.8,91,114.29,0,0,9,1
"HC Brook","Harry Cherrington Brook","England","t20s",54,54,1296,100,12,30.86,870,148.97,6,1,107,60
"I Wardlaw","Iain Wardlaw","England","t20s",1,1,1,1,0,1,3,33.33,0,0,0,0
"IJL Trott","Ian Jonathan Leonard Trott","England","t20s",7,7,138,51,1,23,149,92.62,1,0,9,3
"IR Bell","Ian Ronald Bell","England","t20s",8,8,188,60,1,26.86,166,113.25,1,0,23,2
"JG Bethell","Jacob Graham Bethell","England","t20s",29,29,697,105,5,29.04,482,144.61,3,1,56,40
"JW Dernbach","Jade Winston Dernbach","England","t20s",9,9,31,12,6,10.33,33,93.94,0,0,4,0
"JC Tredwell","James Cullum Tredwell","England","t20s",5,5,32,22,3,16,21,152.38,0,0,4,1
"JM Anderson","James Michael Anderson","England","t20s",2,2,1,1,1,1,2,50,0,0,0,0
"JM Vince","James Michael Vince","England","t20s",16,16,441,59,0,27.56,351,125.64,2,0,43,14
"JS Foster","James Savin Foster","England","t20s",5,5,37,14,2,12.33,32,115.62,0,0,0,1
"JWM Dalrymple","James William Murray Dalrymple","England","t20s",3,3,60,32,0,20,60,100,0,0,6,0
"JL Smith","Jamie Luke Smith","England","t20s",5,5,130,60,0,26,68,191.18,1,0,9,10
"J Overton","Jamie Overton","England","t20s",15,15,88,19,5,8.8,90,97.78,0,0,5,3
"JJ Roy","Jason Jonathan Roy","England","t20s",63,63,1517,78,3,25.28,1138,133.3,8,0,152,70
"JN Snape","Jeremy Nicholas Snape","England","t20s",1,1,7,7,0,7,11,63.64,0,0,0,0
"JC Archer","Jofra Chioke Archer","England","t20s",18,18,114,21,8,11.4,84,135.71,0,0,8,7
"J Lewis","Jonathan Lewis","England","t20s",1,1,1,1,0,1,5,20,0,0,0,0
"JM Bairstow","Jonathan Marc Bairstow","England","t20s",71,71,1667,90,16,30.31,1243,134.11,11,0,147,76
"JM Cox","Jordan Matthew Cox","England","t20s",4,4,88,55,0,22,67,131.34,1,0,9,4
"JC Buttler","Joseph Charles Buttler","England","t20s",139,139,3999,101,26,35.39,2781,143.8,28,1,367,175
"JE Root","Joseph Edward Root","England","t20s",29,29,881,90,7,40.05,719,122.53,5,0,91,15
"JL Denly","Joseph Liam Denly","England","t20s",12,12,125,30,2,12.5,119,105.04,0,0,15,1
"KP Pietersen","Kevin Peter Pietersen","England","t20s",36,36,1176,79,5,37.94,856,137.38,7,0,119,32
"L Gregory","Lewis Gregory","England","t20s",6,6,45,15,0,7.5,41,109.76,0,0,2,2
"LA Dawson","Liam Andrew Dawson","England","t20s",9,9,79,34,3,13.17,70,112.86,0,0,9,2
"LE Plunkett","Liam Edward Plunkett","England","t20s",9,9,42,18,2,6,34,123.53,0,0,3,1
"LS Livingstone","Liam Stephen Livingstone","England","t20s",46,46,926,103,9,25.03,659,140.52,2,1,51,59
"LJ Wright","Luke James Wright","England","t20s",43,43,660,76,3,16.5,515,128.16,3,0,60,25
"L Wood","Luke Wood","England","t20s",2,2,4,3,1,4,6,66.67,0,0,0,0
"ME Trescothick","Marcus Edward Trescothick","England","t20s",3,3,166,72,0,55.33,135,122.96,2,0,23,1
"MA Wood","Mark Andrew Wood","England","t20s",7,7,27,10,6,27,28,96.43,0,0,2,0
"MJ Prior","Matthew James Prior","England","t20s",8,8,127,32,2,21.17,106,119.81,0,0,11,5
"MW Machan","Matthew William Machan","England","t20s",8,8,193,67,4,48.25,143,134.97,2,0,24,2
