"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"Abdul Samad","Abdul Samad Farooq","India","t20s",8,8,84,44,4,21,88,95.45,0,0,5,3
"Abhishek Sharma","Abhishek Sharma","India","t20s",41,41,1312,135,4,35.46,712,184.27,8,2,125,89
"AM Rahane","Ajinkya Madhukar Rahane","India","t20s",20,20,375,61,2,20.83,347,108.07,1,0,32,6
"AB Agarkar","Ajit Bhalchandra Agarkar","India","t20s",2,2,15,14,1,15,11,136.36,0,0,2,0
"AP Yadav","Akash Yadav","India","t20s",38,38,962,79,8,32.07,949,101.37,6,0,98,19
"AT Rayudu","Ambati Thirupathi Rayudu","India","t20s",5,5,42,20,1,10.5,51,82.35,0,0,5,0
"A Sharma","Amita Sharma","India","t20s",18,18,439,74,1,25.82,387,113.44,4,0,50,12
"A Chaudhary","Anil Chaudhary","India","t20s",4,4,42,37,0,10.5,45,93.33,0,0,5,0
"Ansh Patel","Ansh Pradipkumar Patel","India","t20s",1,1,0,0,1,0,1,0,0,0,0,0
"Arshdeep Singh","Arshdeep Singh","India","t20s",26,26,87,12,14,7.25,88,98.86,0,0,9,3
"A Poulose","Arun Poulose Manavalan","India","t20s",3,3,9,9,0,3,16,56.25,0,0,2,0
"A Nehra","Ashish Nehra","India","t20s",5,5,28,22,0,5.6,42,66.67,0,0,1,2
"AB Dinda","Ashok Bhimchandra Dinda","India","t20s",2,2,22,19,1,22,24,91.67,0,0,1,0
"Avesh Khan","Avesh Khan","India","t20s",5,5,27,16,3,13.5,20,135,0,0,3,1
"AR Patel","Axar Rajeshbhai Patel","India","t20s",55,55,688,65,20,19.66,548,125.55,1,0,48,28
"A Awasthi","Ayush Awasthi","India","t20s",5,5,11,4,1,2.75,55,20,0,0,0,0
"BS Sandhu","Balwinder Singh Sandhu","India","t20s",1,1,2,2,0,2,5,40,0,0,0,0
"B Kumar","Bhuvneshwar Kumar Singh","India","t20s",19,19,67,16,11,8.38,95,70.53,0,0,0,0
"C Sakariya","Chetan Sakariya","India","t20s",1,1,5,5,1,5,10,50,0,0,0,0
"DJ Hooda","Deepak Jagbir Hooda","India","t20s",17,17,368,104,5,30.67,262,140.46,0,1,29,18
"DL Chahar","Deepak Lokandersingh Chahar","India","t20s",4,4,53,31,2,26.5,28,189.29,0,0,4,4
"D Padikkal","Devdutt Padikkal","India","t20s",2,2,38,29,0,19,38,100,0,0,2,1
"DS Kulkarni","Dhawal Sunil Kulkarni","India","t20s",1,1,1,1,1,1,2,50,0,0,0,0
"Dhruv Jurel","Dhruv Chand Jurel","India","t20s",3,3,12,6,0,4,23,52.17,0,0,1,0
"D Mongia","Dinesh Mongia","India","t20s",1,1,38,38,0,38,45,84.44,0,0,4,1
"D Ganesh","Doddanarasiah Ganesh","India","t20s",8,8,58,36,2,9.67,84,69.05,0,0,5,2
"Gagandeep Singh","Gagandeep Singh","India","t20s",10,10,44,13,7,14.67,47,93.62,0,0,4,1
"G Gambhir","Gautam Gambhir","India","t20s",34,34,918,75,3,29.61,803,114.32,7,0,108,10
"Harbhajan Singh","Harbhajan Singh","India","t20s",12,12,108,21,4,13.5,94,114.89,0,0,11,4
"Hardeep Singh","Hardeep Singh","India","t20s",1,1,4,4,1,4,1,400,0,0,1,0
"HH Pandya","Hardik Himanshu Pandya","India","t20s",103,103,2109,71,28,28.12,1528,138.02,8,0,153,115
"Harmeet Singh","Harmeet Singh Bansal","India","t20s",21,21,242,38,6,16.13,173,139.88,0,0,13,15
"HV Patel","Harshal Vikram Patel","India","t20s",10,10,77,18,4,12.83,61,126.23,0,0,9,3
"Harshit Rana","Harshit Pradeep Rana","India","t20s",3,3,57,35,1,28.5,57,100,0,0,4,2
"IK Pathan","Irfan Khan Pathan","India","t20s",13,13,172,33,6,24.57,146,117.81,0,0,9,7
"Ishan Kishan","Ishan Pranav Kumar Pandey Kishan","India","t20s",41,41,1187,103,1,29.68,860,138.02,9,1,120,63
"I Sharma","Ishant Sharma","India","t20s",3,3,8,5,2,8,9,88.89,0,0,1,0
"Jaskaran Singh","Jaskaran Singh Buttar","India","t20s",9,9,113,60,4,22.6,67,168.66,1,0,7,8
"JJ Bumrah","Jasprit Jasbirsingh Bumrah","India","t20s",7,7,12,7,3,3,19,63.16,0,0,2,0
"JM Sharma","Jitesh Mohan Sharma","India","t20s",9,9,131,35,2,18.71,90,145.56,0,0,11,7
"Nithish Kumar Reddy","Kaki Nitish Kumar Reddy","India","t20s",3,3,90,74,1,45,52,173.08,1,0,4,8
"Kamran Khan","Kamran Khan","India","t20s",12,12,203,37,0,16.92,141,143.97,0,0,25,10
"KL Rahul","Kannaur Lokesh Rahul","India","t20s",66,66,2149,110,8,37.05,1599,134.4,20,2,181,96
"KM Jadhav","Kedar Mahadav Jadhav","India","t20s",6,6,122,58,1,24.4,102,119.61,1,0,12,3
"KK Ahmed","Khaleel Khursheed Ahmed","India","t20s",2,2,1,1,2,1,2,50,0,0,0,0
"KD Karthik","Krishnakumar Dinesh Karthik","India","t20s",47,47,686,55,23,28.58,503,136.38,1,0,71,28
"KH Pandya","Krunal Himanshu Pandya","India","t20s",10,10,124,26,5,24.8,98,126.53,0,0,8,6
"Kuldeep Yadav","Kuldeep Yadav","India","t20s",9,9,48,23,3,8,74,64.86,0,0,2,0
"MS Dhoni","Mahendra Singh Dhoni","India","t20s",82,82,1584,56,43,40.62,1317,120.27,2,0,114,49
"Mandeep Singh","Mandeep Singh","India","t20s",7,7,146,52,2,29.2,129,113.18,1,0,14,2
"MK Pandey","Manish Krishnanand Pandey","India","t20s",32,32,709,79,16,44.31,583,121.61,3,0,49,19
"Manish Sharma","Manish Sharma","India","t20s",4,4,20,15,0,5,58,34.48,0,0,3,0
"MK Tiwary","Manoj Kumar Tiwary","India","t20s",1,1,15,15,0,15,17,88.24,0,0,0,0
"MP Yadav","Mayank Prabhu Yadav","India","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"Milind Kumar","Milind Kumar","India","t20s",21,21,416,56,8,32,401,103.74,1,0,25,9
"Mohammed Shami","Mohammed Shami Ahmed","India","t20s",3,3,7,7,1,3.5,11,63.64,0,0,0,1
"Mohammed Siraj","Mohammed Siraj","India","t20s",4,4,14,7,2,7,16,87.5,0,0,1,0
"MM Sharma","Mohit Mahipal Sharma","India","t20s",2,2,3,3,2,3,8,37.5,0,0,0,0
"Mukesh Kumar","Mukesh Kumar","India","t20s",3,3,5,4,2,5,5,100,0,0,1,0
"MM Patel","Munaf Musa Patel","India","t20s",1,1,0,0,0,0,1,0,0,0,0,0
"M Vijay","Murali Vijay","India","t20s",8,8,121,46,0,15.12,119,101.68,0,0,11,5
"NV Ojha","Naman Vinaykumar Ojha","India","t20s",2,2,12,10,0,6,28,42.86,0,0,2,0
"Tilak Varma","Namboori Thakur Tilak Varma","India","t20s",41,41,1264,120,14,46.81,925,136.65,6,2,101,63
"NA Saini","Navdeep Amarjeet Saini","India","t20s",2,2,11,11,2,11,10,110,0,0,2,0
"N Rana","Nitish Rana","India","t20s",2,2,15,9,0,7.5,30,50,0,0,0,0
"PA Patel","Parthiv Ajay Patel","India","t20s",2,2,36,26,0,18,33,109.09,0,0,4,1
"Parvez Rasool","Parvez Ghulam Rasool Zargar","India","t20s",1,1,5,5,1,5,6,83.33,0,0,0,0
"PP Chawla","Piyush Pramod Chawla","India","t20s",1,1,0,0,1,0,1,0,0,0,0,0
"PP Ojha","Pragyan Prayash Ojha","India","t20s",1,1,10,10,1,10,6,166.67,0,0,0,1
"P Kumar","Praveenkumar Sakat Singh","India","t20s",3,3,7,6,0,2.33,16,43.75,0,0,0,0
"PP Shaw","Prithvi Pankaj Shaw","India","t20s",1,1,0,0,0,0,1,0,0,0,0,0
"Raghav Dhawan","Raghav Dhawan","India","t20s",20,20,539,56,3,31.71,512,105.27,3,0,41,15
"RA Tripathi","Rahul Ajay Tripathi","India","t20s",5,5,97,44,0,19.4,68,142.65,0,0,11,5
"RD Chahar","Rahul Desraj Chahar","India","t20s",1,1,5,5,0,5,5,100,0,0,1,0
"R Dravid","Rahul Sharad Dravid","India","t20s",1,1,31,31,0,31,21,147.62,0,0,0,3
"R Sharma","Rahul Sharma","India","t20s",8,8,157,39,5,52.33,110,142.73,0,0,11,9
"Ramandeep Singh","Ramandeep Singh","India","t20s",1,1,15,15,1,15,6,250,0,0,1,1
"R Vinay Kumar","Ranganath Vinay Kumar","India","t20s",1,1,2,2,1,2,4,50,0,0,0,0
"Ravi Bishnoi","Ravi Bishnoi","India","t20s",13,13,65,10,6,9.29,54,120.37,0,0,9,1
"R Ashwin","Ravichandran Ashwin","India","t20s",18,18,184,31,11,26.29,167,110.18,0,0,17,4
"RA Jadeja","Ravindrasinh Anirudhsinh Jadeja","India","t20s",38,38,508,46,16,23.09,421,120.67,0,0,38,14
"RK Singh","Rinku Khanchand Singh","India","t20s",34,34,590,68,13,28.1,432,136.57,2,0,52,32
"RR Pant","Rishabh Rajendra Pant","India","t20s",63,63,1142,65,12,22.39,954,119.71,3,0,103,41
"R Dhawan","Rishi Dhawan","India","t20s",1,1,1,1,1,1,3,33.33,0,0,0,0
"R Parag","Riyan Parag","India","t20s",6,6,106,34,0,17.67,72,147.22,0,0,3,9
"RV Uthappa","Robin Venu Uthappa","India","t20s",12,12,249,50,2,24.9,215,115.81,1,0,26,6
"RG Sharma","Rohit Gurunath Sharma","India","t20s",144,144,4042,118,15,31.33,2949,137.06,31,4,364,196
"RP Singh","Rudra Pratap Singh","India","t20s",2,2,3,2,2,3,3,100,0,0,0,0
"RD Gaikwad","Ruturaj Dashrat Gaikwad","India","t20s",19,19,633,123,4,42.2,462,137.01,4,1,65,24
"SR Tendulkar","Sachin Ramesh Tendulkar","India","t20s",1,1,10,10,0,10,13,76.92,0,0,2,0
"Sandeep Sharma","Sandeep Sharma","India","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"SV Samson","Sanju Viswanath Samson","India","t20s",49,49,1100,111,5,25,764,143.98,3,3,89,63
"Saurabh Kumar","Saurabh Kumar","India","t20s",4,4,5,2,0,1.25,26,19.23,0,0,0,0
"S Sreesanth","Shanthakumaran Sreesanth","India","t20s",3,3,20,19,2,20,14,142.86,0,0,4,0
"SN Thakur","Shardul Narendra Thakur","India","t20s",6,6,69,22,3,23,40,172.5,0,0,5,4
"S Dhawan","Shikhar Dhawan","India","t20s",66,66,1759,92,5,28.84,1439,122.24,11,0,191,50
