"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AR Cusack","Alex Richard Cusack","Ireland","t20s",16,16,180,65,7,20,136,132.35,1,0,16,5
"AC Botha","Andre Cornelius Botha","Ireland","t20s",6,6,75,28,1,15,82,91.46,0,0,10,0
"A Balbirnie","Andrew Balbirnie","Ireland","t20s",89,89,2028,83,4,23.86,1682,120.57,11,0,211,60
"AD Poynter","Andrew David Poynter","Ireland","t20s",9,9,171,57,2,24.43,137,124.82,1,0,17,7
"AR McBrine","Andrew Robert McBrine","Ireland","t20s",14,14,134,36,6,16.75,110,121.82,0,0,10,4
"AR White","Andrew Roland White","Ireland","t20s",7,7,95,29,1,15.83,92,103.26,0,0,7,2
"BJ McCarthy","Barry John McCarthy","Ireland","t20s",34,34,293,51,16,16.28,253,115.81,1,0,19,16
"B White","Benjamin Charlie White","Ireland","t20s",8,8,26,7,7,26,48,54.17,0,0,2,0
"CA Young","Craig Alexander Young","Ireland","t20s",22,22,73,22,12,7.3,101,72.28,0,0,5,2
"C Campher","Curtis Campher","Ireland","t20s",55,55,1018,72,9,22.13,830,122.65,4,0,80,30
"DA Rankin","David Andrew Rankin","Ireland","t20s",1,1,15,15,0,15,17,88.24,0,0,1,1
"DC Delany","David Colin Alex Delany","Ireland","t20s",1,1,0,0,0,0,1,0,0,0,0,0
"DT Johnston","David Trent Johnston","Ireland","t20s",11,11,116,39,4,16.57,98,118.37,0,0,5,5
"EC Joyce","Edmund Christopher Joyce","Ireland","t20s",13,13,353,78,4,39.22,380,92.89,1,0,27,5
"F Hand","Fionn Hand","Ireland","t20s",8,8,27,9,3,5.4,29,93.1,0,0,4,0
"GJ Delany","Gareth James Delany","Ireland","t20s",67,67,1069,89,16,20.96,806,132.63,4,0,82,49
"GC Wilson","Gary Craig Wilson","Ireland","t20s",49,49,840,65,7,20,847,99.17,2,0,73,12
"GH Dockrell","George Henry Dockrell","Ireland","t20s",87,87,1123,53,29,19.36,865,129.83,1,0,81,46
"GR Adair","George Ross Adair","Ireland","t20s",21,21,503,100,0,23.95,377,133.42,1,1,48,28
"GI Hume","Graham Ian Hume","Ireland","t20s",4,4,37,20,3,37,30,123.33,0,0,2,2
"GJ Thompson","Greg James Thompson","Ireland","t20s",4,4,93,44,0,23.25,79,117.72,0,0,13,1
"HT Tector","Harry Tom Tector","Ireland","t20s",79,79,1621,96,15,25.33,1394,116.28,7,0,132,36
"J Mulder","Jacob Mulder","Ireland","t20s",1,1,1,1,0,1,5,20,0,0,0,0
"JNK Shannon","James Norman Knight Shannon","Ireland","t20s",7,7,109,60,0,15.57,84,129.76,1,0,12,5
"J Wilson","Jared Wilson","Ireland","t20s",2,2,30,26,1,30,19,157.89,0,0,3,2
"JP Bray","Jeremy Paul Bray","Ireland","t20s",2,2,2,2,0,1,17,11.76,0,0,0,0
"J Anderson","John Anderson","Ireland","t20s",1,1,3,3,0,3,5,60,0,0,0,0
"JF Mooney","John Francis Mooney","Ireland","t20s",16,16,176,31,7,19.56,163,107.98,0,0,18,1
"J Little","Joshua Brian Little","Ireland","t20s",23,23,123,22,15,15.38,144,85.42,0,0,10,3
"KJ O'Brien","Kevin Joseph O'Brien","Ireland","t20s",76,76,1571,124,10,23.8,1248,125.88,3,1,133,66
"L McCarthy","Liam McCarthy","Ireland","t20s",1,1,16,16,1,16,15,106.67,0,0,1,1
"L Tucker","Lorcan John Tucker","Ireland","t20s",69,69,1511,94,12,26.51,1223,123.55,10,0,139,40
"MR Adair","Mark Richard Adair","Ireland","t20s",63,63,814,72,17,17.7,647,125.81,1,0,55,39
"MJ Humphreys","Matthew James Humphreys","Ireland","t20s",6,6,12,7,2,3,16,75,0,0,1,0
"MC Sorensen","Max Christian Sorensen","Ireland","t20s",8,8,63,26,4,15.75,61,103.28,0,0,1,2
"NA Rock","Neil Alan Rock","Ireland","t20s",16,16,160,37,1,10.67,156,102.56,0,0,13,3
"NJ O'Brien","Niall John O'Brien","Ireland","t20s",20,20,316,40,2,17.56,331,95.47,0,0,25,6
"NG Jones","Nigel Geoffrey Jones","Ireland","t20s",3,3,28,14,2,28,25,112,0,0,0,2
