"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"Ali Hasan","Ali Hasan","Italy","t20s",4,4,10,10,1,3.33,15,66.67,0,0,0,1
"Amir Sharif","Amir Sharif","Italy","t20s",3,3,28,22,1,14,31,90.32,0,0,1,1
"Anam Mollik","Anam Ahmed Mollik","Italy","t20s",1,1,9,9,0,9,10,90,0,0,1,0
"Anik Ahmed","Anik Ahmed","Italy","t20s",4,4,53,26,2,26.5,61,86.89,0,0,2,0
"Anmoldeep Singh","Anmoldeep Singh","Italy","t20s",1,1,2,2,0,2,7,28.57,0,0,0,0
"AJ Mosca","Anthony Joseph Mosca","Italy","t20s",20,20,539,78,5,35.93,419,128.64,4,0,40,21
"Baljit Singh","Baljit Singh","Italy","t20s",6,6,58,45,1,11.6,54,107.41,0,0,3,2
"BBJL Perera","Bentota Baduge Joy Lenin Perera","Italy","t20s",12,12,272,67,1,24.73,251,108.37,1,0,27,8
"Charanjeet Singh","Charanjeet Singh","Italy","t20s",1,1,8,8,1,8,9,88.89,0,0,1,0
"CJPF Kalugamage","Crishan Jorge Priyantha Fernando Kalugamage","Italy","t20s",8,8,30,7,5,10,46,65.22,0,0,1,0
"DKD Warnakulasuriya","Damith Kosala Dabarera Warnakulasuriya","Italy","t20s",2,2,2,2,1,2,14,14.29,0,0,0,0
"D Samarawickrama","Dinuka Samarawickrama","Italy","t20s",3,3,15,13,0,5,27,55.56,0,0,0,0
"GK Berg","Gareth Kyle Berg","Italy","t20s",12,12,153,39,5,21.86,124,123.39,0,0,11,6
"GRD Munasinghe","Gayashan Ranga de Silva Munasinghe","Italy","t20s",3,3,1,1,0,0.33,10,10,0,0,0,0
"GP Meade","Gian-Piero Sergio Meade","Italy","t20s",29,29,343,59,8,16.33,352,97.44,1,0,24,9
"G Stewart","Grant Stewart","Italy","t20s",21,21,532,76,2,28,343,155.1,3,0,35,44
"Gurpreet Singh","Gurpreet Singh","Italy","t20s",6,6,71,27,2,17.75,85,83.53,0,0,4,1
"HJ Manenti","Harry John Manenti","Italy","t20s",21,21,412,65,2,21.68,373,110.46,2,0,35,11
"J Grassi","Jamie Brian Grassi","Italy","t20s",4,4,58,20,0,14.5,65,89.23,0,0,2,2
"Jaspreet Singh","Jaspreet Singh","Italy","t20s",12,12,80,21,3,8.89,78,102.56,0,0,6,2
"J Mosca","Justin Mosca","Italy","t20s",23,23,483,72,6,28.41,345,140,4,0,54,16
"Manpreet Singh","Manpreet Singh","Italy","t20s",64,64,1275,71,9,23.18,1083,117.73,4,0,68,49
"M Campopiano","Marcus Campopiano","Italy","t20s",22,22,477,87,6,29.81,411,116.06,3,0,39,14
"MJ Ross","Michael James Ross","Italy","t20s",4,4,55,34,2,27.5,41,134.15,0,0,2,3
"MGSM Fernando","Muthunama Gonnage Shehan Madupa Fernando","Italy","t20s",3,3,24,14,0,8,19,126.32,0,0,2,1
"NA Maiolo","Nicholas Antony Maiolo","Italy","t20s",4,4,34,25,0,8.5,41,82.93,0,0,2,1
"NL Smith","Nikolai Leonard Smith","Italy","t20s",6,6,90,26,2,22.5,112,80.36,0,0,4,4
"P Sadev","Pathirage Sadev","Italy","t20s",1,1,1,1,0,1,4,25,0,0,0,0
"P Fernando","Pidusha Fernando","Italy","t20s",1,1,0,0,0,0,3,0,0,0,0,0
"Rakibul Hasan","Rakibul Hasan","Italy","t20s",6,6,32,14,2,8,25,128,0,0,4,1
"Rehman Abdul","Rehman Abdul","Italy","t20s",3,3,47,28,1,23.5,53,88.68,0,0,2,1
"S Arachchige","Shameera Arachchige","Italy","t20s",1,1,0,0,0,0,2,0,0,0,0,0
"Simranjit Singh","Simranjit Singh","Italy","t20s",1,1,8,8,0,8,9,88.89,0,0,0,0
"S di Bartolomeo","Stefano di Bartolomeo","Italy","t20s",1,1,2,2,1,2,2,100,0,0,0,0
"Syed Naqvi","Syed Zain Abbas Naqvi","Italy","t20s",5,5,13,6,1,3.25,28,46.43,0,0,0,0
"TJ Draca","Thomas Jack Draca","Italy","t20s",3,3,11,5,1,5.5,14,78.57,0,0,1,0
"Waleed Rana","Waleed Rana","Italy","t20s",3,3,37,25,0,12.33,50,74,0,0,2,1
"Zain Ali","Zain Ali","Italy","t20s",1,1,0,0,0,0,1,0,0,0,0,0
