"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"A Busing-Volschenk","Alexander Busing-Volschenk","Namibia","t20s",5,5,46,20,2,15.33,39,117.95,0,0,1,3
"B Shikongo","Ben Shikongo","Namibia","t20s",4,4,1,1,1,0.33,7,14.29,0,0,0,0
"BM Scholtz","Bernard Martinus Scholtz","Namibia","t20s",20,20,72,9,13,10.29,79,91.14,0,0,7,0
"C Viljoen","Christoffel Viljoen","Namibia","t20s",6,6,68,33,2,17,71,95.77,0,0,7,1
"CG Williams","Craig George Williams","Namibia","t20s",31,31,746,81,5,28.69,698,106.88,5,0,62,21
"D Wiese","David Wiese","Namibia","t20s",37,37,601,66,14,26.13,468,128.42,3,0,33,31
"D la Cock","Divan la Cock","Namibia","t20s",5,5,98,66,0,19.6,87,112.64,1,0,8,5
"DO Leicher","Dylan Otto Leicher","Namibia","t20s",14,14,155,42,7,22.14,172,90.12,0,0,7,4
"GJ van Rensburg","Gerhard Janse van Rensburg","Namibia","t20s",6,6,79,32,1,15.8,113,69.91,0,0,5,1
"H Klazinge","Handre Klazinge","Namibia","t20s",5,5,4,2,4,4,8,50,0,0,0,0
"HN Ya France","Helao Nafidi Ya France","Namibia","t20s",8,8,29,13,2,4.83,33,87.88,0,0,2,1
"JT Brassell","Jack Thomas Brassell","Namibia","t20s",5,5,9,5,4,9,14,64.29,0,0,1,0
"JC Balt","Jan Coenraad  Balt","Namibia","t20s",6,6,65,22,1,13,89,73.03,0,0,2,1
"JN Loftie-Eaton","Jan Nicol Loftie-Eaton","Namibia","t20s",42,42,735,101,6,20.42,552,133.15,1,1,73,30
"JN Frylinck","Jan Nicolaas Frylinck","Namibia","t20s",57,57,1113,134,14,25.88,919,121.11,2,1,97,32
"JI de Villiers","Jan-Izak de Villiers","Namibia","t20s",3,3,2,1,1,1,5,40,0,0,0,0
"JP Kotze","Jean-Pierre Kotze","Namibia","t20s",45,45,855,101,7,22.5,740,115.54,2,1,85,40
"JJ Smit","Johannes Jonathan Smit","Namibia","t20s",59,59,1237,111,23,34.36,870,142.18,4,1,73,75
"K Birkenstock","Karl Johan Birkenstock","Namibia","t20s",3,3,80,59,0,26.67,45,177.78,1,0,9,4
"L Louwrens","Lo-handre Louwrens","Namibia","t20s",1,1,17,17,1,17,16,106.25,0,0,1,1
"MB Kruger","Malan Binneman Kruger","Namibia","t20s",29,29,475,59,2,17.59,447,106.26,1,0,50,15
"MG Erasmus","Merwe Gerhard Erasmus","Namibia","t20s",75,75,1851,100,17,31.91,1524,121.46,13,1,148,67
"M van Lingen","Michael van Lingen","Namibia","t20s",26,26,507,67,0,19.5,450,112.67,2,0,61,13
"MD du Preez","Michau Daniel du Preez","Namibia","t20s",2,2,62,33,2,62,59,105.08,0,0,5,1
"N Davin","Nikolaas Davin","Namibia","t20s",39,39,1007,89,5,29.62,752,133.91,6,0,109,34
"PD Blignaut","Peter-Daniel Blignaut","Namibia","t20s",1,1,0,0,0,0,1,0,0,0,0,0
"R Trumpelmann","Ruben Trumpelmann","Namibia","t20s",27,27,272,46,11,17,227,119.82,0,0,17,16
"SPS Shikongo","Simon Petrus Shikongo","Namibia","t20s",3,3,6,4,3,6,8,75,0,0,0,0
"SJ Baard","Stephan Julian Baard","Namibia","t20s",27,27,675,92,4,29.35,607,111.2,5,0,57,18
"T Lungameni","Tangeni Lungameni","Namibia","t20s",4,4,16,12,3,16,11,145.45,0,0,3,0
"ZE Green","Zane Edward Green","Namibia","t20s",51,51,663,52,14,17.92,629,105.41,1,0,56,13
"Z Groenewald","Zhivago Groenewald","Namibia","t20s",4,4,20,13,1,6.67,36,55.56,0,0,0,0
