"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"Aakash Chand","Aakash Chand","Nepal","t20s",2,2,2,2,2,2,6,33.33,0,0,0,0
"Aarif Sheikh","Aarif Sheikh","Nepal","t20s",37,37,562,39,10,20.81,520,108.08,0,0,54,12
"Aasif Sheikh","Aasif Sheikh","Nepal","t20s",69,69,1699,69,4,26.14,1471,115.5,10,0,155,66
"A Bohara","Abinash Bohara","Nepal","t20s",13,13,23,12,6,3.29,34,67.65,0,0,1,1
"A Bhattarai","Amrit Bhattarai","Nepal","t20s",1,1,2,2,0,2,3,66.67,0,0,0,0
"AK Mandal","Anil Kumar Mandal","Nepal","t20s",1,1,2,2,0,2,9,22.22,0,0,0,0
"AK Sah","Anil Kumar Sah","Nepal","t20s",13,13,218,41,0,16.77,188,115.96,0,0,19,12
"A Saud","Arjun Saud","Nepal","t20s",3,3,70,35,0,23.33,64,109.38,0,0,7,4
"A Karn","Avinash Karn","Nepal","t20s",1,1,4,4,0,4,7,57.14,0,0,0,0
"B Regmi","Basant Regmi","Nepal","t20s",8,8,21,11,2,3.5,56,37.5,0,0,2,0
"Basir Ahamad","Basir Ahamad","Nepal","t20s",3,3,123,80,1,61.5,92,133.7,1,0,10,4
"B Sharki","Bhim Sharki","Nepal","t20s",2,2,39,27,0,19.5,29,134.48,0,0,4,1
"B Yadav","Bibek Kumar Yadav","Nepal","t20s",11,11,91,39,2,10.11,85,107.06,0,0,2,8
"B Bhandari","Binod Bhandari","Nepal","t20s",26,26,363,58,6,18.15,314,115.61,2,0,29,16
"D Khanal","Dev Khanal","Nepal","t20s",3,3,31,18,0,10.33,36,86.11,0,0,4,1
"D Nath","Dilip Nath","Nepal","t20s",3,3,15,15,1,7.5,12,125,0,0,3,0
"DS Airee","Dipendra Singh Airee","Nepal","t20s",79,79,2088,110,19,34.8,1520,137.37,12,1,152,89
"Gulsan Jha","Gulshan Kumar Jha","Nepal","t20s",42,42,634,55,13,21.86,473,134.04,1,0,33,46
"G Malla","Gyanendra Malla","Nepal","t20s",34,34,780,107,1,23.64,659,118.36,2,1,63,34
"I Pandey","Ishan Pandey","Nepal","t20s",4,4,33,22,0,8.25,54,61.11,0,0,5,0
"JK Mukhiya","Jitendra Kumar Mukhiya","Nepal","t20s",2,2,6,5,1,6,13,46.15,0,0,0,0
"KS Airee","Kamal Singh Airee","Nepal","t20s",3,3,18,13,0,6,18,100,0,0,1,1
"Karan KC","Karan KC","Nepal","t20s",47,47,478,45,17,15.93,321,148.91,0,0,21,40
"K Thagunna","Kiran Thagunna","Nepal","t20s",2,2,25,15,0,12.5,44,56.82,0,0,1,0
"K Bhurtel","Kushal Bhurtel","Nepal","t20s",71,71,1869,104,7,29.2,1525,122.56,14,1,173,81
"Kushal Malla","Kushal Malla","Nepal","t20s",51,51,965,137,10,23.54,755,127.81,4,1,54,66
"LN Rajbanshi","Lalit Narayan Rajbanshi","Nepal","t20s",6,6,8,3,4,4,19,42.11,0,0,0,0
"Lokesh Bam","Lokesh Bam","Nepal","t20s",18,18,215,39,4,15.36,157,136.94,0,0,17,15
"Mohammad Aadil Alam","Mohammad Aadil Alam","Nepal","t20s",11,11,122,31,3,15.25,96,127.08,0,0,8,7
"NK Yadav","Nandan Kumar Yadav","Nepal","t20s",7,7,68,37,4,22.67,29,234.48,0,0,4,6
"NB Budayair","Naresh Bahadur Budayair","Nepal","t20s",2,2,5,5,0,2.5,16,31.25,0,0,0,0
"P Khadka","Paras Khadka","Nepal","t20s",28,28,690,106,3,27.6,560,123.21,3,1,74,25
"P Sarraf","Pawan Sarraf","Nepal","t20s",14,14,107,27,2,8.92,121,88.43,0,0,14,4
"PS Airee","Pradeep Singh Airee","Nepal","t20s",10,10,79,29,0,7.9,98,80.61,0,0,9,1
"Pratis GC","Pratish Gharti Chhetri","Nepal","t20s",5,5,7,6,3,3.5,11,63.64,0,0,0,0
"RP Magar","Rajesh Pulami Magar","Nepal","t20s",5,5,39,25,0,7.8,80,48.75,0,0,0,2
"R Dhakal","Rijan Dhakal","Nepal","t20s",2,2,6,5,1,6,6,100,0,0,0,0
"RK Paudel","Rohit Kumar Paudel","Nepal","t20s",74,74,1658,61,13,27.18,1448,114.5,8,0,130,50
"S Dhakal","Sagar Dhakal","Nepal","t20s",3,3,0,0,3,0,5,0,0,0,0,0
"Sagar Pun","Sagar Pun","Nepal","t20s",7,7,78,20,2,15.6,89,87.64,0,0,11,0
"S Lamichhane","Sandeep Lamichhane","Nepal","t20s",20,20,76,16,8,6.33,83,91.57,0,0,3,2
"Shahab Alam","Shahab Alam","Nepal","t20s",2,2,0,0,2,0,2,0,0,0,0,0
"SP Gauchan","Shakti Prasad Gauchan","Nepal","t20s",5,5,13,6,2,4.33,43,30.23,0,0,0,0
"S Vesawkar","Sharad Vesawkar","Nepal","t20s",16,16,266,40,6,26.6,272,97.79,0,0,20,7
"Sompal Kami","Sompal Kami","Nepal","t20s",46,46,380,40,14,11.88,351,108.26,0,0,27,15
"SP Khakurel","Subash Prasad Khakurel","Nepal","t20s",6,6,54,22,0,9,84,64.29,0,0,4,0
"S Jora","Sundeep Jora","Nepal","t20s",31,31,484,63,7,20.17,411,117.76,4,0,26,22
"S Bhari","Sushan Bhari","Nepal","t20s",4,4,1,1,3,1,7,14.29,0,0,0,0
