"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AN Kervezee","Alexei Nicolaas Kervezee","Netherlands","t20s",6,6,148,56,0,24.67,149,99.33,1,0,10,1
"AT Nidamanuru","Anil Teja Nidamanuru","Netherlands","t20s",19,19,244,36,1,13.56,232,105.17,0,0,10,13
"AJ Staal","Antonius J Staal","Netherlands","t20s",10,10,107,28,3,15.29,79,135.44,0,0,7,7
"A Dutt","Aryan Dutt","Netherlands","t20s",17,17,136,30,7,13.6,133,102.26,0,0,9,4
"AF Buurman","Atse Folkert Buurman","Netherlands","t20s",1,1,0,0,0,0,2,0,0,0,0,0
"BFW de Leede","Bas de Leede","Netherlands","t20s",42,42,881,91,10,27.53,846,104.14,5,0,65,24
"B Zuiderent","Bastiaan Zuiderent","Netherlands","t20s",4,4,83,43,1,27.67,100,83,0,0,6,1
"BN Cooper","Benjamin Nicolas Cooper","Netherlands","t20s",49,49,1127,91,11,29.66,934,120.66,9,0,109,32
"BD Glover","Brandon Dale Glover","Netherlands","t20s",6,6,6,4,3,2,13,46.15,0,0,1,0
"C Floyd","Clayton Floyd","Netherlands","t20s",3,3,24,21,2,24,25,96,0,0,2,1
"CN Ackermann","Colin Niel Ackermann","Netherlands","t20s",29,29,590,62,5,24.58,524,112.6,1,0,43,14
"DLS van Bunge","Daan Lodewjk Samuel van Bunge","Netherlands","t20s",6,6,33,19,1,6.6,34,97.06,0,0,1,2
"DT Doram","Daniel Tarric Doram","Netherlands","t20s",3,3,4,2,3,4,7,57.14,0,0,0,0
"DJ Reekers","Darron John Reekers","Netherlands","t20s",3,3,35,20,0,11.67,22,159.09,0,0,4,2
"E Schiferli","Edgar Schiferli","Netherlands","t20s",2,2,7,5,1,7,15,46.67,0,0,0,0
"ES Szwarczynski","Eric Stefan Szwarczynski","Netherlands","t20s",7,7,96,30,2,19.2,112,85.71,0,0,9,0
"FJ Klaassen","Frederick Jack Klaassen","Netherlands","t20s",15,15,48,13,4,4.36,61,78.69,0,0,2,0
"J Smits","Jeroen Smits","Netherlands","t20s",1,1,11,11,1,11,19,57.89,0,0,0,0
"K Klein","Kyle Klein","Netherlands","t20s",11,11,50,16,4,7.14,64,78.12,0,0,2,0
"LV van Beek","Logan Verjus van Beek","Netherlands","t20s",23,23,108,23,9,7.71,137,78.83,0,0,4,1
"Saqib Zulfiqar","M Saqib Zulfiqar","Netherlands","t20s",6,6,76,25,2,19,73,104.11,0,0,4,2
"Ahsan Malik","Malik Ahsan Ahmad Jamil","Netherlands","t20s",6,6,22,11,5,22,21,104.76,0,0,1,1
"MBS Jonkman","Mark Benjamin Sebastiaan Jonkman","Netherlands","t20s",1,1,1,1,0,1,8,12.5,0,0,0,0
"MP O'Dowd","Maxwell Patrick O'Dowd","Netherlands","t20s",85,85,2256,133,9,29.68,1919,117.56,14,1,237,56
"M Levitt","Michael Levitt","Netherlands","t20s",29,29,957,135,1,34.18,690,138.7,6,1,83,52
"Mudassar Bukhari","Mudassar Bukhari","Netherlands","t20s",18,18,129,28,6,10.75,125,103.2,0,0,8,3
"NRJ Croes","Noah Roderick Joseph Croes","Netherlands","t20s",15,15,228,52,7,28.5,177,128.81,1,0,22,1
"PA van Meekeren","Paul Adriaan van Meekeren","Netherlands","t20s",23,23,136,24,7,8.5,126,107.94,0,0,9,6
"PW Borren","Peter William Borren","Netherlands","t20s",28,28,485,57,5,21.09,381,127.3,1,0,51,13
"PRP Boissevain","Philippe Ronald Peter Boissevain","Netherlands","t20s",2,2,7,7,0,3.5,14,50,0,0,0,0
"PM Seelaar","Pieter Marinus Seelaar","Netherlands","t20s",40,40,557,96,12,19.89,516,107.95,1,0,40,11
"RI Ahmed","Rahil Izhar Ahmed","Netherlands","t20s",1,1,13,13,0,13,16,81.25,0,0,0,0
"RE van der Merwe","Roelof Erasmus van der Merwe","Netherlands","t20s",42,42,532,75,16,20.46,428,124.3,2,0,40,15
"R Klein","Ryan Klein","Netherlands","t20s",7,7,102,36,2,20.4,77,132.47,0,0,7,3
"RN ten Doeschate","Ryan Neil ten Doeschate","Netherlands","t20s",19,19,428,59,9,42.8,323,132.51,2,0,21,17
"SA Edwards","Scott Andrew Edwards","Netherlands","t20s",75,75,1283,99,21,23.76,1034,124.08,2,0,100,32
"S Snater","Shane Snater","Netherlands","t20s",5,5,18,10,0,3.6,18,100,0,0,0,1
"Shariz Ahmad","Shariz Ahmad","Netherlands","t20s",7,7,65,16,2,13,67,97.01,0,0,5,0
"Sikander Zulfiqar","Sikander Zulfiqar","Netherlands","t20s",7,7,43,17,0,6.14,45,95.56,0,0,3,0
"SJ Myburgh","Stephanus Johannes Myburgh","Netherlands","t20s",37,37,741,71,2,21.17,649,114.18,4,0,87,23
"TS Braat","Thomas Sebastiaan Braat","Netherlands","t20s",2,2,31,26,1,31,31,100,0,0,4,1
"T van der Gugten","Timm van der Gugten","Netherlands","t20s",13,13,166,40,4,18.44,122,136.07,0,0,8,9
"TGJ Gruijters","Timothy George Johannus Gruijters","Netherlands","t20s",4,4,40,21,2,20,41,97.56,0,0,3,0
"TJG Pringle","Timothy James Gerard Pringle","Netherlands","t20s",15,15,121,35,3,10.08,126,96.03,0,0,5,5
"TP Visee","Tobias Pepijn Visee","Netherlands","t20s",30,30,491,78,3,18.19,351,139.89,3,0,67,17
"TLW Cooper","Tom Lexley William Cooper","Netherlands","t20s",29,29,592,81,5,24.67,475,124.63,2,0,58,18
"TN de Grooth","Tom Nico de Grooth","Netherlands","t20s",9,9,136,49,3,22.67,131,103.82,0,0,14,1
"Vikramjit Singh","Vikramjit Singh","Netherlands","t20s",27,27,400,52,0,14.81,362,110.5,1,0,33,17
"VJ Kingma","Vivian Jilling Kingma","Netherlands","t20s",5,5,9,4,3,4.5,17,52.94,0,0,0,0
"W Barresi","Wesley Barresi","Netherlands","t20s",37,37,750,75,9,26.79,661,113.46,4,0,65,21
"ZB Lion-Cachet","Zach Benjamin Lion-Cachet","Netherlands","t20s",12,12,146,50,0,12.17,139,105.04,1,0,9,4
