"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AJ Redmond","Aaron James Redmond","New Zealand","t20s",6,6,126,63,0,21,84,150,1,0,19,2
"AF Milne","Adam Fraser Milne","New Zealand","t20s",19,19,83,16,10,9.22,89,93.26,0,0,1,6
"AY Patel","Ajaz Yunus Patel","New Zealand","t20s",2,2,7,4,0,3.5,14,50,0,0,0,0
"AK Kitchen","Anaru Kyle Kitchen","New Zealand","t20s",4,4,38,16,2,19,32,118.75,0,0,3,1
"AR Adams","Andre Ryan Adams","New Zealand","t20s",2,2,13,7,1,13,12,108.33,0,0,1,0
"AJ McKay","Andrew John McKay","New Zealand","t20s",1,1,0,0,0,0,1,0,0,0,0,0
"AM Ellis","Andrew Malcolm Ellis","New Zealand","t20s",5,5,25,16,2,8.33,21,119.05,0,0,1,1
"AP Devcich","Anton Paul Devcich","New Zealand","t20s",4,4,111,59,0,27.75,81,137.04,1,0,17,2
"BM Wheeler","Ben Matthew Wheeler","New Zealand","t20s",3,3,37,30,1,18.5,30,123.33,0,0,3,2
"BG Lister","Benjamin George Lister","New Zealand","t20s",3,3,1,1,1,0.5,6,16.67,0,0,0,0
"BV Sears","Benjamin Vincent Sears","New Zealand","t20s",7,7,21,7,4,7,29,72.41,0,0,2,0
"BJ Jacobs","Bevon-John Jacobs","New Zealand","t20s",4,4,71,44,2,35.5,71,100,0,0,3,3
"BM Tickner","Blair Marshall Tickner","New Zealand","t20s",4,4,11,5,2,5.5,23,47.83,0,0,0,0
"BJ Watling","Bradley-John Watling","New Zealand","t20s",4,4,38,22,0,9.5,60,63.33,0,0,3,0
"BB McCullum","Brendon Barrie McCullum","New Zealand","t20s",70,70,2145,123,13,37.63,1629,131.68,13,2,199,91
"CL Cairns","Christopher Lance Cairns","New Zealand","t20s",2,2,3,2,0,1.5,14,21.43,0,0,0,0
"CS Martin","Christopher Stewart Martin","New Zealand","t20s",1,1,5,5,1,5,6,83.33,0,0,0,0
"CE McConchie","Cole Edward McConchie","New Zealand","t20s",11,11,145,31,4,20.71,136,106.62,0,0,12,2
"C Munro","Colin Munro","New Zealand","t20s",61,61,1729,109,7,32.02,1134,152.47,11,3,133,107
"C de Grandhomme","Colin de Grandhomme","New Zealand","t20s",38,38,505,59,7,16.29,383,131.85,3,0,27,30
"CJ Anderson","Corey James Anderson","New Zealand","t20s",34,34,697,94,7,25.81,576,121.01,3,0,40,35
"CD McMillan","Craig Douglas McMillan","New Zealand","t20s",7,7,187,57,2,37.4,119,157.14,1,0,8,14
"D Cleaver","Dane Cleaver","New Zealand","t20s",7,7,122,78,1,20.33,104,117.31,1,0,10,5
"DL Vettori","Daniel Luca Vettori","New Zealand","t20s",21,21,205,38,10,18.64,197,104.06,0,0,14,2
"DR Flynn","Daniel Raymond Flynn","New Zealand","t20s",5,5,59,23,0,11.8,51,115.69,0,0,1,4
"DJ Mitchell","Daryl Joseph Mitchell","New Zealand","t20s",87,87,1833,72,20,27.36,1346,136.18,8,0,124,72
"DR Tuffey","Daryl Raymond Tuffey","New Zealand","t20s",2,2,5,5,1,5,5,100,0,0,1,0
"DG Brownlie","Dean Graham Brownlie","New Zealand","t20s",5,5,6,5,0,1.2,18,33.33,0,0,1,0
"DP Conway","Devon Philip Conway","New Zealand","t20s",58,58,1695,99,13,37.67,1349,125.65,12,0,164,48
"DAJ Bracewell","Douglas Andrew John Bracewell","New Zealand","t20s",11,11,126,44,5,21,96,131.25,0,0,6,9
"EP Thompson","Ewen Paul Thompson","New Zealand","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"FH Allen","Finnley Hugh Allen","New Zealand","t20s",59,59,1662,137,3,29.68,1006,165.21,7,3,146,115
"GJ Hopkins","Gareth James Hopkins","New Zealand","t20s",8,8,86,36,1,12.29,72,119.44,0,0,5,5
"GH Worker","George Herrick Worker","New Zealand","t20s",2,2,90,62,0,45,65,138.46,1,0,6,5
"GD Phillips","Glenn Dominic Phillips","New Zealand","t20s",83,83,2226,108,13,31.8,1594,139.65,12,2,162,107
"GD Elliott","Grant David Elliott","New Zealand","t20s",15,15,171,27,7,21.38,159,107.55,0,0,13,2
"HD Rutherford","Hamish Duncan Rutherford","New Zealand","t20s",7,7,151,62,0,21.57,107,141.12,1,0,12,9
"HJH Marshall","Hamish John Hamilton Marshall","New Zealand","t20s",3,3,12,8,0,4,14,85.71,0,0,0,0
"HK Bennett","Hamish Kyle Bennett","New Zealand","t20s",1,1,1,1,1,1,2,50,0,0,0,0
"HB Shipley","Henry Burton Shipley","New Zealand","t20s",2,2,2,1,2,2,2,100,0,0,0,0
"HM Nicholls","Henry Michael Nicholls","New Zealand","t20s",9,9,100,36,1,12.5,114,87.72,0,0,9,0
"IG Butler","Ian Gareth Butler","New Zealand","t20s",5,5,5,2,4,5,11,45.45,0,0,0,0
"IS Sodhi","Inderbir Singh Sodhi","New Zealand","t20s",40,40,243,33,13,9,228,106.58,0,0,13,13
"JA Duffy","Jacob Andrew Duffy","New Zealand","t20s",12,12,40,9,7,8,42,95.24,0,0,3,0
"JDP Oram","Jacob David Philip Oram","New Zealand","t20s",30,30,482,66,7,20.96,350,137.71,2,0,38,23
"JAH Marshall","James Andrew Hamilton Marshall","New Zealand","t20s",2,2,14,13,0,7,15,93.33,0,0,2,0
"JDS Neesham","James Douglas Sheahan Neesham","New Zealand","t20s",73,73,1041,48,23,20.82,745,139.73,0,0,81,54
"JEC Franklin","James Edward Charles Franklin","New Zealand","t20s",31,31,463,60,9,21.05,398,116.33,2,0,28,23
"JM How","Jamie Michael How","New Zealand","t20s",5,5,56,31,0,11.2,68,82.35,0,0,5,1
"JS Patel","Jeetan Shashi Patel","New Zealand","t20s",3,3,9,5,0,3,14,64.29,0,0,1,0
"JW Wilson","Jeffrey William Wilson","New Zealand","t20s",1,1,18,18,0,18,14,128.57,0,0,2,0
"JD Ryder","Jesse Daniel Ryder","New Zealand","t20s",21,21,457,62,2,24.05,369,123.85,3,0,47,18
"JA Clarkson","Joshua Andrew Clarkson","New Zealand","t20s",5,5,75,38,1,18.75,72,104.17,0,0,4,4
"KS Williamson","Kane Stuart Williamson","New Zealand","t20s",88,88,2537,106,14,34.28,2072,122.44,17,1,242,59
"KDC Clarke","Kristian David Charles Clarke","New Zealand","t20s",1,1,0,0,0,0,1,0,0,0,0,0
"KA Jamieson","Kyle Alex Jamieson","New Zealand","t20s",10,10,76,30,3,10.86,60,126.67,0,0,10,0
"KD Mills","Kyle David Mills","New Zealand","t20s",19,19,137,33,8,12.45,125,109.6,0,0,11,5
"LH Ferguson","Lachlan Hammond Ferguson","New Zealand","t20s",12,12,36,14,4,4.5,43,83.72,0,0,0,2
"L Vincent","Lou Vincent","New Zealand","t20s",9,9,174,42,0,19.33,186,93.55,0,0,17,3
"L Ronchi","Luke Ronchi","New Zealand","t20s",25,25,359,51,5,17.95,263,136.5,1,0,30,14
"LRPL Taylor","Luteru Ross Poutoa Lote Taylor","New Zealand","t20s",96,96,1974,76,22,26.68,1680,117.5,7,0,126,74
"MJ Tugaga","Malaesaili Julian Tugaga","New Zealand","t20s",1,1,3,3,1,3,2,150,0,0,0,0
"MR Gillespie","Mark Raymond Gillespie","New Zealand","t20s",6,6,21,7,4,10.5,32,65.62,0,0,0,0
"MS Chapman","Mark Sinclair Chapman","New Zealand","t20s",86,86,1938,104,14,26.92,1454,133.29,10,1,166,80
"MJ Guptill","Martin James Guptill","New Zealand","t20s",117,117,3517,105,10,32.87,2673,131.58,20,2,307,173
"MS Sinclair","Mathew Stuart Sinclair","New Zealand","t20s",2,2,0,0,0,0,5,0,0,0,0,0
