"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AN Lascu"," Adrian Nicholas Lascu","Romania","t20s",9,9,263,72,3,43.83,198,132.83,3,0,37,10
"Abdul Shakoor (2)","Abdul Shakoor","Romania","t20s",4,4,64,31,2,32,60,106.67,0,0,6,1
"Adnan Ilyas","Adnan Ilyas","Oman","t20s",8,8,150,49,0,18.75,149,100.67,0,0,11,3
"Aftab Kayani","Aftab Kayani","Romania","t20s",3,3,32,20,0,10.67,33,96.97,0,0,3,0
"Fayyaz Butt","Ahmad Fayyaz Butt","Oman","t20s",19,19,147,25,10,16.33,149,98.66,0,0,11,4
"AV Lalcheta","Ajay Vrajlal Lalcheta","Oman","t20s",7,7,55,20,2,11,57,96.49,0,0,3,3
"Ali Hussain","Ali Hussain","Romania","t20s",4,4,16,9,2,8,21,76.19,0,0,2,0
"A Rajshekara","Anand Rajshekara","Romania","t20s",7,7,106,50,2,21.2,118,89.83,1,0,9,4
"Aqib Ilyas","Aqib Ilyas Sulehri","Oman","t20s",46,46,1181,67,8,31.08,998,118.34,9,0,108,41
"AR Odedara","Ashish Rambhai Odedara","Oman","t20s",8,8,45,15,0,5.62,66,68.18,0,0,5,0
"Asif Bevinje","Asif Abdul Bevinje","Romania","t20s",7,7,114,35,0,16.29,102,111.76,0,0,12,4
"Ayan Khan","Ayaan Khan","Oman","t20s",34,34,540,53,5,18.62,531,101.69,1,0,33,16
"Baljinder Singh","Baljinder Singh","Romania","t20s",1,1,6,6,0,6,9,66.67,0,0,1,0
"Bilal Khan","Bilal Khan","Oman","t20s",18,18,27,6,14,6.75,50,54,0,0,1,0
"B Siddharth","Bukkapatnam Siddharth Prasad","Oman","t20s",3,3,5,5,0,1.67,10,50,0,0,1,0
"C Zavoiu","Cosmin Zavoiu","Romania","t20s",6,6,19,14,2,4.75,34,55.88,0,0,1,0
"Gaurav Mishra","Gaurav Mishra","Romania","t20s",6,6,70,24,3,23.33,62,112.9,0,0,3,2
"G Manan","Gohar Manan","Romania","t20s",12,12,143,40,0,11.92,98,145.92,0,0,15,10
"Hammad Mirza","Hammad Mirza","Oman","t20s",26,26,472,62,3,20.52,449,105.12,3,0,40,14
"Hassnain Shah","Hassnain Ali Shah","Oman","t20s",3,3,1,1,0,0.33,6,16.67,0,0,0,0
"Ijaz Hussain","Ijaz Hussain","Romania","t20s",19,19,132,24,5,9.43,160,82.5,0,0,13,1
"Jatinder Singh","Jatinder Singh","Oman","t20s",66,66,1482,73,7,25.12,1233,120.19,9,0,168,34
"Jay Odedra","Jay Virambhai Odedra","Oman","t20s",7,7,40,25,6,40,46,86.96,0,0,3,1
"J Ramanandi","Jiten Ramanandi","Oman","t20s",13,13,86,19,3,8.6,98,87.76,0,0,6,2
"KA Vimlesh","Kaka Aakasha Vimlesh","Romania","t20s",6,6,68,39,4,34,73,93.15,0,0,5,0
"Kaleemullah","Kaleemullah","Oman","t20s",19,19,99,14,7,8.25,105,94.29,0,0,3,6
"K Sonavale","Karan Sonavale","Oman","t20s",6,6,70,20,0,11.67,73,95.89,0,0,8,1
"KH Prajapati","Kashyap Harishbhai Prajapati","Oman","t20s",43,43,816,74,5,21.47,785,103.95,6,0,80,26
"Khalid Kail","Khalid Kail","Oman","t20s",18,18,294,55,5,22.62,269,109.29,2,0,22,11
"Khawar Ali","Khawar Ali","Oman","t20s",27,27,452,72,1,17.38,456,99.12,2,0,47,14
"Khurram Nawaz","Khurram Nawaz Khan","Oman","t20s",16,16,227,58,6,22.7,199,114.07,1,0,16,11
"Luca Petre","Luca Petre","Romania","t20s",5,5,24,7,3,12,26,92.31,0,0,0,0
"M Prasanna","Mahesh Prasanna","Romania","t20s",3,3,24,18,2,24,14,171.43,0,0,4,0
"M Koli","Manmeet Koli","Romania","t20s",12,12,121,33,5,17.29,115,105.22,0,0,10,2
"M Gherasim","Marian Gherasim","Romania","t20s",2,2,2,2,1,2,7,28.57,0,0,0,0
"Mehran Khan","Mehran Khan","Oman","t20s",32,32,262,29,5,9.7,257,101.95,0,0,14,12
"Bilal Shah","Mohammad Bilal Shah","Oman","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"Mohammad Nadeem","Mohammad Nadeem","Oman","t20s",45,45,756,77,14,24.39,753,100.4,3,0,45,20
"Muhammad Moiz","Muhammad Moiz","Romania","t20s",14,14,124,25,0,8.86,101,122.77,0,0,11,7
"Muzahir Raza","Muhammad Muzahir Raza","Oman","t20s",3,3,14,8,3,14,8,175,0,0,2,0
"Naseem Khushi","Muhammad Naseem Khushi","Oman","t20s",34,34,612,69,4,20.4,384,159.38,2,0,39,47
"Muhammed Imran","Muhammed Imran","Oman","t20s",2,2,1,1,1,1,2,50,0,0,0,0
"Mujibur Ali","Mujibur Nitul Ali","Oman","t20s",3,3,26,12,0,8.67,35,74.29,0,0,2,0
"M Ansari","Munis S Ansari","Oman","t20s",3,3,5,3,3,5,10,50,0,0,0,0
"Nestor Dhamba","Nestor Dhamba","Oman","t20s",1,1,3,3,0,3,6,50,0,0,0,0
"P Florin","Pavel Florin","Romania","t20s",5,5,23,14,3,11.5,30,76.67,0,0,2,0
"P Danci","Petre Danci","Romania","t20s",1,1,12,12,0,12,16,75,0,0,2,0
"P Hingorani","Pratham Hingorani","Romania","t20s",3,3,1,1,2,1,6,16.67,0,0,0,0
"PS Athavale","Pratik Shrikant Athavale","Oman","t20s",17,17,364,54,2,24.27,299,121.74,2,0,39,10
"Rafiullah","Rafiullah","Oman","t20s",22,22,265,33,3,13.95,160,165.62,0,0,13,26
"R Kumar","Rajesh Kumar","Romania","t20s",4,4,42,16,2,21,28,150,0,0,4,1
"Rameez Khan","Rameez Khan","Romania","t20s",8,8,55,23,2,9.17,52,105.77,0,0,4,3
"R Satheesan","Ramesh Satheesan","Romania","t20s",41,41,1279,99,4,34.57,938,136.35,9,0,133,63
"R Athapaththu","Ravindra Athapaththu","Romania","t20s",5,5,47,28,5,47,33,142.42,0,0,2,3
"Rohit Kumar","Rohit Kumar","Romania","t20s",12,12,161,27,1,14.64,147,109.52,0,0,20,6
"S Shrivastava","Samay Shrivastava","Oman","t20s",7,7,48,22,5,24,60,80,0,0,4,1
"Sami Ullah","Sami Ullah","Romania","t20s",7,7,105,33,1,17.5,58,181.03,0,0,13,4
"Sandeep Goud","Sandeep Goud","Oman","t20s",35,35,240,31,10,9.6,309,77.67,0,0,10,11
"S Nadigotla","Satvik Nadigotla","Romania","t20s",27,27,421,55,1,16.19,390,107.95,1,0,36,13
"S Vashisht","Shantanu Vashisht","Romania","t20s",19,19,163,36,8,14.82,173,94.22,0,0,13,5
"Shoaib Khan","Shoaib Khan","Oman","t20s",34,34,446,57,7,16.52,430,103.72,2,0,39,18
"S Periyalwar","Sivakumar Periyalwar","Romania","t20s",31,31,424,54,12,22.32,446,95.07,3,0,46,3
"S Thakur","Sudeep Thakur","Romania","t20s",4,4,89,55,2,44.5,76,117.11,1,0,12,1
"Sufyan Mehmood","Sufyan Mehmood","Oman","t20s",15,15,151,37,6,16.78,225,67.11,0,0,8,3
"Sukhkaran Sahi","Sukhkaran Sahi","Romania","t20s",1,1,1,1,0,1,3,33.33,0,0,0,0
"Sultan Ahmed","Sultan Ahmed","Oman","t20s",10,10,63,37,2,7.88,63,100,0,0,6,0
"Suraj Kumar","Suraj Kumar","Oman","t20s",10,10,114,42,2,14.25,104,109.62,0,0,10,3
"Aamir Kaleem","Syed Aamir Kaleem","Oman","t20s",44,44,693,72,6,18.24,634,109.31,3,0,70,18
"Amir Ali","Syed Amir Ali","Oman","t20s",6,6,89,32,2,22.25,63,141.27,0,0,10,2
"Taranjeet Singh","Taranjeet Singh","Romania","t20s",40,40,1296,110,4,36,876,147.95,7,1,159,58
