"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"Aamer Jamal","Aamer Jamal","Pakistan","t20s",4,4,74,41,1,24.67,40,185,0,0,4,6
"Aamer Yamin","Aamer Yamin","Pakistan","t20s",1,1,15,15,1,15,6,250,0,0,1,1
"Abdul Razzaq","Abdul Razzaq","Pakistan","t20s",28,28,388,46,11,22.82,341,113.78,0,0,21,21
"Abdullah Shafique","Abdullah Shafique","Pakistan","t20s",3,3,41,41,1,20.5,39,105.13,0,0,4,1
"Abdur Rehman","Abdur Rehman","Pakistan","t20s",4,4,18,7,2,9,24,75,0,0,0,0
"Abrar Ahmed","Abrar Ahmed","Pakistan","t20s",5,5,4,2,3,2,13,30.77,0,0,0,0
"Agha Salman","Agha Salman","Pakistan","t20s",45,45,819,76,8,22.14,683,119.91,5,0,76,26
"Ahmed Daniyal","Ahmed Daniyal","Pakistan","t20s",1,1,17,17,0,17,11,154.55,0,0,3,0
"Ahmed Shehzad","Ahmed Shehzad","Pakistan","t20s",58,58,1436,111,3,26.11,1287,111.58,7,1,151,33
"Ahsan Ali","Ahsan Ali","Pakistan","t20s",2,2,36,36,0,18,39,92.31,0,0,4,0
"Aizaz Cheema","Aizaz Bin Ilyas Cheema","Pakistan","t20s",1,1,0,0,1,0,3,0,0,0,0,0
"Akbar Khan","Akbar Ali Khan","Pakistan","t20s",4,4,20,7,0,5,38,52.63,0,0,1,0
"Anwar Ali","Anwar Ali","Pakistan","t20s",10,10,109,46,3,15.57,77,141.56,0,0,6,6
"Arafat Minhas","Arafat Minhas","Pakistan","t20s",2,2,47,25,1,47,43,109.3,0,0,4,2
"Arshad Iqbal","Arshad Iqbal","Pakistan","t20s",2,2,0,0,0,0,2,0,0,0,0,0
"Asad Shafiq","Asad Shafiq","Pakistan","t20s",10,10,192,38,1,21.33,190,101.05,0,0,19,2
"Asif Ali","Asif Ali","Pakistan","t20s",100,100,1765,100,23,22.92,1394,126.61,7,1,130,108
"Asif Iqbal","Asif Iqbal Razvi","Pakistan","t20s",3,3,36,21,1,18,45,80,0,0,3,1
"Awais Zia","Awais Zia","Pakistan","t20s",5,5,70,23,0,14,86,81.4,0,0,4,3
"Azam Khan","Azam Khan","Pakistan","t20s",11,11,87,30,3,10.88,64,135.94,0,0,6,7
"Bilawal Bhatti","Bilawal Bhatti","Pakistan","t20s",3,3,23,13,1,11.5,15,153.33,0,0,2,1
"Danish Aziz","Danish Aziz","Pakistan","t20s",2,2,37,22,0,18.5,39,94.87,0,0,1,1
"Ehsan Adil","Ehsan Adil","Pakistan","t20s",1,1,1,1,1,1,2,50,0,0,0,0
