"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AM Phangiso","Aaron Mpho Phangiso","South Africa","t20s",3,3,19,13,1,9.5,29,65.52,0,0,1,0
"AB de Villiers","Abraham Benjamin de Villiers","South Africa","t20s",72,72,1591,79,12,26.52,1226,129.77,9,0,135,54
"AK Markram","Aiden Kyle Markram","South Africa","t20s",68,68,1834,86,9,31.08,1276,143.73,13,0,170,78
"AN Petersen","Alviro Nathan Petersen","South Africa","t20s",2,2,14,8,0,7,19,73.68,0,0,1,0
"AL Phehlukwayo","Andile Lucky Phehlukwayo","South Africa","t20s",25,25,166,27,7,9.22,159,104.4,0,0,16,5
"A Simelane","Andile Simelane","South Africa","t20s",8,8,56,13,1,8,58,96.55,0,0,4,2
"A Nel","Andre Nel","South Africa","t20s",1,1,0,0,1,0,2,0,0,0,0,0
"AJ Hall","Andrew James Hall","South Africa","t20s",1,1,11,11,0,11,10,110,0,0,1,0
"AGS Gous","Andries Gustav Stephanus Gous","South Africa","t20s",26,26,771,81,1,30.84,561,137.43,6,0,67,42
"A Nortje","Anrich Arno Nortje","South Africa","t20s",14,14,30,12,7,4.29,51,58.82,0,0,1,1
"AG Prince","Ashwell Gavin Prince","South Africa","t20s",1,1,5,5,1,5,6,83.33,0,0,0,0
"BE Hendricks","Beuran Eric Hendricks","South Africa","t20s",5,5,18,12,2,6,24,75,0,0,0,1
"BC Fortuin","Bjorn Carl Fortuin","South Africa","t20s",16,16,127,32,6,12.7,118,107.63,0,0,14,2
"CJ Dala","Carl Junior Dala","South Africa","t20s",4,4,19,12,3,19,29,65.52,0,0,1,0
"CJ Bowes","Chad Jayson Bowes","South Africa","t20s",11,11,187,54,0,17,161,116.15,1,0,27,2
"CK Langeveldt","Charl Kenneth Langeveldt","South Africa","t20s",3,3,4,2,2,4,8,50,0,0,0,0
"C Jonker","Christiaan Jonker","South Africa","t20s",2,2,57,49,0,28.5,30,190,0,0,5,3
"CH Morris","Christopher Henry Morris","South Africa","t20s",13,13,133,55,4,14.78,106,125.47,1,0,12,5
"CA Ingram","Colin Alexander Ingram","South Africa","t20s",9,9,210,78,1,26.25,165,127.27,1,0,23,7
"C Bosch","Corbin Bosch","South Africa","t20s",13,13,113,30,5,14.12,108,104.63,0,0,9,2
"DW Steyn","Dale Willem Steyn","South Africa","t20s",10,10,20,5,5,4,26,76.92,0,0,2,0
"D Paterson","Dane Paterson","South Africa","t20s",2,2,5,4,1,5,2,250,0,0,1,0
"DA Miller","David Andrew Miller","South Africa","t20s",119,119,2750,106,40,34.81,2012,136.68,10,2,180,138
"D Foxcroft","Dean Foxcroft","South Africa","t20s",4,4,88,34,0,22,81,108.64,0,0,2,5
"D Brevis","Dewald Brevis","South Africa","t20s",25,25,598,125,2,26,386,154.92,1,1,33,48
