"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AD Mathews","Angelo Davis Mathews","Sri Lanka","t20s",69,69,1343,81,20,27.41,1163,115.48,6,0,87,45
"AK Perera","Angelo Kanishka Perera","Sri Lanka","t20s",5,5,59,16,0,11.8,68,86.76,0,0,5,1
"AM Fernando","Asitha Madusanka Fernando","Sri Lanka","t20s",3,3,11,10,3,11,6,183.33,0,0,2,0
"N Pradeep","Aththachchi Nuwan Pradeep Roshan Fernando","Sri Lanka","t20s",4,4,10,8,3,10,15,66.67,0,0,1,0
"BAW Mendis","Balapuwaduge Ajantha Winslow Mendis","Sri Lanka","t20s",6,6,8,4,3,2.67,18,44.44,0,0,1,0
"BKG Mendis","Balapuwaduge Kusal Gimhan Mendis","Sri Lanka","t20s",99,99,2438,86,10,27.39,1949,125.09,19,0,215,92
"BMAJ Mendis","Balapuwaduge Manukulasuriya Amith Jeevan Mendis","Sri Lanka","t20s",15,15,207,43,5,20.7,186,111.29,0,0,18,6
"B Fernando","Binura Fernando","Sri Lanka","t20s",7,7,43,20,4,14.33,49,87.76,0,0,3,1
"BOP Fernando","Bodiyabaduge Oshada Piyumal Fernando","Sri Lanka","t20s",6,6,128,78,2,32,120,106.67,1,0,11,4
"CK Kapugedera","Chamara Kantha Kapugedera","Sri Lanka","t20s",36,36,675,50,6,22.5,589,114.6,1,0,56,24
"C Karunaratne","Chamika Karunaratne","Sri Lanka","t20s",33,33,272,24,16,16,266,102.26,0,0,13,11
"C Wickramasinghe","Chamindu Wickramasinghe","Sri Lanka","t20s",3,3,14,6,3,14,11,127.27,0,0,2,0
"CBRLS Kumara","Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara","Sri Lanka","t20s",5,5,10,4,2,3.33,11,90.91,0,0,2,0
"CAK Rajitha","Chandrasekara Arachchilage Kasun Rajitha","Sri Lanka","t20s",8,8,31,9,6,15.5,61,50.82,0,0,2,0
"CRD Fernando","Congenige Randhi Dilhara Fernando","Sri Lanka","t20s",5,5,25,21,0,5,28,89.29,0,0,4,0
"DPMD Jayawardene","Denagamage Proboth Mahela de Silva Jayawardene","Sri Lanka","t20s",52,52,1462,100,11,35.66,1144,127.8,9,1,168,33
"DM de Silva","Dhananjaya Maduranga de Silva","Sri Lanka","t20s",44,44,786,62,5,20.15,723,108.71,2,0,68,15
"N Dickwella","Dickwella Patabendige Dilantha Niroshan Dickwella","Sri Lanka","t20s",26,26,480,68,1,19.2,374,128.34,1,0,61,9
"DAS Gunaratne","Downdegedara Asela Sampath Gunaratne","Sri Lanka","t20s",12,12,225,84,3,25,183,122.95,2,0,19,6
"DN Wellalage","Dunith Nethmika Wellalage","Sri Lanka","t20s",9,9,93,29,4,18.6,94,98.94,0,0,9,2
"EMDY Munaweera","Eldeniya Medagedara Dilshan Yasika Munaweera","Sri Lanka","t20s",13,13,215,53,1,17.92,172,125,1,0,25,7
"GSNFG Jayasuriya","Gampalage Shehan Naveendra De Fonseka Gunawarna Jayasuriya","Sri Lanka","t20s",16,16,241,40,0,15.06,228,105.7,0,0,20,8
"CU Jayasinghe","Halwathurage Chinthaka Umesh Jayasinghe","Sri Lanka","t20s",3,3,49,38,2,49,49,100,0,0,3,1
"HMCM Bandara","Herath Mudiyanselage Charitha Malinga Bandara","Sri Lanka","t20s",3,3,12,7,1,6,15,80,0,0,0,0
"HMRKB Herath","Herath Mudiyanselage Rangana Keerthi Bandara Herath","Sri Lanka","t20s",5,5,8,3,2,2.67,12,66.67,0,0,0,0
"HDRL Thirimanne","Hettige Don Rumesh Lahiru Thirimanne","Sri Lanka","t20s",19,19,285,44,3,17.81,256,111.33,0,0,26,5
"S Randiv","Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla","Sri Lanka","t20s",2,2,8,6,0,4,6,133.33,0,0,1,0
"N Thushara","Ilandari Dewage Nuwan Thushara","Sri Lanka","t20s",8,8,4,2,8,4,24,16.67,0,0,0,0
"I Udana","Isuru Udana Tillakaratna","Sri Lanka","t20s",24,24,256,84,10,18.29,191,134.03,1,0,16,14
"JRMVB Sanjaya","Jayasundara Ranasinghe Mudiyanselage Vikum Bandara Sanjaya","Sri Lanka","t20s",5,5,20,6,2,6.67,18,111.11,0,0,3,0
