"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"Aayan Afzal Khan","Aayan Afzal Khan","United Arab Emirates","t20s",14,14,142,42,4,14.2,162,87.65,0,0,9,2
"Adnan Mufti","Adnan Mufti","United Arab Emirates","t20s",1,1,7,7,1,7,7,100,0,0,0,0
"Ahmed Raza","Ahmed Raza","United Arab Emirates","t20s",16,16,108,22,6,10.8,136,79.41,0,0,3,5
"Ali Naseer","Ali Aamer Naseer","United Arab Emirates","t20s",24,24,277,48,7,16.29,225,123.11,0,0,18,11
"A Sharafu","Alishan Sharafu","United Arab Emirates","t20s",60,60,1692,90,8,32.54,1316,128.57,14,0,163,71
"Amir Hayat","Amir Hayat","United Arab Emirates","t20s",2,2,3,3,0,1.5,6,50,0,0,0,0
"Amjad Ali","Amjad Ali","United Arab Emirates","t20s",5,5,42,20,1,10.5,55,76.36,0,0,6,0
"Amjad Gul","Amjad Gul Khan","United Arab Emirates","t20s",1,1,24,24,0,24,22,109.09,0,0,3,1
"Amjad Javed","Amjad Javed","United Arab Emirates","t20s",14,14,240,76,3,21.82,226,106.19,1,0,12,15
"Ansh Tandon","Ansh Tandon","United Arab Emirates","t20s",5,5,34,14,1,8.5,35,97.14,0,0,3,1
"Aryan Lakra","Aryan Lakra","United Arab Emirates","t20s",8,8,50,19,1,7.14,58,86.21,0,0,3,2
"AM Guruge","Asanka Manjula Guruge","United Arab Emirates","t20s",3,3,3,1,2,3,8,37.5,0,0,0,0
"A Valthapa","Ashwanth Valthapa","United Arab Emirates","t20s",1,1,5,5,0,5,12,41.67,0,0,1,0
"Asif Khan","Asif Khan","United Arab Emirates","t20s",50,50,1197,79,9,29.2,901,132.85,6,0,76,76
"Basil Hameed","Basil Hameed","United Arab Emirates","t20s",46,46,715,51,16,23.83,571,125.22,2,0,36,38
"Chirag Suri","Chirag Suri","United Arab Emirates","t20s",28,28,740,88,2,28.46,654,113.15,6,0,77,17
"CP Rizwan","Chundangapoyil Puthiyapurayil Rizwan","United Arab Emirates","t20s",12,12,252,51,2,25.2,230,109.57,1,0,21,4
"DDP D'Silva","Darius Del Piero D'Silva","United Arab Emirates","t20s",6,6,91,29,4,45.5,111,81.98,0,0,5,0
"D Parashar","Dhruv Parashar","United Arab Emirates","t20s",22,22,216,32,12,21.6,207,104.35,0,0,9,8
"EHSN Silva","Elle Hennadige Shadeep Nadeeja Silva","United Arab Emirates","t20s",2,2,16,13,2,16,23,69.57,0,0,1,0
"Ethan D'Souza","Ethan Carl D'Souza","United Arab Emirates","t20s",7,7,107,34,0,15.29,103,103.88,0,0,10,1
"Fahad Tariq","Fahad Tariq Raja","United Arab Emirates","t20s",4,4,19,16,0,4.75,26,73.08,0,0,1,1
"Faizan Asif","Faizan Asif","United Arab Emirates","t20s",5,5,52,17,0,10.4,49,106.12,0,0,5,2
"Farhan Ahmed","Farhan Ahmed","United Arab Emirates","t20s",1,1,4,4,0,4,8,50,0,0,0,0
"Fayyaz Ahmed","Fayyaz Ahmed","United Arab Emirates","t20s",1,1,11,11,0,11,12,91.67,0,0,2,0
"Ghulam Shabber","Ghulam Shabber","United Arab Emirates","t20s",10,10,150,58,4,25,136,110.29,1,0,17,3
"Hafiz Qaleem","Hafiz Qaleem","United Arab Emirates","t20s",1,1,2,2,0,2,4,50,0,0,0,0
"Hazrat Luqman","Hazrat Luqman","United Arab Emirates","t20s",1,1,8,8,0,8,6,133.33,0,0,0,0
"Ibrar Ahmad","Ibrar Ahmad","United Arab Emirates","t20s",2,2,8,8,0,4,6,133.33,0,0,2,0
"Imran Haider","Imran Haider","United Arab Emirates","t20s",2,2,4,4,2,4,8,50,0,0,0,0
"J Figy John","Jonathan Figy","United Arab Emirates","t20s",2,2,19,19,0,9.5,30,63.33,0,0,1,1
"Kamran Shazad","Kamran Shazad","United Arab Emirates","t20s",2,2,21,21,0,10.5,18,116.67,0,0,1,2
"KP Meiyappan","Karthik Palaniapan Meiyappan","United Arab Emirates","t20s",3,3,19,12,1,9.5,25,76,0,0,2,0
"Kashif Daud","Kashif Daud","United Arab Emirates","t20s",10,10,90,28,3,12.86,68,132.35,0,0,4,6
"Khalid Shah","Khalid Shah","United Arab Emirates","t20s",7,7,116,37,1,19.33,109,106.42,0,0,10,6
"Khurram Khan","Khurram Khan","United Arab Emirates","t20s",3,3,73,31,0,24.33,77,94.81,0,0,8,1
"L Sreekumar","Laxman Sreekumar","United Arab Emirates","t20s",1,1,0,0,0,0,1,0,0,0,0,0
"Matiullah Khan","Matiullah Khan","United Arab Emirates","t20s",2,2,1,1,2,1,6,16.67,0,0,0,0
"Mohammad Ali","Mohammad Ali","United Arab Emirates","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"Ashfaq Ahmed","Mohammad Ashfaq Ahmed","United Arab Emirates","t20s",10,10,128,75,0,12.8,112,114.29,1,0,16,4
"Mohammad Boota","Mohammad Boota","United Arab Emirates","t20s",13,13,120,20,6,17.14,109,110.09,0,0,9,4
"Mohammad Naveed","Mohammad Naveed","United Arab Emirates","t20s",19,19,165,27,7,13.75,139,118.71,0,0,16,7
"Mohammad Shahzad (2)","Mohammad Shahzad","United Arab Emirates","t20s",14,14,189,52,2,15.75,179,105.59,1,0,19,5
"Mohammad Tauqir","Mohammad Tauqir","United Arab Emirates","t20s",2,2,4,4,1,4,6,66.67,0,0,1,0
"Mohammad Usman","Mohammad Usman","United Arab Emirates","t20s",2,2,58,49,1,58,63,92.06,0,0,4,3
"Mohammed Faraazuddin","Mohammed Faraazuddin","United Arab Emirates","t20s",4,4,24,21,1,8,29,82.76,0,0,1,0
"Mohammed Qasim","Mohammed Qasim","United Arab Emirates","t20s",5,5,54,13,1,13.5,66,81.82,0,0,3,1
"Mohammad Ayaz","Muhammad Ayaz","United Arab Emirates","t20s",1,1,0,0,0,0,2,0,0,0,0,0
"Muhammad Jawadullah","Muhammad Jawadullah","United Arab Emirates","t20s",4,4,12,6,2,6,16,75,0,0,1,0
