"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"Aaron Jones","Aaron Jones","United States of America","t20s",42,42,767,94,10,23.97,697,110.04,2,0,40,39
"AA Paradkar","Abhishek Ashish Paradkar","United States of America","t20s",2,2,16,10,1,16,13,123.08,0,0,2,0
"Ali Sheikh","Ali Sheikh","United States of America","t20s",3,3,22,17,1,11,20,110,0,0,1,0
"CAH Stevenson","Cameron Aaron Henry Stevenson","United States of America","t20s",3,3,13,8,1,6.5,19,68.42,0,0,0,0
"CJ Gannon","Cameron John Gannon","United States of America","t20s",3,3,12,7,2,12,9,133.33,0,0,0,1
"D Siva Kumar","Duvvarapu Siva Kumar","United States of America","t20s",1,1,7,7,1,7,14,50,0,0,1,0
"EH Hutchinson","Elmore Howard Hutchinson","United States of America","t20s",1,1,16,16,0,16,8,200,0,0,3,0
"IG Holland","Ian Gabriel Holland","United States of America","t20s",3,3,47,39,1,23.5,54,87.04,0,0,4,0
"Jasdeep Singh","Jasdeep Singh","United States of America","t20s",13,13,91,31,2,8.27,103,88.35,0,0,2,5
"JS Malhotra","Jaskaran Singh Malhotra","United States of America","t20s",14,14,248,58,3,22.55,219,113.24,1,0,18,9
"J Theron","Juan Theron","United States of America","t20s",6,6,41,31,6,41,28,146.43,0,0,4,1
"J Drysdale","Juanoy Drysdale","United States of America","t20s",3,3,5,4,2,5,6,83.33,0,0,1,0
"K Gore","Karima Gore","United States of America","t20s",3,3,47,31,1,23.5,32,146.88,0,0,4,2
"KRP Silva","Kombu Roy Prasanga Silva","United States of America","t20s",2,2,32,25,0,16,14,228.57,0,0,2,3
"MO Kain","Martin Owen Kain","United States of America","t20s",6,6,71,39,1,14.2,50,142,0,0,5,3
"MD Patel","Monank Dilipbhai Patel","United States of America","t20s",40,40,1011,104,5,28.89,762,132.68,7,1,106,33
"Ali Khan","Muhammad Ahsan Ali Khan","United States of America","t20s",5,5,15,14,3,7.5,12,125,0,0,1,1
"NP Kenjige","Nosthusha Pradeep Kenjige","United States of America","t20s",8,8,10,6,3,2,21,47.62,0,0,0,0
"RM Jariwala","Rahul Mihir Jariwala","United States of America","t20s",1,1,35,35,0,35,33,106.06,0,0,4,0
"RR Behera","Ritwik Rasananda Behera","United States of America","t20s",2,2,16,16,0,8,28,57.14,0,0,1,0
"RM Scott","Ryan Mark Scott","United States of America","t20s",2,2,19,11,0,9.5,20,95,0,0,3,0
"SR Mukkamalla","Saiteja Reddy Mukkamalla","United States of America","t20s",21,21,737,100,3,40.94,515,143.11,6,1,72,31
"SP Krishnamurthi","Sanjay Prasad Krishnamurthi","United States of America","t20s",9,9,196,68,3,32.67,141,139.01,1,0,11,12
"SN Netravalkar","Saurabh Naresh Netravalkar","United States of America","t20s",10,10,42,12,4,7,49,85.71,0,0,2,1
"Shayan Jahangir","Shayan Jahangir","United States of America","t20s",21,21,463,61,6,30.87,353,131.16,2,0,41,18
"SV Wiig","Stephen Vishwas Wiig","United States of America","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"Steven Ryan Taylor","Steven Ryan Taylor","United States of America","t20s",8,8,265,72,1,37.86,213,124.41,2,0,28,10
"S Sohal","Sunny Sohal","United States of America","t20s",2,2,23,18,0,11.5,30,76.67,0,0,1,1
"SJ Modani","Sushant Jayachandra Modani","United States of America","t20s",4,4,93,50,1,31,71,130.99,1,0,5,3
"TK Patel","Timil Kaushik Patel","United States of America","t20s",3,3,17,14,3,17,19,89.47,0,0,1,0
"TP Allen","Timroy Patrick Allen","United States of America","t20s",3,3,27,11,1,13.5,19,142.11,0,0,0,3
"Utkarsh Srivastava","Utkarsh Srivastava","United States of America","t20s",1,1,9,9,0,9,8,112.5,0,0,1,0
"VM Vaghela","Vatsal Mahesh Vaghela","United States of America","t20s",1,1,29,29,0,29,32,90.62,0,0,2,0
"XM Marshall","Xavier Melbourne Marshall","United States of America","t20s",17,17,261,36,0,15.35,267,97.75,0,0,22,8
"Yasir Mohammad","Yasir Saeed Mohammad","United States of America","t20s",5,5,24,16,1,6,41,58.54,0,0,0,0
