"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"AWJ Auguste","Ackeem Wayne Jarrell Auguste","West Indies","t20s",8,8,164,50,2,27.33,121,135.54,1,0,11,11
"AB Barath","Adrian Boris Barath","West Indies","t20s",2,2,23,15,0,11.5,42,54.76,0,0,3,0
"AJ Hosein","Akeal Jerome Hosein","West Indies","t20s",36,36,293,44,20,18.31,268,109.33,0,0,18,15
"A Athanaze","Alick Athanaze","West Indies","t20s",14,14,326,60,1,25.08,263,123.95,2,0,31,17
"AS Joseph","Alzarri Shaheim Joseph","West Indies","t20s",19,19,129,21,11,16.12,130,99.23,0,0,9,5
"AA Jangoo","Amir Anthony Jangoo","West Indies","t20s",6,6,160,74,2,40,129,124.03,1,0,16,8
"ADS Fletcher","Andre David Stephon Fletcher","West Indies","t20s",56,56,973,84,8,20.27,913,106.57,6,0,65,53
"AD Russell","Andre Dwayne Russell","West Indies","t20s",71,71,1112,71,24,23.66,706,157.51,3,0,65,95
"AM McCarthy","Andre McIntosh McCarthy","West Indies","t20s",1,1,5,5,0,5,8,62.5,0,0,0,0
"AR Nurse","Ashley Renaldo Nurse","West Indies","t20s",8,8,85,20,6,42.5,78,108.97,0,0,7,3
"ACL Richards","Austin Conroy Lenroy Richards","West Indies","t20s",1,1,10,10,0,10,17,58.82,0,0,1,0
"BA King","Brandon Alexander King","West Indies","t20s",75,75,1848,85,4,26.03,1415,130.6,13,0,203,81
"BA Parchment","Brenton Anthony Parchment","West Indies","t20s",1,1,10,10,0,10,6,166.67,0,0,1,1
"CR Brathwaite","Carlos Ricardo Brathwaite","West Indies","t20s",25,25,289,37,6,15.21,267,108.24,0,0,13,19
"CS Baugh","Carlton Seymour Baugh","West Indies","t20s",3,3,10,7,1,5,12,83.33,0,0,1,0
"CAK Walton","Chadwick Antonio Kirkpatrick Walton","West Indies","t20s",14,14,174,40,0,12.43,172,101.16,0,0,14,10
"CD Barnwell","Christopher Dion Barnwell","West Indies","t20s",6,6,78,34,2,19.5,65,120,0,0,4,4
"CH Gayle","Christopher Henry Gayle","West Indies","t20s",75,75,1932,117,8,28.84,1479,130.63,14,2,159,128
"DM Richards","Dale Maurice Richards","West Indies","t20s",1,1,0,0,0,0,1,0,0,0,0,0
"DP Hyatt","Danza Pacino Hyatt","West Indies","t20s",5,5,64,28,1,16,55,116.36,0,0,4,4
"DBL Powell","Daren Brent Lyle Powell","West Indies","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"D Ganga","Daren Ganga","West Indies","t20s",1,1,26,26,0,26,31,83.87,0,0,3,1
"DJG Sammy","Daren Julius Garvey Sammy","West Indies","t20s",49,49,581,42,17,18.16,412,141.02,0,0,46,31
"DM Bravo","Darren Michael Bravo","West Indies","t20s",22,22,405,43,4,22.5,400,101.25,0,0,32,14
"DE Bernard","David Eddison Bernard","West Indies","t20s",1,1,1,1,1,1,1,100,0,0,0,0
"D Ramdin","Denesh Ramdin","West Indies","t20s",46,46,574,55,15,18.52,502,114.34,1,0,49,18
"DO Christian","Derwin O'Neil Christian","West Indies","t20s",1,1,0,0,0,0,2,0,0,0,0,0
"D Bishoo","Devendra Bishoo","West Indies","t20s",4,4,17,8,2,8.5,30,56.67,0,0,2,0
"DC Thomas","Devon Cuthbert Thomas","West Indies","t20s",7,7,51,31,1,8.5,54,94.44,0,0,4,2
"DS Smith","Devon Sheldon Smith","West Indies","t20s",6,6,203,61,1,40.6,170,119.41,2,0,22,5
"DC Drakes","Dominic Conneil Drakes","West Indies","t20s",5,5,15,5,0,3,21,71.43,0,0,3,0
"DJ Bravo","Dwayne John Bravo","West Indies","t20s",72,72,1227,66,18,22.72,1101,111.44,4,0,72,54
"DR Smith","Dwayne Romel Smith","West Indies","t20s",32,32,582,72,2,19.4,484,120.25,3,0,62,31
"E Lewis","Evin Lewis","West Indies","t20s",57,57,1606,125,3,29.74,1057,151.94,12,2,123,125
"FA Allen","Fabian Anthony Allen","West Indies","t20s",28,28,293,34,8,14.65,220,133.18,0,0,20,21
"FH Edwards","Fidel Henderson Edwards","West Indies","t20s",6,6,11,7,5,11,14,78.57,0,0,1,0
"FL Reifer","Floyd Lamonte Reifer","West Indies","t20s",1,1,22,22,0,22,20,110,0,0,2,1
"GE Mathurin","Garey Earl Mathurin","West Indies","t20s",2,2,4,3,2,4,5,80,0,0,0,0
"G Motie","Gudakesh Motie","West Indies","t20s",20,20,166,33,8,13.83,138,120.29,0,0,11,11
"HR Walsh","Hayden Rashidi Walsh","West Indies","t20s",15,15,147,28,6,16.33,151,97.35,0,0,9,5
"JN Mohammed","Jason Nazimuddin Mohammed","West Indies","t20s",6,6,49,17,1,9.8,63,77.78,0,0,6,0
"JO Holder","Jason Omar Holder","West Indies","t20s",65,65,869,49,21,19.75,638,136.21,0,0,51,59
"JNT Seales","Jayden Nigel Tristen Seales","West Indies","t20s",2,2,4,4,1,4,4,100,0,0,1,0
"J Blades","Jediah Blades","West Indies","t20s",3,3,5,3,3,5,13,38.46,0,0,0,0
"JE Taylor","Jerome Everton Taylor","West Indies","t20s",14,14,118,21,6,14.75,95,124.21,0,0,10,6
"J Andrew","Jewel Andrew","West Indies","t20s",5,5,78,35,0,15.6,82,95.12,0,0,5,4
"JD Campbell","John Dillon Campbell","West Indies","t20s",2,2,11,11,0,5.5,16,68.75,0,0,2,0
"J Charles","Johnson Charles","West Indies","t20s",63,63,1416,118,2,23.21,1149,123.24,5,1,149,68
"JP Greaves","Justin Pierre Greaves","West Indies","t20s",1,1,6,6,0,6,5,120,0,0,0,0
"KU Carty","Keacy Uydess Carty","West Indies","t20s",5,5,70,49,1,17.5,54,129.63,0,0,5,5
"KMA Paul","Keemo Mandela Angus Paul","West Indies","t20s",14,14,172,29,6,21.5,155,110.97,0,0,10,10
"KAJ Roach","Kemar Andre Jamal Roach","West Indies","t20s",1,1,3,3,1,3,2,150,0,0,0,0
"KOK Williams","Kesrick Omari Kenal Williams","West Indies","t20s",5,5,19,13,2,6.33,18,105.56,0,0,1,1
"K Sinclair","Kevin Sinclair","West Indies","t20s",2,2,3,3,1,3,9,33.33,0,0,0,0
