"player_name","full_name","country","format","matches","innings","total_runs","highest_score","not_outs","average","total_balls","strike_rate","fifties","hundreds","fours","sixes"
"A Ndlovu","Ainsley Ndlovu","Zimbabwe","t20s",3,3,10,5,1,5,13,76.92,0,0,1,0
"AG Cremer","Alexander Graeme Cremer","Zimbabwe","t20s",16,16,65,17,4,5.42,100,65,0,0,2,0
"AM Blignaut","Arnoldus Mauritius Blignaut","Zimbabwe","t20s",1,1,8,8,0,8,9,88.89,0,0,1,0
"B Muzarabani","Blessing Muzarabani","Zimbabwe","t20s",22,22,48,9,9,3.69,71,67.61,0,0,6,1
"B Evans","Brad Evans","Zimbabwe","t20s",13,13,103,43,3,10.3,97,106.19,0,0,3,7
"B Mavuta","Brandon Anesu Mavuta","Zimbabwe","t20s",7,7,55,28,4,18.33,43,127.91,0,0,3,2
"BRM Taylor","Brendan Ross Murray Taylor","Zimbabwe","t20s",49,49,1151,123,8,28.07,933,123.37,7,1,119,28
"BB Chari","Brian Bara Chari","Zimbabwe","t20s",3,3,21,19,0,7,31,67.74,0,0,4,0
"BJ Bennett","Brian John Bennett","Zimbabwe","t20s",55,55,1786,111,6,36.45,1260,141.75,13,1,205,56
"BV Vitori","Brian Vitalis Vitori","Zimbabwe","t20s",2,2,8,7,2,8,7,114.29,0,0,0,0
"CT Mumba","Carl Tapfuma Mumba","Zimbabwe","t20s",4,4,39,25,1,13,44,88.64,0,0,4,1
"C Zhuwao","Cephas Zhuwao","Zimbabwe","t20s",4,4,36,24,0,9,42,85.71,0,0,5,1
"CJ Chibhabha","Chamunorwa Justice Chibhabha","Zimbabwe","t20s",26,26,512,67,0,19.69,459,111.55,4,0,59,13
"CK Coventry","Charles Kevin Coventry","Zimbabwe","t20s",12,12,127,30,2,12.7,90,141.11,0,0,14,6
"CB Mpofu","Christopher Bobby Mpofu","Zimbabwe","t20s",10,10,35,17,6,8.75,43,81.4,0,0,3,1
"C Madande","Clive Madande","Zimbabwe","t20s",36,36,599,53,11,23.96,520,115.19,1,0,48,19
"CT Mutombodzi","Confidence Tinotenda Mutombodzi","Zimbabwe","t20s",12,12,113,32,2,11.3,124,91.13,0,0,8,2
"CR Ervine","Craig Richard Ervine","Zimbabwe","t20s",64,64,1423,70,7,24.96,1382,102.97,9,0,139,30
"D Myers","Dion Nephy Myers","Zimbabwe","t20s",29,29,553,96,3,21.27,444,124.55,2,0,51,17
"DT Tiripano","Donald Tatenda Tiripano","Zimbabwe","t20s",9,9,122,28,2,17.43,134,91.04,0,0,6,5
"EC Rainsford","Edward Charles Rainsford","Zimbabwe","t20s",1,1,1,1,1,1,2,50,0,0,0,0
"E Chigumbura","Elton Chigumbura","Zimbabwe","t20s",46,46,769,54,10,21.36,554,138.81,3,0,54,46
"F Mutizwa","Forster Mutizwa","Zimbabwe","t20s",3,3,38,22,1,19,36,105.56,0,0,3,0
"GS Ballance","Gary Simon Ballance","Zimbabwe","t20s",1,1,30,30,0,30,30,100,0,0,2,1
"GA Lamb","Gregory Arthur Lamb","Zimbabwe","t20s",4,4,32,14,2,16,55,58.18,0,0,1,0
"H Masakadza","Hamilton Masakadza","Zimbabwe","t20s",54,54,1230,93,6,25.62,1140,107.89,7,0,117,40
"I Kaia","Innocent Kaia","Zimbabwe","t20s",16,16,218,37,2,15.57,199,109.55,0,0,23,5
"J Nyumbu","John Nyumbu","Zimbabwe","t20s",2,2,7,6,2,7,11,63.64,0,0,1,0
"J Campbell","Johnathan Mitchell Ross Campbell","Zimbabwe","t20s",13,13,238,45,3,23.8,195,122.05,0,0,15,12
"J Gumbie","Joylord Gumbie","Zimbabwe","t20s",3,3,43,17,0,14.33,53,81.13,0,0,6,0
"KO Meth","Keegan Orry Meth","Zimbabwe","t20s",1,1,6,6,1,6,6,100,0,0,0,0
"KM Dabengwa","Keith Mbusi Dabengwa","Zimbabwe","t20s",2,2,13,12,1,13,8,162.5,0,0,1,1
"KM Jarvis","Kyle Malcolm Jarvis","Zimbabwe","t20s",8,8,39,27,2,6.5,49,79.59,0,0,1,2
"LM Jongwe","Luke Mafuwa Jongwe","Zimbabwe","t20s",43,43,483,35,16,17.89,405,119.26,0,0,42,14
"MN Waller","Malcolm Noel Waller","Zimbabwe","t20s",23,23,507,68,4,26.68,371,136.66,1,0,36,24
"M Shumba","Milton Shumba","Zimbabwe","t20s",25,25,376,66,8,22.12,342,109.94,1,0,23,13
"M Faraz Akram","Mohammad Faraz Akram","Zimbabwe","t20s",7,7,91,34,4,30.33,67,135.82,0,0,4,6
"N M'shangwe","Natsai M'shangwe","Zimbabwe","t20s",2,2,5,5,1,5,4,125,0,0,1,0
"N Madziva","Neville Madziva","Zimbabwe","t20s",8,8,62,28,4,15.5,63,98.41,0,0,4,3
"NR Welch","Nicholas Roy Welch","Zimbabwe","t20s",7,7,97,25,0,13.86,94,103.19,0,0,12,1
"O Muzondo","Owen Muzondo","Zimbabwe","t20s",2,2,17,15,1,17,9,188.89,0,0,1,1
"PJ Moor","Peter Joseph Moor","Zimbabwe","t20s",15,15,313,92,3,26.08,249,125.7,1,0,19,21
"P Utseya","Prosper Utseya","Zimbabwe","t20s",17,17,77,13,8,8.56,101,76.24,0,0,5,1
"RW Price","Raymond William Price","Zimbabwe","t20s",5,5,14,7,1,3.5,25,56,0,0,1,0
"RW Chakabva","Regis Wiriranai Chakabva","Zimbabwe","t20s",44,44,563,48,1,13.09,494,113.97,0,0,51,23
"R Ngarava","Richard Ngarava","Zimbabwe","t20s",28,28,95,12,14,6.79,85,111.76,0,0,10,4
"R Mutumbami","Richmond Mutumbami","Zimbabwe","t20s",18,18,264,54,2,16.5,228,115.79,1,0,17,14
"R Mupfudza","Rodney Mupfudza","Zimbabwe","t20s",5,5,115,39,1,28.75,128,89.84,0,0,9,3
"RP Burl","Ryan Ponsonby Burl","Zimbabwe","t20s",94,94,1726,67,32,27.84,1401,123.2,4,0,134,66
