"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AJ Finch","Aaron James Finch","Australia","t20s",2,2,12,"2.0",27,0,27,13.5,12,0,0,"0/9"
"AM Hardie","Aaron Mark Hardie","Australia","t20s",13,13,241,"40.1",353,13,27.15,8.79,18.54,0,0,"3/21"
"AC Voges","Adam Charles Voges","Australia","t20s",1,1,12,"2.0",5,2,2.5,2.5,6,0,0,"2/5"
"A Zampa","Adam Zampa","Australia","t20s",110,110,2419,"403.1",3036,143,21.23,7.53,16.92,5,1,"5/19"
"AJ Tye","Andrew James Tye","Australia","t20s",31,31,683,"113.5",1010,47,21.49,8.87,14.53,1,0,"4/25"
"A Symonds","Andrew Symonds","Australia","t20s",12,12,185,"30.5",281,8,35.12,9.11,23.12,0,0,"2/14"
"AA Noffke","Ashley Allan Noffke","Australia","t20s",2,2,45,"7.3",41,4,10.25,5.47,11.25,0,0,"3/18"
"AC Agar","Ashton Charles Agar","Australia","t20s",48,48,1018,"169.4",1131,49,23.08,6.67,20.78,0,2,"6/30"
"AJ Turner","Ashton James Turner","Australia","t20s",6,6,78,"13.0",83,4,20.75,6.38,19.5,0,0,"2/12"
"B Laughlin","Ben Laughlin","Australia","t20s",3,3,71,"11.5",123,2,61.5,10.39,35.5,0,0,"1/35"
"BAD Manenti","Benjamin Andrew Davey Manenti","Australia","t20s",12,12,264,"44.0",337,8,42.12,7.66,33,0,0,"2/21"
"BCJ Cutting","Benjamin Colin James Cutting","Australia","t20s",7,7,126,"21.0",216,3,72,10.29,42,0,0,"1/18"
"BJ Dwarshuis","Benjamin James Dwarshuis","Australia","t20s",15,15,342,"57.0",545,22,24.77,9.56,15.55,1,0,"4/38"
"BW Hilfenhaus","Benjamin William Hilfenhaus","Australia","t20s",7,7,156,"26.0",170,9,18.89,6.54,17.33,0,0,"2/20"
"B Stanlake","Billy James Stanlake","Australia","t20s",19,19,420,"70.0",556,27,20.59,7.94,15.56,1,0,"4/8"
"BJ Hodge","Bradley John Hodge","Australia","t20s",3,3,30,"5.0",45,1,45,9,30,0,0,"1/15"
"B Geeves","Brett Geeves","Australia","t20s",1,1,20,"3.2",35,2,17.5,10.5,10,0,0,"2/35"
"B Lee","Brett Lee","Australia","t20s",25,25,545,"90.5",738,28,26.36,8.12,19.46,0,0,"3/27"
"C Green","Cameron Donald Green","Australia","t20s",15,15,219,"36.3",341,14,24.36,9.34,15.64,0,0,"3/35"
"CJ Boyce","Cameron John Boyce","Australia","t20s",7,7,138,"23.0",152,8,19,6.61,17.25,0,0,"2/10"
"CL White","Cameron Leon White","Australia","t20s",5,5,42,"7.0",53,1,53,7.57,42,0,0,"1/11"
"CJ Green","Christopher James Green","Australia","t20s",1,1,24,"4.0",37,0,37,9.25,24,0,0,"0/37"
"CJ McKay","Clinton James McKay","Australia","t20s",6,6,136,"22.4",183,4,45.75,8.07,34,0,0,"2/24"
"C Connolly","Cooper Connolly","Australia","t20s",9,9,150,"25.0",231,3,77,9.24,50,0,0,"1/24"
"DJM Short","D'Arcy John Matthew Short","Australia","t20s",9,9,114,"19.0",152,3,50.67,8,38,0,0,"1/13"
"DR Sams","Daniel Richard Sams","Australia","t20s",10,10,180,"30.0",307,7,43.86,10.23,25.71,0,0,"2/40"
"DT Christian","Daniel Trevor Christian","Australia","t20s",21,21,279,"46.3",409,13,31.46,8.8,21.46,0,0,"3/27"
"DJ Hussey","David John Hussey","Australia","t20s",25,25,361,"60.1",406,19,21.37,6.75,19,0,0,"3/26"
"DP Nannes","Dirk Peter Nannes","Australia","t20s",16,16,366,"61.0",467,28,16.68,7.66,13.07,1,0,"4/18"
"DE Bollinger","Douglas Erwin Bollinger","Australia","t20s",9,9,210,"35.0",253,9,28.11,7.23,23.33,0,0,"1/24"
"Fawad Ahmed","Fawad Ahmed","Australia","t20s",2,2,48,"8.0",70,3,23.33,8.75,16,0,0,"3/27"
"GB Hogg","George Bradley Hogg","Australia","t20s",15,15,294,"49.0",381,7,54.43,7.78,42,0,0,"2/32"
"GD McGrath","Glenn Donald McGrath","Australia","t20s",2,2,48,"8.0",79,5,15.8,9.88,9.6,0,0,"3/31"
"GJ Maxwell","Glenn James Maxwell","Australia","t20s",85,85,1105,"184.1",1534,51,30.08,8.33,21.67,0,0,"3/14"
"JD Wildermuth","Jack David Wildermuth","Australia","t20s",2,2,18,"3.0",32,1,32,10.67,18,0,0,"1/16"
"J Edwards","Jack Edwards","Australia","t20s",1,1,12,"2.0",25,0,25,12.5,12,0,0,"0/25"
"JL Pattinson","James Lee Pattinson","Australia","t20s",4,4,78,"13.0",105,3,35,8.08,26,0,0,"2/18"
"JM Muirhead","James Matthew Muirhead","Australia","t20s",5,5,90,"15.0",111,6,18.5,7.4,15,0,0,"2/13"
"JP Faulkner","James Peter Faulkner","Australia","t20s",24,24,515,"85.5",707,36,19.64,8.24,14.31,0,1,"5/29"
"JR Hopes","James Redfern Hopes","Australia","t20s",12,12,222,"37.0",287,10,28.7,7.76,22.2,0,0,"2/26"
"J Thomas","Jamie Thomas","Australia","t20s",3,3,42,"7.0",45,1,45,6.43,42,0,0,"1/19"
"JN Gillespie","Jason Neil Gillespie","Australia","t20s",1,1,24,"4.0",49,1,49,12.25,24,0,0,"1/49"
"JP Behrendorff","Jason Paul Behrendorff","Australia","t20s",16,16,318,"53.0",454,18,25.22,8.57,17.67,1,0,"4/21"
"JA Richardson","Jhye Avon Richardson","Australia","t20s",18,18,396,"66.0",562,19,29.58,8.52,20.84,0,0,"3/26"
"JW Hastings","John Wayne Hastings","Australia","t20s",9,9,186,"31.0",255,7,36.43,8.23,26.57,0,0,"3/16"
"JR Hazlewood","Josh Reginald Hazlewood","Australia","t20s",57,57,1306,"217.4",1659,77,21.55,7.62,16.96,4,0,"4/30"
"KW Richardson","Kane William Richardson","Australia","t20s",35,35,732,"122.0",1025,44,23.3,8.4,16.64,1,0,"4/30"
"M Beardman","Mahli Beardman","Australia","t20s",1,1,24,"4.0",35,2,17.5,8.75,12,0,0,"2/35"
"MP Stoinis","Marcus Peter Stoinis","Australia","t20s",55,55,881,"146.5",1313,52,25.25,8.94,16.94,1,0,"4/24"
"MP Kuhnemann","Matthew Paul Kuhnemann","Australia","t20s",8,8,162,"27.0",220,3,73.33,8.15,54,0,0,"1/29"
"MW Short","Matthew William Short","Australia","t20s",10,10,108,"18.0",206,9,22.89,11.44,12,0,1,"5/22"
"MEK Hussey","Michael Edward Killeen Hussey","Australia","t20s",1,1,6,"1.0",6,0,6,6,6,0,0,"0/6"
"MJ Clarke","Michael John Clarke","Australia","t20s",15,15,156,"26.0",227,6,37.83,8.73,26,0,0,"1/25"
"ML Lewis","Michael Llewellyn Lewis","Australia","t20s",2,2,45,"7.3",50,4,12.5,6.67,11.25,0,0,"2/18"
"MR Swart","Michael Richard Swart","Australia","t20s",15,15,252,"42.0",277,12,23.08,6.6,21,0,0,"2/27"
"MS Kasprowicz","Michael Scott Kasprowicz","Australia","t20s",2,2,42,"7.0",57,5,11.4,8.14,8.4,1,0,"4/29"
"MA Starc","Mitchell Aaron Starc","Australia","t20s",65,65,1458,"243.0",1961,79,24.82,8.07,18.46,1,0,"4/20"
"MG Johnson","Mitchell Guy Johnson","Australia","t20s",30,30,657,"109.3",820,38,21.58,7.49,17.29,0,0,"3/22"
"MJ Owen","Mitchell J Owen","Australia","t20s",4,4,30,"5.0",62,2,31,12.4,15,0,0,"1/14"
"MJ Swepson","Mitchell Joseph Swepson","Australia","t20s",8,8,150,"25.0",205,11,18.64,8.2,13.64,0,0,"3/23"
"MR Marsh","Mitchell Ross Marsh","Australia","t20s",25,25,300,"50.0",391,17,23,7.82,17.65,0,0,"3/24"
"MC Henriques","Moises Constantino Henriques","Australia","t20s",10,10,138,"23.0",198,7,28.29,8.61,19.71,0,0,"3/23"
"NT Ellis","Nathan Ellis","Australia","t20s",36,36,753,"125.3",995,55,18.09,7.93,13.69,2,0,"4/28"
"NM Hauritz","Nathan Michael Hauritz","Australia","t20s",2,2,44,"7.2",48,2,24,6.55,22,0,0,"1/28"
"NM Lyon","Nathan Michael Lyon","Australia","t20s",2,2,30,"5.0",48,1,48,9.6,30,0,0,"1/33"
"NM Coulter-Nile","Nathan Mitchell Coulter-Nile","Australia","t20s",27,27,582,"97.0",827,34,24.32,8.53,17.12,1,0,"4/33"
"NW Bracken","Nathan Wade Bracken","Australia","t20s",19,19,377,"62.5",453,19,23.84,7.21,19.84,0,0,"3/16"
"PJ Cummins","Patrick James Cummins","Australia","t20s",55,55,1212,"202.0",1545,63,24.52,7.65,19.24,0,0,"3/25"
"PM Siddle","Peter Matthew Siddle","Australia","t20s",2,2,48,"8.0",65,3,21.67,8.12,16,0,0,"2/29"
"RP Meredith","Riley Patrick Meredith","Australia","t20s",6,6,137,"22.5",228,9,25.33,9.99,15.22,0,0,"3/50"
"R Edwards","Ross Edwards","Australia","t20s",4,4,66,"11.0",91,4,22.75,8.27,16.5,0,0,"2/36"
"RJ Harris","Ryan James Harris","Australia","t20s",3,3,70,"11.4",95,4,23.75,8.14,17.5,0,0,"2/27"
"SM Boland","Scott Michael Boland","Australia","t20s",3,3,66,"11.0",92,3,30.67,8.36,22,0,0,"3/27"
"SA Abbott","Sean Anthony Abbott","Australia","t20s",28,28,550,"91.4",870,34,25.59,9.49,16.18,1,0,"4/31"
"SM Harwood","Shane Michael Harwood","Australia","t20s",3,3,72,"12.0",115,3,38.33,9.58,24,0,0,"2/21"
