"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"Abdur Razzak","Abdur Razzak","Bangladesh","t20s",28,28,609,"101.3",719,34,21.15,7.08,17.91,1,0,"4/16"
"Abu Hider","Abu Hider Rony","Bangladesh","t20s",10,10,174,"29.0",290,5,58,10,34.8,0,0,"2/41"
"Abu Jayed","Abu Jayed Chowdhury","Bangladesh","t20s",1,1,24,"4.0",46,1,46,11.5,24,0,0,"1/46"
"Afif Hossain","Afif Hossain Dhrubo","Bangladesh","t20s",21,21,186,"31.0",252,10,25.2,8.13,18.6,0,0,"3/11"
"Aftab Ahmed","Aftab Ahmed Chowdhury","Bangladesh","t20s",2,2,20,"3.2",29,0,29,8.7,20,0,0,"0/8"
"Al-Amin Hossain","Al-Amin Hossain","Bangladesh","t20s",28,28,602,"100.2",733,43,17.05,7.31,14,0,0,"3/23"
"Alok Kapali","Alok Kapali","Bangladesh","t20s",2,2,30,"5.0",35,2,17.5,7,15,0,0,"2/12"
"Aminul Islam Biplob","Aminul Islam Biplob","Bangladesh","t20s",7,7,138,"23.0",176,10,17.6,7.65,13.8,0,0,"3/34"
"Arafat Sunny","Arafat Sunny","Bangladesh","t20s",10,10,186,"31.0",237,12,19.75,7.65,15.5,0,0,"2/17"
"Ebadat Hossain","Ebadot Hossain Chowdhury","Bangladesh","t20s",4,4,91,"15.1",147,7,21,9.69,13,0,0,"3/52"
"Farhad Reza","Farhad Reza","Bangladesh","t20s",10,10,151,"25.1",262,5,52.4,10.41,30.2,0,0,"2/34"
"Hasan Mahmud","Hasan Mahmud","Bangladesh","t20s",25,25,516,"86.0",687,28,24.54,7.99,18.43,0,0,"3/48"
"Hasan Murad","Hasan Murad","Bangladesh","t20s",1,1,12,"2.0",16,0,16,8,12,0,0,"0/16"
"Jubair Hossain","Jubair Hossain","Bangladesh","t20s",1,1,12,"2.0",20,2,10,10,6,0,0,"2/20"
"Shahadat Hossain","Kazi Shahadat Hossain","Bangladesh","t20s",5,5,96,"16.0",181,2,90.5,11.31,48,0,0,"1/44"
"Shohidul Islam","MD Shohidul Islam","Bangladesh","t20s",1,1,23,"3.5",34,1,34,8.87,23,0,0,"1/34"
"Suhrawadi Shuvo","MD Sohrawordi Shuvo","Bangladesh","t20s",1,1,6,"1.0",12,0,12,12,6,0,0,"0/12"
"Mahedi Hasan","Mahedi Hasan","Bangladesh","t20s",65,65,1391,"231.5",1589,67,23.72,6.85,20.76,2,0,"4/13"
"Mahmudul Hasan Joy","Mahmudul Hasan Joy","Bangladesh","t20s",1,1,2,"0.2",5,0,5,15,2,0,0,"0/5"
