"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AU Rashid","Adil Usman Rashid","England","t20s",135,135,2970,"495.0",3753,159,23.6,7.58,18.68,4,0,"4/35"
"AD Mascarenhas","Adrian Dimitri Mascarenhas","England","t20s",14,14,252,"42.0",319,12,26.58,7.6,21,0,0,"3/18"
"A Shahzad","Ajmal Shahzad","England","t20s",3,3,66,"11.0",101,3,33.67,9.18,22,0,0,"2/42"
"A Flintoff","Andrew Flintoff","England","t20s",7,7,150,"25.0",164,5,32.8,6.56,30,0,0,"2/23"
"AAP Atkinson","Angus Alexander Patrick Atkinson","England","t20s",4,4,65,"10.5",123,6,20.5,11.35,10.83,1,0,"4/20"
"BA Stokes","Benjamin Andrew Stokes","England","t20s",34,34,570,"95.0",826,23,35.91,8.69,24.78,0,0,"3/30"
"BA Carse","Brydon Alexander Carse","England","t20s",13,13,268,"44.4",417,20,20.85,9.34,13.4,0,0,"3/24"
"CJ Jordan","Christopher James Jordan","England","t20s",93,93,1941,"323.3",2881,109,26.43,8.91,17.81,4,0,"4/29"
"CP Schofield","Christopher Paul Schofield","England","t20s",4,4,77,"12.5",92,4,23,7.17,19.25,0,0,"2/15"
"CR Woakes","Christopher Roger Woakes","England","t20s",32,32,587,"97.5",825,30,27.5,8.43,19.57,0,0,"3/9"
"CT Tremlett","Christopher Timothy Tremlett","England","t20s",1,1,24,"4.0",46,2,23,11.5,12,0,0,"2/46"
"DR Mousley","Daniel Richard Mousley","England","t20s",4,4,54,"9.0",83,2,41.5,9.22,27,0,0,"2/30"
"DR Briggs","Danny Richard Briggs","England","t20s",6,6,108,"18.0",201,5,40.2,11.17,21.6,0,0,"2/25"
"D Gough","Darren Gough","England","t20s",2,2,41,"6.5",51,3,17,7.46,13.67,0,0,"3/17"
"DL Maddy","Darren Lee Maddy","England","t20s",2,2,18,"3.0",27,3,9,9,6,0,0,"2/6"
"DJ Willey","David Jonathan Willey","England","t20s",42,42,841,"140.1",1202,49,24.53,8.58,17.16,1,0,"4/7"
"DJ Malan","Dawid Johannes Malan","England","t20s",1,1,12,"2.0",27,1,27,13.5,12,0,0,"1/27"
"GJ Batty","Gareth Jon Batty","England","t20s",1,1,18,"3.0",17,0,17,5.67,18,0,0,"0/17"
"GHS Garton","George Henry Simmons Garton","England","t20s",1,1,24,"4.0",57,1,57,14.25,24,0,0,"1/57"
"GP Swann","Graeme Peter Swann","England","t20s",37,37,786,"131.0",863,49,17.61,6.59,16.04,0,0,"3/27"
"HF Gurney","Harry Frederick Gurney","England","t20s",2,2,48,"8.0",56,3,18.67,7,16,0,0,"2/26"
"I Wardlaw","Iain Wardlaw","England","t20s",1,1,24,"4.0",43,2,21.5,10.75,12,0,0,"2/43"
"JG Bethell","Jacob Graham Bethell","England","t20s",6,6,93,"15.3",142,8,17.75,9.16,11.62,1,0,"4/16"
"JT Ball","Jacob Timothy Ball","England","t20s",2,2,42,"7.0",88,2,44,12.57,21,0,0,"1/49"
"JW Dernbach","Jade Winston Dernbach","England","t20s",38,38,812,"135.2",1199,42,28.55,8.86,19.33,1,0,"4/27"
"JC Tredwell","James Cullum Tredwell","England","t20s",15,15,317,"52.5",422,7,60.29,7.99,45.29,0,0,"1/27"
"JM Anderson","James Michael Anderson","England","t20s",19,19,422,"70.2",564,18,31.33,8.02,23.44,0,0,"3/24"
"JWM Dalrymple","James William Murray Dalrymple","England","t20s",3,3,30,"5.0",40,2,20,8,15,0,0,"1/10"
"J Overton","Jamie Overton","England","t20s",19,19,329,"54.5",450,26,17.31,8.21,12.65,0,0,"3/21"
"JN Snape","Jeremy Nicholas Snape","England","t20s",1,1,6,"1.0",12,0,12,12,6,0,0,"0/12"
"JC Archer","Jofra Chioke Archer","England","t20s",44,44,970,"161.4",1339,56,23.91,8.28,17.32,1,0,"4/34"
"JA Turner","John Andrew Turner","England","t20s",2,2,36,"6.0",64,1,64,10.67,36,0,0,"1/42"
"J Lewis","Jonathan Lewis","England","t20s",2,2,42,"7.0",56,4,14,8,10.5,1,0,"4/24"
"JE Root","Joseph Edward Root","England","t20s",9,9,84,"14.0",141,6,23.5,10.07,14,0,0,"2/9"
"JL Denly","Joseph Liam Denly","England","t20s",6,6,72,"12.0",99,7,14.14,8.25,10.29,1,0,"4/25"
"KP Pietersen","Kevin Peter Pietersen","England","t20s",3,3,30,"5.0",55,1,55,11,30,0,0,"1/29"
"L Gregory","Lewis Gregory","England","t20s",5,5,78,"13.0",122,2,61,9.38,39,0,0,"1/10"
"LA Dawson","Liam Andrew Dawson","England","t20s",29,29,589,"98.1",760,32,23.75,7.74,18.41,1,0,"4/20"
"LE Plunkett","Liam Edward Plunkett","England","t20s",21,21,452,"75.2",628,25,25.12,8.34,18.08,0,0,"3/22"
"LS Livingstone","Liam Stephen Livingstone","England","t20s",41,41,576,"96.0",852,33,25.82,8.88,17.45,0,0,"3/17"
"LJ Wright","Luke James Wright","England","t20s",22,22,324,"54.0",468,18,26,8.67,18,0,0,"2/38"
"L Wood","Luke Wood","England","t20s",15,15,288,"48.0",432,19,22.74,9,15.16,0,0,"3/24"
"MA Wood","Mark Andrew Wood","England","t20s",36,36,752,"125.2",1099,52,21.13,8.77,14.46,0,0,"3/26"
"MS Crane","Mason Sidney Crane","England","t20s",2,2,48,"8.0",62,1,62,7.75,48,0,0,"1/38"
"MJ Potts","Matthew James Potts","England","t20s",1,1,24,"4.0",48,2,24,12,12,0,0,"2/48"
"MW Machan","Matthew William Machan","England","t20s",3,3,72,"12.0",81,2,40.5,6.75,36,0,0,"2/26"
"MW Parkinson","Matthew William Parkinson","England","t20s",6,6,120,"20.0",201,7,28.71,10.05,17.14,1,0,"4/48"
"MH Yardy","Michael Howard Yardy","England","t20s",13,13,276,"46.0",301,11,27.36,6.54,25.09,0,0,"2/19"
"MM Ali","Moeen Munir Ali","England","t20s",70,70,987,"164.3",1381,50,27.62,8.4,19.74,0,0,"3/25"
"MS Panesar","Mudhsuden Singh Panesar","England","t20s",1,1,24,"4.0",40,2,20,10,12,0,0,"2/40"
"OP Stone","Oliver Peter Stone","England","t20s",1,1,24,"4.0",36,0,36,9,24,0,0,"0/36"
"PR Brown","Patrick Rhys Brown","England","t20s",4,4,78,"13.0",131,3,43.67,10.08,26,0,0,"1/33"
"PD Collingwood","Paul David Collingwood","England","t20s",20,20,234,"39.0",353,16,22.06,9.05,14.62,1,0,"4/23"
"RS Bopara","Ravinder Singh Bopara","England","t20s",21,21,322,"53.4",395,16,24.69,7.36,20.12,1,0,"4/10"
"RJW Topley","Reece James William Topley","England","t20s",35,35,706,"117.4",998,33,30.24,8.48,21.39,0,0,"3/24"
"Rehan Ahmed","Rehan Ahmed","England","t20s",12,12,228,"38.0",361,15,24.07,9.5,15.2,0,0,"3/39"
"RJ Gleeson","Richard James Gleeson","England","t20s",6,6,126,"21.0",188,9,20.89,8.95,14,0,0,"3/15"
"RJ Kirtley","Robert James Kirtley","England","t20s",1,1,6,"1.0",17,0,17,17,6,0,0,"0/17"
"RJ Sidebottom","Ryan Jay Sidebottom","England","t20s",18,18,367,"61.1",461,23,20.04,7.54,15.96,0,0,"3/18"
"SI Mahmood","Sajid Iqbal Mahmood","England","t20s",4,4,84,"14.0",155,3,51.67,11.07,28,0,0,"1/34"
"SR Patel","Samit Rohit Patel","England","t20s",14,14,234,"39.0",319,5,63.8,8.18,46.8,0,0,"2/23"
"SM Curran","Samuel Matthew Curran","England","t20s",69,69,1223,"203.5",1825,61,29.92,8.95,20.05,0,0,"3/28"
"S Mahmood","Saqib Mahmood","England","t20s",18,18,378,"63.0",605,21,28.81,9.6,18,1,0,"4/36"
"SG Borthwick","Scott George Borthwick","England","t20s",1,1,24,"4.0",15,1,15,3.75,24,0,0,"1/15"
"S Baker","Sonny Baker","England","t20s",1,1,24,"4.0",52,0,52,13,24,0,0,"0/52"
"SD Parry","Stephen David Parry","England","t20s",5,5,96,"16.0",138,3,46,8.62,32,0,0,"2/33"
"SJ Harmison","Stephen James Harmison","England","t20s",2,2,39,"6.3",43,1,43,6.62,39,0,0,"1/13"
"ST Finn","Steven Thomas Finn","England","t20s",20,20,456,"76.0",598,26,23,7.87,17.54,0,0,"3/22"
"SCJ Broad","Stuart Christopher John Broad","England","t20s",54,54,1155,"192.3",1521,63,24.14,7.9,18.33,1,0,"4/25"
"SC Meaker","Stuart Christopher Meaker","England","t20s",2,2,47,"7.5",73,2,36.5,9.32,23.5,0,0,"1/28"
"TK Curran","Thomas Kevin Curran","England","t20s",29,29,588,"98.0",916,29,31.59,9.35,20.28,1,0,"4/37"
"TT Bresnan","Timothy Thomas Bresnan","England","t20s",34,34,663,"110.3",899,24,37.46,8.14,27.62,0,0,"3/10"
"TS Mills","Tymal Solomon Mills","England","t20s",16,16,322,"53.4",487,14,34.79,9.07,23,0,0,"3/27"
"WG Jacks","William George Jacks","England","t20s",15,15,192,"32.0",273,14,19.5,8.53,13.71,0,0,"3/14"
