"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"Abdul Samad","Abdul Samad Farooq","India","t20s",13,13,208,"34.4",160,14,11.43,4.62,14.86,0,0,"2/4"
"Abhishek Sharma","Abhishek Sharma","India","t20s",18,18,159,"26.3",235,6,39.17,8.87,26.5,0,0,"2/3"
"AB Agarkar","Ajit Bhalchandra Agarkar","India","t20s",3,3,63,"10.3",85,3,28.33,8.1,21,0,0,"2/10"
"A Mishra","Amit Mishra","India","t20s",10,10,228,"38.0",247,16,15.44,6.5,14.25,0,0,"3/30"
"A Chaudhary","Anil Chaudhary","India","t20s",5,5,78,"13.0",105,3,35,8.08,26,0,0,"2/9"
"Ansh Patel","Ansh Pradipkumar Patel","India","t20s",7,7,120,"20.0",115,8,14.38,5.75,15,0,0,"3/31"
"Mohammed Aslam","Anshul Singh","India","t20s",1,1,24,"4.0",20,3,6.67,5,8,0,0,"3/20"
"Arshdeep Singh","Arshdeep Singh","India","t20s",76,76,1615,"269.1",2356,120,19.63,8.75,13.46,2,1,"5/51"
"A Nehra","Ashish Nehra","India","t20s",26,26,564,"94.0",760,31,24.52,8.09,18.19,0,0,"3/37"
"AB Dinda","Ashok Bhimchandra Dinda","India","t20s",9,9,180,"30.0",249,17,14.65,8.3,10.59,1,0,"4/19"
"Avesh Khan","Avesh Khan","India","t20s",23,23,475,"79.1",720,26,27.69,9.09,18.27,1,0,"4/23"
"AR Patel","Axar Rajeshbhai Patel","India","t20s",82,82,1558,"259.4",1972,88,22.41,7.59,17.7,0,0,"3/18"
"A Awasthi","Ayush Awasthi","India","t20s",2,2,24,"4.0",75,1,75,18.75,24,0,0,"1/32"
"BB Sran","Barinder Balbirsingh Sran","India","t20s",2,2,48,"8.0",46,6,7.67,5.75,8,1,0,"4/14"
"B Kumar","Bhuvneshwar Kumar Singh","India","t20s",85,85,1767,"294.3",2134,85,25.11,7.25,20.79,3,1,"5/24"
"C Sakariya","Chetan Sakariya","India","t20s",1,1,22,"3.4",35,1,35,9.55,22,0,0,"1/35"
"DJ Hooda","Deepak Jagbir Hooda","India","t20s",7,7,89,"14.5",73,5,14.6,4.92,17.8,1,0,"4/10"
"DL Chahar","Deepak Lokandersingh Chahar","India","t20s",24,24,516,"86.0",726,31,23.42,8.44,16.65,0,1,"6/9"
"DS Kulkarni","Dhawal Sunil Kulkarni","India","t20s",2,2,48,"8.0",61,3,20.33,7.62,16,0,0,"2/29"
"D Ganesh","Doddanarasiah Ganesh","India","t20s",8,8,180,"30.0",190,8,23.75,6.33,22.5,0,0,"2/22"
"Gagandeep Singh","Gagandeep Singh","India","t20s",17,17,264,"44.0",408,7,58.29,9.27,37.71,0,0,"2/12"
"Harbhajan Singh","Harbhajan Singh","India","t20s",26,26,588,"98.0",626,25,25.04,6.39,23.52,1,0,"4/12"
"Hardeep Singh","Hardeep Singh","India","t20s",4,4,77,"12.5",117,2,58.5,9.12,38.5,0,0,"1/34"
"HH Pandya","Hardik Himanshu Pandya","India","t20s",121,121,2153,"358.5",3048,111,27.46,8.49,19.4,3,0,"4/38"
"Harmeet Singh","Harmeet Singh Bansal","India","t20s",28,28,616,"102.4",724,31,23.35,7.05,19.87,2,0,"4/18"
"HV Patel","Harshal Vikram Patel","India","t20s",24,24,503,"83.5",791,29,27.28,9.44,17.34,1,0,"4/26"
"Harshit Rana","Harshit Pradeep Rana","India","t20s",8,8,168,"28.0",300,9,33.33,10.71,18.67,0,0,"3/33"
"IK Pathan","Irfan Khan Pathan","India","t20s",22,22,438,"73.0",598,27,22.15,8.19,16.22,0,0,"3/37"
