"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AR Cusack","Alex Richard Cusack","Ireland","t20s",26,26,474,"79.0",578,28,20.64,7.32,16.93,2,0,"4/18"
"AC Botha","Andre Cornelius Botha","Ireland","t20s",5,5,96,"16.0",90,8,11.25,5.62,12,0,0,"3/21"
"AR McBrine","Andrew Robert McBrine","Ireland","t20s",19,19,330,"55.0",393,19,20.68,7.15,17.37,0,0,"2/27"
"AR White","Andrew Roland White","Ireland","t20s",1,1,24,"4.0",18,2,9,4.5,12,0,0,"2/18"
"BJ McCarthy","Barry John McCarthy","Ireland","t20s",59,59,1261,"210.1",1847,59,31.31,8.79,21.37,1,0,"4/31"
"B White","Benjamin Charlie White","Ireland","t20s",33,33,648,"108.0",929,30,30.97,8.6,21.6,0,0,"2/28"
"C Olphert","Conor Olphert","Ireland","t20s",2,2,30,"5.0",65,0,65,13,30,0,0,"0/18"
"CA Young","Craig Alexander Young","Ireland","t20s",63,63,1279,"213.1",1782,81,22,8.36,15.79,3,0,"4/13"
"C Campher","Curtis Campher","Ireland","t20s",48,48,745,"124.1",1048,29,36.14,8.44,25.69,2,0,"4/26"
"DC Delany","David Colin Alex Delany","Ireland","t20s",7,7,147,"24.3",200,7,28.57,8.16,21,0,0,"2/13"
"DT Johnston","David Trent Johnston","Ireland","t20s",18,18,384,"64.0",413,18,22.94,6.45,21.33,0,0,"3/20"
"F Hand","Fionn Hand","Ireland","t20s",11,11,140,"23.2",236,5,47.2,10.11,28,0,0,"3/18"
"GJ Delany","Gareth James Delany","Ireland","t20s",62,62,1028,"171.2",1333,49,27.2,7.78,20.98,0,0,"3/16"
"GH Dockrell","George Henry Dockrell","Ireland","t20s",78,78,1323,"220.3",1526,77,19.82,6.92,17.18,1,0,"4/20"
"GJ McCarter","Graeme John McCarter","Ireland","t20s",1,1,18,"3.0",30,0,30,10,18,0,0,"0/30"
"GI Hume","Graham Ian Hume","Ireland","t20s",9,9,164,"27.2",262,11,23.82,9.59,14.91,0,0,"3/17"
"HT Tector","Harry Tom Tector","Ireland","t20s",17,17,216,"36.0",251,11,22.82,6.97,19.64,0,0,"2/17"
"J Mulder","Jacob Mulder","Ireland","t20s",3,3,72,"12.0",62,7,8.86,5.17,10.29,1,0,"4/16"
"JNK Shannon","James Norman Knight Shannon","Ireland","t20s",1,1,6,"1.0",11,0,11,11,6,0,0,"0/11"
"J Wilson","Jared Wilson","Ireland","t20s",5,5,93,"15.3",170,4,42.5,10.97,23.25,0,0,"2/27"
"JF Mooney","John Francis Mooney","Ireland","t20s",8,8,138,"23.0",148,10,14.8,6.43,13.8,0,0,"2/11"
"J Little","Joshua Brian Little","Ireland","t20s",59,59,1322,"220.2",1695,66,25.68,7.69,20.03,2,0,"4/26"
"KJ O'Brien","Kevin Joseph O'Brien","Ireland","t20s",34,34,599,"99.5",719,44,16.34,7.2,13.61,0,0,"3/35"
"L McCarthy","Liam McCarthy","Ireland","t20s",1,1,24,"4.0",81,0,81,20.25,24,0,0,"0/81"
"MR Adair","Mark Richard Adair","Ireland","t20s",91,91,1977,"329.3",2628,128,20.53,7.98,15.45,4,0,"4/40"
"MJ Humphreys","Matthew James Humphreys","Ireland","t20s",18,18,402,"67.0",469,25,18.76,7,16.08,2,0,"4/13"
"MC Sorensen","Max Christian Sorensen","Ireland","t20s",16,16,270,"45.0",342,19,18,7.6,14.21,0,0,"3/20"
"NG Jones","Nigel Geoffrey Jones","Ireland","t20s",1,1,6,"1.0",6,0,6,6,6,0,0,"0/6"
"PR Stirling","Paul Robert Stirling","Ireland","t20s",35,35,474,"79.0",577,16,36.06,7.3,29.62,0,0,"2/21"
"PC Connell","Peter Christopher Connell","Ireland","t20s",4,4,72,"12.0",75,6,12.5,6.25,12,0,0,"2/18"
"PKD Chase","Peter Karl David Chase","Ireland","t20s",7,7,141,"23.3",251,8,31.38,10.68,17.62,1,0,"4/39"
"RM West","Regan Morris West","Ireland","t20s",5,5,114,"19.0",148,3,49.33,7.79,38,0,0,"1/25"
"R Jones","Ruadhan Jones","Ireland","t20s",1,1,12,"2.0",19,0,19,9.5,12,0,0,"0/19"
"SC Getkate","Shane Charles Getkate","Ireland","t20s",17,17,264,"44.0",354,14,25.29,8.05,18.86,0,0,"3/21"
"Simi Singh","Simi Singh","Ireland","t20s",42,42,842,"140.2",1048,38,27.58,7.47,22.16,0,0,"3/24"
"SR Thompson","Stuart Robert Thompson","Ireland","t20s",24,24,369,"61.3",531,16,33.19,8.63,23.06,1,0,"4/18"
"TF van Woerkom","Theo Francis van Woerkom","Ireland","t20s",1,1,6,"1.0",10,0,10,10,6,0,0,"0/10"
"TJ Murtagh","Timothy James Murtagh","Ireland","t20s",12,12,239,"39.5",298,11,27.09,7.48,21.73,0,0,"3/24"
"TE Kane","Tyrone Edward Kane","Ireland","t20s",3,3,49,"8.1",67,4,16.75,8.2,12.25,0,0,"3/20"
"WB Rankin","William Boyd Rankin","Ireland","t20s",40,40,870,"145.0",966,44,21.95,6.66,19.77,0,0,"3/23"
"WK McCallan","William Kyle McCallan","Ireland","t20s",6,6,119,"19.5",138,8,17.25,6.96,14.88,0,0,"2/33"
