"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"A Denuwan","Achintha Denuwan","Italy","t20s",3,3,38,"6.2",51,1,51,8.05,38,0,0,"1/17"
"Ali Hasan","Ali Hasan","Italy","t20s",10,10,198,"33.0",222,12,18.5,6.73,16.5,0,0,"3/10"
"Anik Ahmed","Anik Ahmed","Italy","t20s",4,4,54,"9.0",76,2,38,8.44,27,0,0,"2/31"
"Anmoldeep Singh","Anmoldeep Singh","Italy","t20s",4,4,32,"5.2",70,0,70,13.12,32,0,0,"0/28"
"Baljit Singh","Baljit Singh","Italy","t20s",7,7,120,"20.0",118,5,23.6,5.9,24,1,0,"4/20"
"Bashar Khan","Bashar Khan","Italy","t20s",4,4,75,"12.3",52,4,13,4.16,18.75,0,0,"2/19"
"Charanjeet Singh","Charanjeet Singh","Italy","t20s",2,2,30,"5.0",35,1,35,7,30,0,0,"1/18"
"CJPF Kalugamage","Crishan Jorge Priyantha Fernando Kalugamage","Italy","t20s",21,21,407,"67.5",484,24,20.17,7.14,16.96,1,0,"4/18"
"DKD Warnakulasuriya","Damith Kosala Dabarera Warnakulasuriya","Italy","t20s",9,9,156,"26.0",169,12,14.08,6.5,13,0,0,"3/30"
"GK Berg","Gareth Kyle Berg","Italy","t20s",15,15,294,"49.0",326,19,17.16,6.65,15.47,1,0,"4/15"
"GRD Munasinghe","Gayashan Ranga de Silva Munasinghe","Italy","t20s",4,4,96,"16.0",112,6,18.67,7,16,1,0,"4/12"
"GP Meade","Gian-Piero Sergio Meade","Italy","t20s",11,11,182,"30.2",189,9,21,6.23,20.22,0,0,"3/18"
"G Stewart","Grant Stewart","Italy","t20s",19,19,430,"71.4",512,20,25.6,7.14,21.5,0,0,"3/29"
"Gurpreet Singh","Gurpreet Singh","Italy","t20s",2,2,24,"4.0",27,0,27,6.75,24,0,0,"0/11"
"HJ Manenti","Harry John Manenti","Italy","t20s",21,21,405,"67.3",466,34,13.71,6.9,11.91,1,1,"5/31"
"Jaspreet Singh","Jaspreet Singh","Italy","t20s",24,24,404,"67.2",489,24,20.38,7.26,16.83,1,0,"4/10"
"Manpreet Singh","Manpreet Singh","Italy","t20s",13,13,210,"35.0",299,3,99.67,8.54,70,0,0,"1/24"
"M Campopiano","Marcus Campopiano","Italy","t20s",3,3,43,"7.1",43,2,21.5,6,21.5,0,0,"1/12"
"MJ Ross","Michael James Ross","Italy","t20s",4,4,48,"8.0",63,2,31.5,7.88,24,0,0,"1/15"
"MGSM Fernando","Muthunama Gonnage Shehan Madupa Fernando","Italy","t20s",6,6,144,"24.0",123,9,13.67,5.12,16,0,0,"2/20"
"NA Maiolo","Nicholas Antony Maiolo","Italy","t20s",4,4,96,"16.0",92,4,23,5.75,24,0,0,"2/13"
"P Fernando","Pidusha Fernando","Italy","t20s",1,1,6,"1.0",13,0,13,13,6,0,0,"0/13"
"Rakibul Hasan","Rakibul Hasan","Italy","t20s",7,7,126,"21.0",149,7,21.29,7.1,18,0,0,"2/20"
"S Arachchige","Shameera Arachchige","Italy","t20s",2,2,24,"4.0",26,2,13,6.5,12,0,0,"2/15"
"S di Bartolomeo","Stefano di Bartolomeo","Italy","t20s",7,7,147,"24.3",129,13,9.92,5.27,11.31,0,1,"5/14"
"TJ Draca","Thomas Jack Draca","Italy","t20s",11,11,210,"35.0",263,13,20.23,7.51,16.15,0,0,"3/9"
"Waleed Rana","Waleed Rana","Italy","t20s",3,3,40,"6.4",59,3,19.67,8.85,13.33,0,0,"3/12"
"Zain Ali","Zain Ali","Italy","t20s",2,2,48,"8.0",45,4,11.25,5.62,12,0,0,"3/18"
