"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"A Busing-Volschenk","Alexander Busing-Volschenk","Namibia","t20s",2,2,42,"7.0",55,4,13.75,7.86,10.5,0,0,"2/43"
"B Shikongo","Ben Shikongo","Namibia","t20s",41,41,657,"109.3",772,38,20.32,7.05,17.29,0,0,"3/28"
"BM Scholtz","Bernard Martinus Scholtz","Namibia","t20s",76,76,1594,"265.4",1694,81,20.91,6.38,19.68,2,0,"4/12"
"C Viljoen","Christoffel Viljoen","Namibia","t20s",12,12,223,"37.1",239,20,11.95,6.43,11.15,1,1,"5/9"
"CG Williams","Craig George Williams","Namibia","t20s",13,13,174,"29.0",187,9,20.78,6.45,19.33,0,0,"3/13"
"D Wiese","David Wiese","Namibia","t20s",51,51,1018,"169.4",1212,59,20.54,7.14,17.25,2,1,"5/23"
"D la Cock","Divan la Cock","Namibia","t20s",1,1,6,"1.0",11,0,11,11,6,0,0,"0/11"
"DO Leicher","Dylan Otto Leicher","Namibia","t20s",7,7,72,"12.0",118,3,39.33,9.83,24,0,0,"1/19"
"GJ van Rensburg","Gerhard Janse van Rensburg","Namibia","t20s",5,5,42,"7.0",55,2,27.5,7.86,21,0,0,"1/11"
"H Klazinge","Handre Klazinge","Namibia","t20s",7,7,108,"18.0",130,10,13,7.22,10.8,1,0,"4/20"
"HN Ya France","Helao Nafidi Ya France","Namibia","t20s",15,15,174,"29.0",192,6,32,6.62,29,0,0,"1/3"
"JT Brassell","Jack Thomas Brassell","Namibia","t20s",20,20,313,"52.1",488,13,37.54,9.35,24.08,0,0,"2/47"
"JC Balt","Jan Coenraad  Balt","Namibia","t20s",7,7,98,"16.2",114,2,57,6.98,49,0,0,"1/19"
"JN Loftie-Eaton","Jan Nicol Loftie-Eaton","Namibia","t20s",32,32,416,"69.2",529,24,22.04,7.63,17.33,1,0,"4/10"
"JN Frylinck","Jan Nicolaas Frylinck","Namibia","t20s",48,48,921,"153.3",1097,57,19.25,7.15,16.16,1,0,"4/21"
"JI de Villiers","Jan-Izak de Villiers","Namibia","t20s",7,7,120,"20.0",167,3,55.67,8.35,40,0,0,"2/19"
"JJ Smit","Johannes Jonathan Smit","Namibia","t20s",49,49,1004,"167.2",1183,66,17.92,7.07,15.21,2,1,"6/14"
"K Birkenstock","Karl Johan Birkenstock","Namibia","t20s",3,3,24,"4.0",33,0,33,8.25,24,0,0,"0/9"
"MG Erasmus","Merwe Gerhard Erasmus","Namibia","t20s",59,59,1023,"170.3",1047,65,16.11,6.14,15.74,1,0,"4/20"
"M van Lingen","Michael van Lingen","Namibia","t20s",3,3,20,"3.2",38,0,38,11.4,20,0,0,"0/14"
"PD Blignaut","Peter-Daniel Blignaut","Namibia","t20s",5,5,83,"13.5",86,4,21.5,6.22,20.75,0,0,"2/11"
"R Trumpelmann","Ruben Trumpelmann","Namibia","t20s",42,42,830,"138.2",1149,46,24.98,8.31,18.04,3,0,"4/21"
"SPS Shikongo","Simon Petrus Shikongo","Namibia","t20s",6,6,72,"12.0",78,4,19.5,6.5,18,0,0,"1/9"
"T Lungameni","Tangeni Lungameni","Namibia","t20s",40,40,726,"121.0",938,30,31.27,7.75,24.2,0,0,"3/30"
"Z Groenewald","Zhivago Groenewald","Namibia","t20s",10,10,168,"28.0",167,8,20.88,5.96,21,0,0,"3/20"
