"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"Aakash Chand","Aakash Chand","Nepal","t20s",3,3,60,"10.0",85,7,12.14,8.5,8.57,0,0,"3/27"
"Aarif Sheikh","Aarif Sheikh","Nepal","t20s",9,9,96,"16.0",136,4,34,8.5,24,0,0,"1/18"
"A Bohara","Abinash Bohara","Nepal","t20s",57,57,1170,"195.0",1484,67,22.15,7.61,17.46,2,0,"4/35"
"A Bhattarai","Amrit Bhattarai","Nepal","t20s",1,1,18,"3.0",13,1,13,4.33,18,0,0,"1/13"
"A Karn","Avinash Karn","Nepal","t20s",1,1,24,"4.0",31,1,31,7.75,24,0,0,"1/31"
"B Regmi","Basant Regmi","Nepal","t20s",15,15,307,"51.1",328,20,16.4,6.41,15.35,1,0,"4/16"
"Basir Ahamad","Basir Ahamad","Nepal","t20s",1,1,24,"4.0",30,2,15,7.5,12,0,0,"2/30"
"B Karki","Bhuvan Karki","Nepal","t20s",1,1,24,"4.0",11,1,11,2.75,24,0,0,"1/11"
"B Yadav","Bibek Kumar Yadav","Nepal","t20s",8,8,55,"9.1",89,1,89,9.71,55,0,0,"1/14"
"DS Airee","Dipendra Singh Airee","Nepal","t20s",66,66,1154,"192.2",1200,57,21.05,6.24,20.25,2,0,"4/21"
"Gulsan Jha","Gulshan Kumar Jha","Nepal","t20s",33,33,512,"85.2",639,28,22.82,7.49,18.29,0,0,"3/32"
"JK Mukhiya","Jitendra Kumar Mukhiya","Nepal","t20s",9,9,132,"22.0",154,7,22,7,18.86,0,0,"3/35"
"KS Airee","Kamal Singh Airee","Nepal","t20s",10,10,205,"34.1",230,15,15.33,6.73,13.67,0,0,"3/16"
"Karan KC","Karan KC","Nepal","t20s",84,84,1621,"270.1",2163,102,21.21,8.01,15.89,3,1,"5/26"
"K Bhurtel","Kushal Bhurtel","Nepal","t20s",29,29,416,"69.2",495,30,16.5,7.14,13.87,2,0,"4/19"
"Kushal Malla","Kushal Malla","Nepal","t20s",27,27,372,"62.0",399,19,21,6.44,19.58,1,0,"4/33"
"LN Rajbanshi","Lalit Narayan Rajbanshi","Nepal","t20s",38,38,743,"123.5",818,37,22.11,6.61,20.08,0,0,"3/6"
"Mohammad Aadil Alam","Mohammad Aadil Alam","Nepal","t20s",9,9,132,"22.0",153,9,17,6.95,14.67,1,0,"4/25"
"NK Yadav","Nandan Kumar Yadav","Nepal","t20s",16,16,275,"45.5",365,20,18.25,7.96,13.75,0,0,"2/37"
"P Khadka","Paras Khadka","Nepal","t20s",22,22,282,"47.0",314,8,39.25,6.68,35.25,0,0,"2/13"
"P Sarraf","Pawan Sarraf","Nepal","t20s",8,8,90,"15.0",88,2,44,5.87,45,0,0,"1/10"
"Pratis GC","Pratish Gharti Chhetri","Nepal","t20s",10,10,204,"34.0",289,8,36.12,8.5,25.5,0,0,"3/16"
"Rashid Khan (2)","Rashid Khan","Nepal","t20s",1,1,24,"4.0",19,0,19,4.75,24,0,0,"0/19"
"R Dhakal","Rijan Dhakal","Nepal","t20s",8,8,156,"26.0",214,6,35.67,8.23,26,0,0,"2/17"
"RK Paudel","Rohit Kumar Paudel","Nepal","t20s",18,18,239,"39.5",264,14,18.86,6.63,17.07,0,0,"2/20"
"S Dhakal","Sagar Dhakal","Nepal","t20s",6,6,120,"20.0",162,2,81,8.1,60,0,0,"1/19"
"Sagar Pun","Sagar Pun","Nepal","t20s",6,6,99,"16.3",97,3,32.33,5.88,33,0,0,"2/13"
"S Lamichhane","Sandeep Lamichhane","Nepal","t20s",69,69,1565,"260.5",1684,123,13.69,6.46,12.72,3,2,"5/9"
"Shahab Alam","Shahab Alam","Nepal","t20s",7,7,120,"20.0",194,4,48.5,9.7,30,0,0,"1/45"
"SP Gauchan","Shakti Prasad Gauchan","Nepal","t20s",6,6,138,"23.0",127,6,21.17,5.52,23,0,0,"3/9"
"S Vesawkar","Sharad Vesawkar","Nepal","t20s",2,2,30,"5.0",42,0,42,8.4,30,0,0,"0/25"
"S Malla","Sher Malla","Nepal","t20s",1,1,18,"3.0",35,1,35,11.67,18,0,0,"1/35"
"SM Dhakal","Shyam Mousom Dhakal","Nepal","t20s",2,2,36,"6.0",44,1,44,7.33,36,0,0,"1/30"
"Sompal Kami","Sompal Kami","Nepal","t20s",83,83,1546,"257.4",1918,82,23.39,7.44,18.85,1,0,"4/36"
"S Bhari","Sushan Bhari","Nepal","t20s",8,8,150,"25.0",185,8,23.12,7.4,18.75,0,0,"2/22"
