"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AT Nidamanuru","Anil Teja Nidamanuru","Netherlands","t20s",1,1,24,"4.0",30,3,10,7.5,8,0,0,"3/30"
"A Dutt","Aryan Dutt","Netherlands","t20s",30,30,584,"97.2",686,30,22.87,7.05,19.47,0,0,"3/23"
"BFW de Leede","Bas de Leede","Netherlands","t20s",38,38,645,"107.3",873,44,19.84,8.12,14.66,0,0,"3/19"
"BD Glover","Brandon Dale Glover","Netherlands","t20s",23,23,455,"75.5",521,36,14.47,6.87,12.64,2,0,"4/30"
"C Floyd","Clayton Floyd","Netherlands","t20s",4,4,66,"11.0",102,2,51,9.27,33,0,0,"1/14"
"CN Ackermann","Colin Niel Ackermann","Netherlands","t20s",19,19,318,"53.0",355,11,32.27,6.7,28.91,0,0,"3/15"
"DLS van Bunge","Daan Lodewjk Samuel van Bunge","Netherlands","t20s",2,2,14,"2.2",15,1,15,6.43,14,0,0,"1/14"
"DT Doram","Daniel Tarric Doram","Netherlands","t20s",14,14,300,"50.0",392,15,26.13,7.84,20,1,0,"4/33"
"E Schiferli","Edgar Schiferli","Netherlands","t20s",4,4,90,"15.0",114,2,57,7.6,45,0,0,"1/33"
"FJ Klaassen","Frederick Jack Klaassen","Netherlands","t20s",40,40,846,"141.0",1113,45,24.73,7.89,18.8,0,1,"5/19"
"HC Overdijk","Hidde C Overdijk","Netherlands","t20s",1,1,12,"2.0",11,1,11,5.5,12,0,0,"1/11"
"JL de Mey","Julian Lorenzo de Mey","Netherlands","t20s",2,2,42,"7.0",67,1,67,9.57,42,0,0,"1/35"
"K Klein","Kyle Klein","Netherlands","t20s",20,20,409,"68.1",569,31,18.35,8.35,13.19,1,0,"4/16"
"LV van Beek","Logan Verjus van Beek","Netherlands","t20s",33,33,648,"108.0",866,43,20.14,8.02,15.07,1,0,"4/28"
"Saqib Zulfiqar","M Saqib Zulfiqar","Netherlands","t20s",6,6,78,"13.0",83,3,27.67,6.38,26,0,0,"2/18"
"Ahsan Malik","Malik Ahsan Ahmad Jamil","Netherlands","t20s",23,23,447,"74.3",594,30,19.8,7.97,14.9,1,1,"5/19"
