"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AJ Redmond","Aaron James Redmond","New Zealand","t20s",1,1,17,"2.5",24,2,12,8.47,8.5,0,0,"2/24"
"AF Milne","Adam Fraser Milne","New Zealand","t20s",53,53,1135,"189.1",1620,64,25.31,8.56,17.73,2,1,"5/27"
"A Ashok","Adithya Ashok","New Zealand","t20s",1,1,24,"4.0",28,1,28,7,24,0,0,"1/28"
"AY Patel","Ajaz Yunus Patel","New Zealand","t20s",7,7,156,"26.0",119,11,10.82,4.58,14.18,1,0,"4/16"
"AK Kitchen","Anaru Kyle Kitchen","New Zealand","t20s",3,3,36,"6.0",46,2,23,7.67,18,0,0,"1/33"
"AR Adams","Andre Ryan Adams","New Zealand","t20s",4,4,77,"12.5",108,3,36,8.42,25.67,0,0,"2/20"
"AJ McKay","Andrew John McKay","New Zealand","t20s",2,2,34,"5.4",32,2,16,5.65,17,0,0,"2/21"
"AM Ellis","Andrew Malcolm Ellis","New Zealand","t20s",4,4,60,"10.0",106,2,53,10.6,30,0,0,"2/40"
"AP Devcich","Anton Paul Devcich","New Zealand","t20s",4,4,72,"12.0",85,2,42.5,7.08,36,0,0,"2/16"
"BM Wheeler","Ben Matthew Wheeler","New Zealand","t20s",6,6,128,"21.2",216,7,30.86,10.12,18.29,0,0,"2/22"
"BG Lister","Benjamin George Lister","New Zealand","t20s",11,11,221,"36.5",322,11,29.27,8.74,20.09,0,0,"3/35"
"BV Sears","Benjamin Vincent Sears","New Zealand","t20s",20,20,397,"66.1",584,23,25.39,8.83,17.26,0,0,"3/22"
"BM Tickner","Blair Marshall Tickner","New Zealand","t20s",18,18,341,"56.5",541,19,28.47,9.52,17.95,1,0,"4/27"
"BJ Diamanti","Brendon John Diamanti","New Zealand","t20s",1,1,12,"2.0",20,0,20,10,12,0,0,"0/20"
"CL Cairns","Christopher Lance Cairns","New Zealand","t20s",2,2,48,"8.0",52,1,52,6.5,48,0,0,"1/28"
"CS Martin","Christopher Stewart Martin","New Zealand","t20s",6,6,138,"23.0",197,7,28.14,8.57,19.71,0,0,"2/15"
"CE McConchie","Cole Edward McConchie","New Zealand","t20s",12,12,176,"29.2",235,7,33.57,8.01,25.14,0,0,"3/15"
"C Munro","Colin Munro","New Zealand","t20s",12,12,118,"19.4",186,4,46.5,9.46,29.5,0,0,"1/18"
"C de Grandhomme","Colin de Grandhomme","New Zealand","t20s",21,21,321,"53.3",470,12,39.17,8.79,26.75,0,0,"2/22"
"CJ Anderson","Corey James Anderson","New Zealand","t20s",27,27,432,"72.0",602,16,37.62,8.36,27,0,0,"2/21"
"DL Vettori","Daniel Luca Vettori","New Zealand","t20s",34,34,793,"132.1",785,38,20.66,5.94,20.87,1,0,"4/20"
"DR Flynn","Daniel Raymond Flynn","New Zealand","t20s",1,1,6,"1.0",7,0,7,7,6,0,0,"0/7"
"DJ Mitchell","Daryl Joseph Mitchell","New Zealand","t20s",14,14,109,"18.1",197,9,21.89,10.84,12.11,0,0,"2/27"
"DR Tuffey","Daryl Raymond Tuffey","New Zealand","t20s",3,3,60,"10.0",95,3,31.67,9.5,20,0,0,"2/16"
"DAJ Bracewell","Douglas Andrew John Bracewell","New Zealand","t20s",18,18,310,"51.4",480,20,24,9.29,15.5,0,0,"3/25"
"EP Thompson","Ewen Paul Thompson","New Zealand","t20s",1,1,18,"3.0",20,1,20,6.67,18,0,0,"1/20"
"GH Worker","George Herrick Worker","New Zealand","t20s",1,1,12,"2.0",19,1,19,9.5,12,0,0,"1/19"
"GD Phillips","Glenn Dominic Phillips","New Zealand","t20s",21,21,218,"36.2",315,9,35,8.67,24.22,0,0,"3/6"
"GW Aldridge","Graeme William Aldridge","New Zealand","t20s",1,1,24,"4.0",45,1,45,11.25,24,0,0,"1/45"
"GD Elliott","Grant David Elliott","New Zealand","t20s",15,15,192,"32.0",241,14,17.21,7.53,13.71,1,0,"4/22"
"HK Bennett","Hamish Kyle Bennett","New Zealand","t20s",11,11,215,"35.5",337,10,33.7,9.4,21.5,0,0,"3/54"
"HB Shipley","Henry Burton Shipley","New Zealand","t20s",4,4,78,"13.0",144,2,72,11.08,39,0,0,"1/46"
"IE O'Brien","Iain Edward O'Brien","New Zealand","t20s",4,4,78,"13.0",119,6,19.83,9.15,13,0,0,"2/34"
"IG Butler","Ian Gareth Butler","New Zealand","t20s",18,18,358,"59.4",500,23,21.74,8.38,15.57,0,0,"3/19"
"IS Sodhi","Inderbir Singh Sodhi","New Zealand","t20s",132,132,2738,"456.2",3773,161,23.43,8.27,17.01,4,0,"4/28"
"JA Duffy","Jacob Andrew Duffy","New Zealand","t20s",44,44,896,"149.2",1204,61,19.74,8.06,14.69,5,0,"4/33"
"JDP Oram","Jacob David Philip Oram","New Zealand","t20s",32,32,546,"91.0",814,19,42.84,8.95,28.74,0,0,"3/34"
"JDS Neesham","James Douglas Sheahan Neesham","New Zealand","t20s",67,67,907,"151.1",1374,57,24.11,9.09,15.91,1,1,"5/23"
"JEC Franklin","James Edward Charles Franklin","New Zealand","t20s",26,26,327,"54.3",422,20,21.1,7.74,16.35,1,0,"4/15"
"JS Patel","Jeetan Shashi Patel","New Zealand","t20s",10,10,199,"33.1",276,16,17.25,8.32,12.44,0,0,"3/21"
"JW Wilson","Jeffrey William Wilson","New Zealand","t20s",1,1,24,"4.0",48,0,48,12,24,0,0,"0/48"
"JD Ryder","Jesse Daniel Ryder","New Zealand","t20s",5,5,60,"10.0",68,2,34,6.8,30,0,0,"1/2"
"JA Clarkson","Joshua Andrew Clarkson","New Zealand","t20s",1,1,6,"1.0",9,1,9,9,6,0,0,"1/9"
"KS Williamson","Kane Stuart Williamson","New Zealand","t20s",12,12,118,"19.4",164,6,27.33,8.34,19.67,0,0,"2/16"
"KDC Clarke","Kristian David Charles Clarke","New Zealand","t20s",1,1,24,"4.0",40,1,40,10,24,0,0,"1/40"
"KA Jamieson","Kyle Alex Jamieson","New Zealand","t20s",27,27,559,"93.1",916,25,36.64,9.83,22.36,0,0,"3/23"
"KD Mills","Kyle David Mills","New Zealand","t20s",42,42,897,"149.3",1237,43,28.77,8.27,20.86,0,0,"3/44"
"LH Ferguson","Lachlan Hammond Ferguson","New Zealand","t20s",47,47,980,"163.2",1222,68,17.97,7.48,14.41,2,1,"5/25"
"LJ Woodcock","Luke James Woodcock","New Zealand","t20s",3,3,60,"10.0",73,1,73,7.3,60,0,0,"1/30"
"MJ Tugaga","Malaesaili Julian Tugaga","New Zealand","t20s",2,2,42,"7.0",44,0,44,6.29,42,0,0,"0/18"
"MR Gillespie","Mark Raymond Gillespie","New Zealand","t20s",10,10,210,"35.0",258,10,25.8,7.37,21,1,0,"4/7"
