"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AN Lascu"," Adrian Nicholas Lascu","Romania","t20s",7,7,126,"21.0",196,7,28,9.33,18,0,1,"5/24"
"Aftab Kayani","Aftab Kayani","Romania","t20s",6,6,90,"15.0",101,9,11.22,6.73,10,0,0,"2/24"
"Fayyaz Butt","Ahmad Fayyaz Butt","Oman","t20s",43,43,814,"135.4",1086,47,23.11,8,17.32,0,0,"3/16"
"AV Lalcheta","Ajay Vrajlal Lalcheta","Oman","t20s",11,11,228,"38.0",263,6,43.83,6.92,38,0,0,"1/17"
"Ali Hussain","Ali Hussain","Romania","t20s",10,10,144,"24.0",227,3,75.67,9.46,48,0,0,"1/21"
"Aqib Ilyas","Aqib Ilyas Sulehri","Oman","t20s",35,35,696,"116.0",708,45,15.73,6.1,15.47,2,0,"4/10"
"Asif Bevinje","Asif Abdul Bevinje","Romania","t20s",9,9,185,"30.5",239,13,18.38,7.75,14.23,0,1,"5/34"
"Ayan Khan","Ayaan Khan","Oman","t20s",26,26,276,"46.0",389,6,64.83,8.46,46,0,0,"1/29"
"Baljinder Singh","Baljinder Singh","Romania","t20s",1,1,18,"3.0",29,1,29,9.67,18,0,0,"1/29"
"Bilal Khan","Bilal Khan","Oman","t20s",68,68,1478,"246.2",1738,95,18.29,7.06,15.56,4,0,"4/20"
"B Siddharth","Bukkapatnam Siddharth Prasad","Oman","t20s",2,2,19,"3.1",31,0,31,9.79,19,0,0,"0/16"
"C Zavoiu","Cosmin Zavoiu","Romania","t20s",6,6,41,"6.5",68,3,22.67,9.95,13.67,0,0,"1/5"
"Dharmendra Manani","Dharmendra Manani","Romania","t20s",1,1,18,"3.0",26,2,13,8.67,9,0,0,"2/26"
"Gaurav Mishra","Gaurav Mishra","Romania","t20s",12,12,198,"33.0",244,6,40.67,7.39,33,0,0,"2/18"
"Hassnain Shah","Hassnain Ali Shah","Oman","t20s",4,4,66,"11.0",106,2,53,9.64,33,0,0,"1/34"
"Ijaz Hussain","Ijaz Hussain","Romania","t20s",26,26,449,"74.5",585,35,16.71,7.82,12.83,1,0,"4/30"
"Jatinder Singh","Jatinder Singh","Oman","t20s",2,2,13,"2.1",23,0,23,10.62,13,0,0,"0/17"
"Jay Odedra","Jay Virambhai Odedra","Oman","t20s",11,11,180,"30.0",225,7,32.14,7.5,25.71,0,0,"2/15"
"J Ramanandi","Jiten Ramanandi","Oman","t20s",14,14,244,"40.4",329,17,19.35,8.09,14.35,0,0,"3/22"
"Kaleemullah","Kaleemullah","Oman","t20s",39,39,731,"121.5",894,33,27.09,7.34,22.15,0,0,"3/24"
"K Sonavale","Karan Sonavale","Oman","t20s",2,2,9,"1.3",17,0,17,11.33,9,0,0,"0/11"
"KH Prajapati","Kashyap Harishbhai Prajapati","Oman","t20s",2,2,8,"1.2",19,0,19,14.25,8,0,0,"0/4"
"Khawar Ali","Khawar Ali","Oman","t20s",33,33,596,"99.2",670,38,17.63,6.74,15.68,2,0,"4/16"
"L Gharasim","Laurentiu Gherasim","Romania","t20s",2,2,15,"2.3",19,1,19,7.6,15,0,0,"1/13"
"Luca Petre","Luca Petre","Romania","t20s",9,9,107,"17.5",187,7,26.71,10.49,15.29,0,0,"2/33"
"M Prasanna","Mahesh Prasanna","Romania","t20s",4,4,78,"13.0",131,4,32.75,10.08,19.5,0,0,"2/41"
"M Koli","Manmeet Koli","Romania","t20s",30,30,659,"109.5",814,43,18.93,7.41,15.33,0,2,"5/30"
"M Gherasim","Marian Gherasim","Romania","t20s",4,4,26,"4.2",37,0,37,8.54,26,0,0,"0/9"
"Mehran Khan","Mehran Khan","Oman","t20s",27,27,444,"74.0",545,25,21.8,7.36,17.76,0,0,"3/12"
"Bilal Shah","Mohammad Bilal Shah","Oman","t20s",1,1,12,"2.0",18,0,18,9,12,0,0,"0/18"
"Mohammad Nadeem","Mohammad Nadeem","Oman","t20s",53,53,801,"133.3",1070,34,31.47,8.01,23.56,1,0,"4/25"
"Muhammad Moiz","Muhammad Moiz","Romania","t20s",16,16,290,"48.2",408,22,18.55,8.44,13.18,0,0,"3/38"
"Muzahir Raza","Muhammad Muzahir Raza","Oman","t20s",6,6,114,"19.0",164,8,20.5,8.63,14.25,0,0,"3/42"
"Muhammed Imran","Muhammed Imran","Oman","t20s",2,2,33,"5.3",42,4,10.5,7.64,8.25,0,0,"3/23"
"Mujibur Ali","Mujibur Nitul Ali","Oman","t20s",1,1,6,"1.0",11,0,11,11,6,0,0,"0/11"
"M Ansari","Munis S Ansari","Oman","t20s",6,6,138,"23.0",203,6,33.83,8.83,23,0,0,"3/42"
"Nestor Dhamba","Nestor Dhamba","Oman","t20s",1,1,18,"3.0",12,0,12,4,18,0,0,"0/12"
"P Masih","Patras Masih","Romania","t20s",2,2,42,"7.0",27,2,13.5,3.86,21,0,0,"2/18"
"P Florin","Pavel Florin","Romania","t20s",10,10,113,"18.5",130,12,10.83,6.9,9.42,0,0,"3/14"
"P Hingorani","Pratham Hingorani","Romania","t20s",3,3,27,"4.3",40,1,40,8.89,27,0,0,"1/17"
"Rafiullah","Rafiullah","Oman","t20s",20,20,264,"44.0",419,12,34.92,9.52,22,1,0,"4/25"
"R Kumar","Rajesh Kumar","Romania","t20s",10,10,143,"23.5",244,3,81.33,10.24,47.67,0,0,"2/25"
"RJ Ranpura","Rajeshkumar Jagdishchandra Ranpura","Oman","t20s",1,1,12,"2.0",15,1,15,7.5,12,0,0,"1/15"
"Rameez Khan","Rameez Khan","Romania","t20s",6,6,114,"19.0",144,8,18,7.58,14.25,0,1,"5/22"
"R Satheesan","Ramesh Satheesan","Romania","t20s",17,17,209,"34.5",319,7,45.57,9.16,29.86,0,0,"3/38"
"R Athapaththu","Ravindra Athapaththu","Romania","t20s",6,6,144,"24.0",199,11,18.09,8.29,13.09,0,0,"3/23"
"S Shrivastava","Samay Shrivastava","Oman","t20s",19,19,318,"53.0",427,16,26.69,8.06,19.88,0,1,"5/18"
"Sami Ullah","Sami Ullah","Romania","t20s",8,8,144,"24.0",194,12,16.17,8.08,12,0,0,"3/35"
"Sandeep Goud","Sandeep Goud","Oman","t20s",17,17,199,"33.1",310,8,38.75,9.35,24.88,0,0,"2/36"
"S Nadigotla","Satvik Nadigotla","Romania","t20s",4,4,62,"10.2",71,4,17.75,6.87,15.5,0,0,"3/30"
"S Vashisht","Shantanu Vashisht","Romania","t20s",23,23,439,"73.1",491,27,18.19,6.71,16.26,2,0,"4/22"
"S Thakur","Sudeep Thakur","Romania","t20s",4,4,72,"12.0",108,3,36,9,24,0,0,"2/37"
"Sufyan Mehmood","Sufyan Mehmood","Oman","t20s",23,23,399,"66.3",567,22,25.77,8.53,18.14,0,0,"3/26"
"Sukhkaran Sahi","Sukhkaran Sahi","Romania","t20s",3,3,33,"5.3",54,1,54,9.82,33,0,0,"1/30"
"Sultan Ahmed","Sultan Ahmed","Oman","t20s",2,2,45,"7.3",36,1,36,4.8,45,0,0,"1/15"
"Aamir Kaleem","Syed Aamir Kaleem","Oman","t20s",40,40,659,"109.5",855,46,18.59,7.78,14.33,2,2,"5/15"
"Amir Ali","Syed Amir Ali","Oman","t20s",4,4,48,"8.0",58,1,58,7.25,48,0,0,"1/6"
"Taranjeet Singh","Taranjeet Singh","Romania","t20s",40,40,788,"131.2",917,49,18.71,6.98,16.08,2,0,"4/21"
"V Saini","Vasu Saini","Romania","t20s",44,44,853,"142.1",1051,39,26.95,7.39,21.87,0,1,"5/17"
"Waqar Abbasi","Waqar Abbasi","Romania","t20s",2,2,48,"8.0",49,2,24.5,6.12,24,0,0,"1/16"
"Wasim Ali","Wasim Ali","Oman","t20s",9,9,138,"23.0",162,4,40.5,7.04,34.5,0,0,"2/23"
