"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"Aamer Jamal","Aamer Jamal","Pakistan","t20s",5,5,84,"14.0",162,2,81,11.57,42,0,0,"1/13"
"Aamer Yamin","Aamer Yamin","Pakistan","t20s",2,2,36,"6.0",38,2,19,6.33,18,0,0,"1/13"
"Abdul Razzaq","Abdul Razzaq","Pakistan","t20s",21,21,327,"54.3",386,20,19.3,7.08,16.35,0,0,"3/32"
"Abdur Rehman","Abdur Rehman","Pakistan","t20s",7,7,138,"23.0",156,11,14.18,6.78,12.55,0,0,"2/7"
"Abrar Ahmed","Abrar Ahmed","Pakistan","t20s",36,36,788,"131.2",901,50,18.02,6.86,15.76,1,0,"4/10"
"Agha Salman","Agha Salman","Pakistan","t20s",13,13,114,"19.0",150,6,25,7.89,19,0,0,"1/7"
"Ahmed Daniyal","Ahmed Daniyal","Pakistan","t20s",2,2,42,"7.0",40,3,13.33,5.71,14,0,0,"2/24"
"Ahmed Shehzad","Ahmed Shehzad","Pakistan","t20s",1,1,6,"1.0",10,0,10,10,6,0,0,"0/10"
"Aizaz Cheema","Aizaz Bin Ilyas Cheema","Pakistan","t20s",5,5,102,"17.0",119,8,14.88,7,12.75,1,0,"4/32"
"Anwar Ali","Anwar Ali","Pakistan","t20s",14,14,253,"42.1",352,10,35.2,8.35,25.3,0,0,"2/28"
"Arafat Minhas","Arafat Minhas","Pakistan","t20s",3,3,54,"9.0",56,2,28,6.22,27,0,0,"2/20"
"Arshad Iqbal","Arshad Iqbal","Pakistan","t20s",3,3,54,"9.0",53,4,13.25,5.89,13.5,0,0,"3/14"
"Asad Ali","Asad Ali","Pakistan","t20s",2,2,24,"4.0",33,0,33,8.25,24,0,0,"0/7"
"Asif Ali","Asif Ali","Pakistan","t20s",33,33,424,"70.4",452,20,22.6,6.4,21.2,0,0,"2/1"
"Asif Iqbal","Asif Iqbal Razvi","Pakistan","t20s",2,2,30,"5.0",42,2,21,8.4,15,0,0,"1/14"
"Bilawal Bhatti","Bilawal Bhatti","Pakistan","t20s",8,8,138,"23.0",233,4,58.25,10.13,34.5,0,0,"2/36"
"Danish Aziz","Danish Aziz","Pakistan","t20s",1,1,18,"3.0",29,2,14.5,9.67,9,0,0,"2/29"
"Ehsan Adil","Ehsan Adil","Pakistan","t20s",1,1,18,"3.0",39,0,39,13,18,0,0,"0/39"
"Faheem Ashraf","Faheem Ashraf","Pakistan","t20s",72,72,1143,"190.3",1532,57,26.88,8.04,20.05,1,0,"4/23"
"Fakhar Zaman","Fakhar Zaman","Pakistan","t20s",1,1,6,"1.0",12,0,12,12,6,0,0,"0/12"
