"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AM Phangiso","Aaron Mpho Phangiso","South Africa","t20s",16,16,342,"57.0",447,20,22.35,7.84,17.1,0,0,"3/26"
"Dayyaan Galiem","Abdu Dayyaan Galiem","South Africa","t20s",1,1,24,"4.0",21,2,10.5,5.25,12,0,0,"2/21"
"AK Markram","Aiden Kyle Markram","South Africa","t20s",38,38,402,"67.0",592,16,37,8.84,25.12,0,0,"3/21"
"AL Phehlukwayo","Andile Lucky Phehlukwayo","South Africa","t20s",39,39,748,"124.4",1134,50,22.68,9.1,14.96,1,0,"4/28"
"A Simelane","Andile Simelane","South Africa","t20s",10,10,162,"27.0",273,8,34.12,10.11,20.25,0,0,"2/34"
"A Nel","Andre Nel","South Africa","t20s",2,2,48,"8.0",43,2,21.5,5.38,24,0,0,"2/19"
"AJ Hall","Andrew James Hall","South Africa","t20s",2,2,48,"8.0",61,3,20.33,7.62,16,0,0,"3/22"
"A Nortje","Anrich Arno Nortje","South Africa","t20s",45,45,960,"160.0",1237,54,22.91,7.73,17.78,3,0,"4/14"
"AQM Yako","Aphiwe Qhayiya Mihlali Yako","South Africa","t20s",1,1,18,"3.0",11,0,11,3.67,18,0,0,"0/11"
"BE Hendricks","Beuran Eric Hendricks","South Africa","t20s",19,19,409,"68.1",634,25,25.36,9.3,16.36,1,0,"4/14"
"BC Fortuin","Bjorn Carl Fortuin","South Africa","t20s",27,27,480,"80.0",657,23,28.57,8.21,20.87,0,0,"3/17"
"CJ Dala","Carl Junior Dala","South Africa","t20s",10,10,192,"32.0",309,13,23.77,9.66,14.77,0,0,"3/35"
"CK Langeveldt","Charl Kenneth Langeveldt","South Africa","t20s",8,8,174,"29.0",236,14,16.86,8.14,12.43,1,0,"4/19"
"CH Morris","Christopher Henry Morris","South Africa","t20s",22,22,474,"79.0",685,30,22.83,8.67,15.8,0,0,"3/32"
"C Bosch","Corbin Bosch","South Africa","t20s",21,21,438,"73.0",566,33,17.15,7.75,13.27,1,0,"4/15"
"DW Steyn","Dale Willem Steyn","South Africa","t20s",46,46,997,"166.1",1210,62,19.52,7.28,16.08,2,0,"4/9"
"D Paterson","Dane Paterson","South Africa","t20s",8,8,179,"29.5",270,9,30,9.05,19.89,1,0,"4/32"
