"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AD Mathews","Angelo Davis Mathews","Sri Lanka","t20s",68,68,1115,"185.5",1355,41,33.05,7.29,27.2,0,0,"3/16"
"AK Perera","Angelo Kanishka Perera","Sri Lanka","t20s",1,1,6,"1.0",17,0,17,17,6,0,0,"0/17"
"AM Fernando","Asitha Madusanka Fernando","Sri Lanka","t20s",5,5,96,"16.0",178,3,59.33,11.12,32,0,0,"1/55"
"N Pradeep","Aththachchi Nuwan Pradeep Roshan Fernando","Sri Lanka","t20s",16,16,278,"46.2",449,15,29.93,9.69,18.53,1,0,"4/25"
"BAW Mendis","Balapuwaduge Ajantha Winslow Mendis","Sri Lanka","t20s",37,37,837,"139.3",945,58,16.29,6.77,14.43,1,2,"6/20"
"BMAJ Mendis","Balapuwaduge Manukulasuriya Amith Jeevan Mendis","Sri Lanka","t20s",14,14,210,"35.0",252,12,21,7.2,17.5,0,0,"3/24"
"B Fernando","Binura Fernando","Sri Lanka","t20s",23,23,475,"79.1",666,22,30.27,8.41,21.59,0,0,"3/31"
"C Karunaratne","Chamika Karunaratne","Sri Lanka","t20s",40,40,689,"114.5",948,24,39.5,8.26,28.71,0,0,"2/22"
"C Wickramasinghe","Chamindu Wickramasinghe","Sri Lanka","t20s",3,3,42,"7.0",55,1,55,7.86,42,0,0,"1/17"
"CBRLS Kumara","Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara","Sri Lanka","t20s",24,24,520,"86.4",756,31,24.39,8.72,16.77,0,0,"3/9"
"CAK Rajitha","Chandrasekara Arachchilage Kasun Rajitha","Sri Lanka","t20s",17,17,372,"62.0",595,16,37.19,9.6,23.25,0,0,"3/29"
"CRD Fernando","Congenige Randhi Dilhara Fernando","Sri Lanka","t20s",16,16,342,"57.0",430,15,28.67,7.54,22.8,0,0,"3/19"
"DPMD Jayawardene","Denagamage Proboth Mahela de Silva Jayawardene","Sri Lanka","t20s",1,1,6,"1.0",8,0,8,8,6,0,0,"0/8"
"DSK Madushanka","Devapurage Shehan Madushanka Kumara","Sri Lanka","t20s",2,2,31,"5.1",64,2,32,12.39,15.5,0,0,"2/23"
"DM de Silva","Dhananjaya Maduranga de Silva","Sri Lanka","t20s",26,26,304,"50.4",347,16,21.69,6.85,19,0,0,"2/22"
"DAS Gunaratne","Downdegedara Asela Sampath Gunaratne","Sri Lanka","t20s",10,10,149,"24.5",206,5,41.2,8.3,29.8,0,0,"1/35"
"DN Wellalage","Dunith Nethmika Wellalage","Sri Lanka","t20s",14,14,321,"53.3",395,16,24.69,7.38,20.06,0,0,"3/10"
