"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"Aayan Afzal Khan","Aayan Afzal Khan","United Arab Emirates","t20s",28,28,608,"101.2",589,34,17.32,5.81,17.88,0,0,"3/20"
"Ahmed Raza","Ahmed Raza","United Arab Emirates","t20s",43,43,818,"136.2",905,29,31.21,6.64,28.21,0,1,"5/19"
"Ali Naseer","Ali Aamer Naseer","United Arab Emirates","t20s",33,33,673,"112.1",892,38,23.47,7.95,17.71,1,0,"4/26"
"A Sharafu","Alishan Sharafu","United Arab Emirates","t20s",1,1,1,"0.1",3,0,3,18,1,0,0,"0/3"
"Amir Hayat","Amir Hayat","United Arab Emirates","t20s",4,4,84,"14.0",106,6,17.67,7.57,14,0,0,"2/26"
"Amjad Javed","Amjad Javed","United Arab Emirates","t20s",17,17,348,"58.0",419,26,16.12,7.22,13.38,0,0,"3/41"
"Aryan Lakra","Aryan Lakra","United Arab Emirates","t20s",3,3,42,"7.0",46,2,23,6.57,21,0,0,"1/24"
"AM Guruge","Asanka Manjula Guruge","United Arab Emirates","t20s",5,5,96,"16.0",126,5,25.2,7.88,19.2,0,0,"2/18"
"Asif Khan","Asif Khan","United Arab Emirates","t20s",1,1,6,"1.0",3,0,3,3,6,0,0,"0/3"
"Basil Hameed","Basil Hameed","United Arab Emirates","t20s",34,34,512,"85.2",610,38,16.05,7.15,13.47,1,0,"4/25"
"D Parashar","Dhruv Parashar","United Arab Emirates","t20s",31,31,570,"95.0",647,29,22.31,6.81,19.66,1,0,"4/12"
"EHSN Silva","Elle Hennadige Shadeep Nadeeja Silva","United Arab Emirates","t20s",2,2,42,"7.0",59,2,29.5,8.43,21,0,0,"1/39"
"Ethan D'Souza","Ethan Carl D'Souza","United Arab Emirates","t20s",4,4,47,"7.5",53,5,10.6,6.77,9.4,1,0,"4/9"
"Fahad Tariq","Fahad Tariq Raja","United Arab Emirates","t20s",2,2,18,"3.0",26,0,26,8.67,18,0,0,"0/8"
"Farhan Ahmed","Farhan Ahmed","United Arab Emirates","t20s",2,2,30,"5.0",38,1,38,7.6,30,0,0,"1/29"
"Fayyaz Ahmed","Fayyaz Ahmed","United Arab Emirates","t20s",1,1,18,"3.0",31,1,31,10.33,18,0,0,"1/31"
"Hazrat Luqman","Hazrat Luqman","United Arab Emirates","t20s",2,2,36,"6.0",64,1,64,10.67,36,0,0,"1/30"
"Ibrar Ahmad","Ibrar Ahmad","United Arab Emirates","t20s",3,3,39,"6.3",57,6,9.5,8.77,6.5,0,1,"5/27"
"Imran Haider","Imran Haider","United Arab Emirates","t20s",9,9,144,"24.0",205,5,41,8.54,28.8,0,0,"1/40"
"J Giyanani","Jash Giyanani","United Arab Emirates","t20s",1,1,24,"4.0",35,0,35,8.75,24,0,0,"0/35"
"Kamran Shazad","Kamran Shazad","United Arab Emirates","t20s",3,3,52,"8.4",79,2,39.5,9.12,26,0,0,"2/20"
"KP Meiyappan","Karthik Palaniapan Meiyappan","United Arab Emirates","t20s",15,15,312,"52.0",370,23,16.09,7.12,13.57,1,0,"4/26"
"Kashif Daud","Kashif Daud","United Arab Emirates","t20s",14,14,221,"36.5",284,10,28.4,7.71,22.1,1,0,"4/32"
"Khurram Khan","Khurram Khan","United Arab Emirates","t20s",1,1,6,"1.0",8,1,8,8,6,0,0,"1/8"
"Matiullah Khan","Matiullah Khan","United Arab Emirates","t20s",5,5,96,"16.0",152,4,38,9.5,24,0,0,"2/42"
"Mohammad Ali","Mohammad Ali","United Arab Emirates","t20s",3,3,42,"7.0",87,1,87,12.43,42,0,0,"1/34"
"Ashfaq Ahmed","Mohammad Ashfaq Ahmed","United Arab Emirates","t20s",2,2,36,"6.0",34,2,17,5.67,18,0,0,"1/14"
"Mohammad Boota","Mohammad Boota","United Arab Emirates","t20s",1,1,6,"1.0",13,1,13,13,6,0,0,"1/13"
"Mohammad Naveed","Mohammad Naveed","United Arab Emirates","t20s",23,23,508,"84.4",506,32,15.81,5.98,15.88,0,0,"3/17"
"Mohammad Shahzad (2)","Mohammad Shahzad","United Arab Emirates","t20s",13,13,188,"31.2",249,8,31.12,7.95,23.5,0,0,"2/11"
"Mohammad Tauqir","Mohammad Tauqir","United Arab Emirates","t20s",2,2,30,"5.0",35,0,35,7,30,0,0,"0/13"
"Mohammed Faraazuddin","Mohammed Faraazuddin","United Arab Emirates","t20s",5,5,84,"14.0",126,2,63,9,42,0,0,"1/15"
"Mohammed Qasim","Mohammed Qasim","United Arab Emirates","t20s",3,3,66,"11.0",62,7,8.86,5.64,9.43,0,0,"3/14"
"Mohammad Ayaz","Muhammad Ayaz","United Arab Emirates","t20s",1,1,12,"2.0",29,0,29,14.5,12,0,0,"0/29"
"Muhammad Jawadullah","Muhammad Jawadullah","United Arab Emirates","t20s",33,33,727,"121.1",958,47,20.38,7.91,15.47,1,0,"4/22"
"Junaid Siddique (2)","Muhammad Junaid Siddique","United Arab Emirates","t20s",11,11,224,"37.2",250,13,19.23,6.7,17.23,1,0,"4/12"
"Muhammad Rohid","Muhammad Rohid Khan","United Arab Emirates","t20s",14,14,276,"46.0",387,15,25.8,8.41,18.4,0,0,"3/24"
"Muhammad Usman","Muhammad Usman","United Arab Emirates","t20s",7,7,119,"19.5",133,3,44.33,6.71,39.67,0,0,"2/22"
"Waseem Muhammad","Muhammad Waseem","United Arab Emirates","t20s",8,8,64,"10.4",128,3,42.67,12,21.33,0,0,"1/4"
"Nasir Aziz","Nasir Aziz","United Arab Emirates","t20s",1,1,24,"4.0",22,0,22,5.5,24,0,0,"0/22"
"Nilansh Keswani","Nilansh Keswani","United Arab Emirates","t20s",11,11,234,"39.0",261,10,26.1,6.69,23.4,0,0,"2/28"
"Omid Shafi Rahman","Omid Shafi Rahman","United Arab Emirates","t20s",5,5,82,"13.4",89,5,17.8,6.51,16.4,0,0,"3/19"
"Qadeer Ahmed","Qadeer Ahmed Khan","United Arab Emirates","t20s",9,9,168,"28.0",237,7,33.86,8.46,24,0,0,"2/26"
"Akif Raja","Raja Akifullah Khan","United Arab Emirates","t20s",19,19,336,"56.0",440,18,24.44,7.86,18.67,0,0,"3/22"
"Rohan Mustafa","Rohan Mustafa","United Arab Emirates","t20s",43,43,875,"145.5",1008,47,21.45,6.91,18.62,1,0,"4/19"
"Sabir Ali","Sabir Ali","United Arab Emirates","t20s",3,3,48,"8.0",74,3,24.67,9.25,16,0,0,"1/18"
"Saghir Khan","Saghir Khan","United Arab Emirates","t20s",6,6,126,"21.0",179,10,17.9,8.52,12.6,0,0,"3/44"
"SM Sharma","Sanchit Mohan Sharma","United Arab Emirates","t20s",4,4,66,"11.0",115,1,115,10.45,66,0,0,"1/47"
"Sharif Asadullah","Sharif Asadullah","United Arab Emirates","t20s",1,1,18,"3.0",21,2,10.5,7,9,0,0,"2/21"
"SS Kang","Simranjeet Singh","United Arab Emirates","t20s",15,15,279,"46.3",284,18,15.78,6.11,15.5,1,0,"4/15"
"Sultan Ahmed (2)","Sultan Ahmed","United Arab Emirates","t20s",19,19,378,"63.0",367,19,19.32,5.83,19.89,1,0,"4/9"
"Umair Ali","Umair Ali Khan","United Arab Emirates","t20s",1,1,12,"2.0",16,0,16,8,12,0,0,"0/16"
"V Sukumaran","Vishnu Sukumaran","United Arab Emirates","t20s",2,2,12,"2.0",29,1,29,14.5,12,0,0,"1/4"
"Waheed Ahmed","Waheed Ahmed","United Arab Emirates","t20s",12,12,186,"31.0",227,7,32.43,7.32,26.57,0,0,"3/22"
"Zaheer Maqsood","Zaheer Maqsood","United Arab Emirates","t20s",3,3,54,"9.0",80,1,80,8.89,54,0,0,"1/29"
"Zahoor Khan","Zahoor Khan","United Arab Emirates","t20s",46,46,1005,"167.3",1184,57,20.77,7.07,17.63,1,0,"4/17"
"Zawar Farid","Zawar Farid","United Arab Emirates","t20s",7,7,108,"18.0",155,3,51.67,8.61,36,0,0,"1/20"
"Zuhaib Zubair","Zuhaib Zubair","United Arab Emirates","t20s",17,17,282,"47.0",355,16,22.19,7.55,17.62,0,1,"5/21"
