"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"Aaron Jones","Aaron Jones","United States of America","t20s",11,11,116,"19.2",139,7,19.86,7.19,16.57,0,0,"2/37"
"AA Paradkar","Abhishek Ashish Paradkar","United States of America","t20s",3,3,54,"9.0",72,4,18,8,13.5,0,0,"3/25"
"Ali Sheikh","Ali Sheikh","United States of America","t20s",6,6,132,"22.0",141,10,14.1,6.41,13.2,0,1,"5/15"
"A Desai","Ayan Desai","United States of America","t20s",4,4,66,"11.0",85,5,17,7.73,13.2,0,0,"2/27"
"CAH Stevenson","Cameron Aaron Henry Stevenson","United States of America","t20s",4,4,72,"12.0",101,4,25.25,8.42,18,0,0,"1/15"
"CJ Gannon","Cameron John Gannon","United States of America","t20s",3,3,54,"9.0",68,3,22.67,7.56,18,0,0,"2/21"
"D Siva Kumar","Duvvarapu Siva Kumar","United States of America","t20s",1,1,12,"2.0",11,0,11,5.5,12,0,0,"0/11"
"EH Hutchinson","Elmore Howard Hutchinson","United States of America","t20s",3,3,48,"8.0",36,2,18,4.5,24,0,0,"2/7"
"IG Holland","Ian Gabriel Holland","United States of America","t20s",5,5,120,"20.0",95,8,11.88,4.75,15,0,0,"2/4"
"Jasdeep Singh","Jasdeep Singh","United States of America","t20s",30,30,624,"104.0",912,31,29.42,8.77,20.13,0,0,"3/22"
"JS Malhotra","Jaskaran Singh Malhotra","United States of America","t20s",2,2,18,"3.0",13,0,13,4.33,18,0,0,"0/3"
"J Theron","Juan Theron","United States of America","t20s",18,18,374,"62.2",492,24,20.5,7.89,15.58,1,0,"4/27"
"J Drysdale","Juanoy Drysdale","United States of America","t20s",11,11,198,"33.0",306,11,27.82,9.27,18,0,0,"3/18"
"K Gore","Karima Gore","United States of America","t20s",8,8,144,"24.0",130,10,13,5.42,14.4,0,0,"3/5"
"KRP Silva","Kombu Roy Prasanga Silva","United States of America","t20s",1,1,12,"2.0",19,0,19,9.5,12,0,0,"0/19"
"MO Kain","Martin Owen Kain","United States of America","t20s",2,2,34,"5.4",55,0,55,9.71,34,0,0,"0/38"
"Ali Khan","Muhammad Ahsan Ali Khan","United States of America","t20s",20,20,421,"70.1",642,17,37.76,9.15,24.76,0,0,"3/27"
"NP Kenjige","Nosthusha Pradeep Kenjige","United States of America","t20s",23,23,442,"73.4",568,22,25.82,7.71,20.09,0,0,"3/30"
"RR Behera","Ritwik Rasananda Behera","United States of America","t20s",1,1,6,"1.0",5,0,5,5,6,0,0,"0/5"
"SP Krishnamurthi","Sanjay Prasad Krishnamurthi","United States of America","t20s",2,2,30,"5.0",21,2,10.5,4.2,15,0,0,"2/13"
"SN Netravalkar","Saurabh Naresh Netravalkar","United States of America","t20s",43,43,873,"145.3",1083,42,25.79,7.44,20.79,0,1,"5/12"
"SV Wiig","Stephen Vishwas Wiig","United States of America","t20s",2,2,30,"5.0",45,2,22.5,9,15,0,0,"2/11"
"Steven Ryan Taylor","Steven Ryan Taylor","United States of America","t20s",5,5,78,"13.0",71,3,23.67,5.46,26,0,0,"2/11"
"SJ Modani","Sushant Jayachandra Modani","United States of America","t20s",1,1,6,"1.0",2,1,2,2,6,0,0,"1/2"
"TK Patel","Timil Kaushik Patel","United States of America","t20s",6,6,132,"22.0",147,11,13.36,6.68,12,1,0,"4/27"
"TP Allen","Timroy Patrick Allen","United States of America","t20s",2,2,18,"3.0",28,1,28,9.33,18,0,0,"1/11"
"TO Carmichael","Trinson Oclavia Carmichael","United States of America","t20s",2,2,36,"6.0",43,0,43,7.17,36,0,0,"0/25"
"Usman Rafiq","Usman Rafiq","United States of America","t20s",1,1,12,"2.0",24,0,24,12,12,0,0,"0/24"
"VM Vaghela","Vatsal Mahesh Vaghela","United States of America","t20s",3,3,60,"10.0",41,7,5.86,4.1,8.57,0,0,"3/13"
"Yasir Mohammad","Yasir Saeed Mohammad","United States of America","t20s",12,12,255,"42.3",310,20,15.5,7.29,12.75,2,0,"4/20"
