"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"AJ Hosein","Akeal Jerome Hosein","West Indies","t20s",91,91,1940,"323.2",2424,91,26.64,7.5,21.32,2,1,"5/12"
"A Athanaze","Alick Athanaze","West Indies","t20s",1,1,6,"1.0",16,0,16,16,6,0,0,"0/16"
"AS Joseph","Alzarri Shaheim Joseph","West Indies","t20s",43,43,972,"162.0",1541,61,25.26,9.51,15.93,2,1,"5/40"
"AD Russell","Andre Dwayne Russell","West Indies","t20s",73,73,1183,"197.1",1895,58,32.67,9.61,20.4,0,0,"3/43"
"AM McCarthy","Andre McIntosh McCarthy","West Indies","t20s",1,1,12,"2.0",12,0,12,6,12,0,0,"0/12"
"A Martin","Anthony Martin","West Indies","t20s",1,1,18,"3.0",20,1,20,6.67,18,0,0,"1/20"
"AR Nurse","Ashley Renaldo Nurse","West Indies","t20s",13,13,240,"40.0",324,8,40.5,8.1,30,0,0,"2/6"
"CR Brathwaite","Carlos Ricardo Brathwaite","West Indies","t20s",35,35,649,"108.1",976,27,36.15,9.02,24.04,0,0,"3/24"
"CD Barnwell","Christopher Dion Barnwell","West Indies","t20s",4,4,36,"6.0",51,1,51,8.5,36,0,0,"1/24"
"CH Gayle","Christopher Henry Gayle","West Indies","t20s",30,30,381,"63.3",451,20,22.55,7.1,19.05,0,0,"2/22"
"DBL Powell","Daren Brent Lyle Powell","West Indies","t20s",5,5,102,"17.0",141,2,70.5,8.29,51,0,0,"1/28"
"DJG Sammy","Daren Julius Garvey Sammy","West Indies","t20s",58,58,904,"150.4",1118,43,26,7.42,21.02,1,1,"5/26"
"DE Bernard","David Eddison Bernard","West Indies","t20s",1,1,24,"4.0",19,0,19,4.75,24,0,0,"0/19"
"DK Butler","Deighton Kelvin Butler","West Indies","t20s",1,1,18,"3.0",23,0,23,7.67,18,0,0,"0/23"
"D Bishoo","Devendra Bishoo","West Indies","t20s",7,7,121,"20.1",137,7,19.57,6.79,17.29,1,0,"4/17"
"DC Drakes","Dominic Conneil Drakes","West Indies","t20s",10,10,192,"32.0",296,6,49.33,9.25,32,0,0,"1/41"
"DJ Bravo","Dwayne John Bravo","West Indies","t20s",76,76,1481,"246.5",2049,78,26.27,8.3,18.99,3,0,"4/38"
"DR Smith","Dwayne Romel Smith","West Indies","t20s",11,11,142,"23.4",214,7,30.57,9.04,20.29,0,0,"3/25"
"FA Allen","Fabian Anthony Allen","West Indies","t20s",35,35,605,"100.5",784,24,32.67,7.78,25.21,0,0,"2/19"
"FH Edwards","Fidel Henderson Edwards","West Indies","t20s",26,26,449,"74.5",629,20,31.45,8.41,22.45,0,0,"3/24"
"GE Mathurin","Garey Earl Mathurin","West Indies","t20s",3,3,60,"10.0",69,4,17.25,6.9,15,0,0,"3/12"
"GC Tonge","Gavin Courtney Tonge","West Indies","t20s",1,1,24,"4.0",25,1,25,6.25,24,0,0,"1/25"
"G Motie","Gudakesh Motie","West Indies","t20s",45,45,864,"144.0",1171,47,24.91,8.13,18.38,1,0,"4/28"
"HR Walsh","Hayden Rashidi Walsh","West Indies","t20s",31,31,599,"99.5",796,29,27.45,7.97,20.66,0,0,"3/23"
"IDR Bradshaw","Ian David Russell Bradshaw","West Indies","t20s",1,1,24,"4.0",25,0,25,6.25,24,0,0,"0/25"
"JN Mohammed","Jason Nazimuddin Mohammed","West Indies","t20s",2,2,12,"2.0",13,0,13,6.5,12,0,0,"0/5"
"JO Holder","Jason Omar Holder","West Indies","t20s",89,89,1941,"323.3",2888,105,27.5,8.93,18.49,5,1,"5/27"
"JNT Seales","Jayden Nigel Tristen Seales","West Indies","t20s",8,8,156,"26.0",282,6,47,10.85,26,0,0,"3/32"
"J Blades","Jediah Blades","West Indies","t20s",6,6,119,"19.5",181,6,30.17,9.13,19.83,0,0,"3/30"
"JE Taylor","Jerome Everton Taylor","West Indies","t20s",27,27,540,"90.0",806,30,26.87,8.96,18,0,0,"3/6"
"JD Campbell","John Dillon Campbell","West Indies","t20s",1,1,6,"1.0",1,0,1,1,6,0,0,"0/1"
"KMA Paul","Keemo Mandela Angus Paul","West Indies","t20s",21,21,420,"70.0",650,21,30.95,9.29,20,0,1,"5/15"
"KAJ Roach","Kemar Andre Jamal Roach","West Indies","t20s",11,11,234,"39.0",297,10,29.7,7.62,23.4,0,0,"2/30"
"KOK Williams","Kesrick Omari Kenal Williams","West Indies","t20s",20,20,416,"69.2",691,25,27.64,9.97,16.64,1,0,"4/29"
"K Sinclair","Kevin Sinclair","West Indies","t20s",6,6,108,"18.0",151,4,37.75,8.39,27,0,0,"2/24"
"K Pierre","Khary Pierre","West Indies","t20s",12,12,198,"33.0",319,10,31.9,9.67,19.8,0,0,"2/44"
"KA Pollard","Kieron Adrian Pollard","West Indies","t20s",60,60,814,"135.4",1165,39,29.87,8.59,20.87,1,0,"4/25"
"K Santokie","Krishmar Santokie","West Indies","t20s",12,12,245,"40.5",286,18,15.89,7,13.61,1,0,"4/24"
"KR Mayers","Kyle Rico Mayers","West Indies","t20s",14,14,120,"20.0",197,2,98.5,9.85,60,0,0,"2/28"
"LMP Simmons","Lendl Mark Platter Simmons","West Indies","t20s",5,5,43,"7.1",72,6,12,10.05,7.17,1,0,"4/19"
"LS Baker","Lionel Sionne Baker","West Indies","t20s",3,3,48,"8.0",58,2,29,7.25,24,0,0,"1/12"
"MN Samuels","Marlon Nathaniel Samuels","West Indies","t20s",30,30,485,"80.5",645,22,29.32,7.98,22.05,0,0,"3/23"
"MW Forde","Matthew Walter Forde","West Indies","t20s",20,20,382,"63.4",522,19,27.47,8.2,20.11,0,0,"3/27"
"N Deonarine","Narsingh Deonarine","West Indies","t20s",4,4,54,"9.0",87,0,87,9.67,54,0,0,"0/17"
"NO Miller","Nikita O'Brien Miller","West Indies","t20s",9,9,190,"31.4",227,11,20.64,7.17,17.27,0,0,"2/22"
"NE Bonner","Nkrumah Eljego Bonner","West Indies","t20s",1,1,12,"2.0",18,0,18,9,12,0,0,"0/18"
"OC McCoy","Obed  Christopher McCoy","West Indies","t20s",41,41,808,"134.4",1225,49,25,9.1,16.49,2,1,"6/17"
"OF Smith","Odean Fabian Smith","West Indies","t20s",26,26,450,"75.0",784,27,29.04,10.45,16.67,0,0,"3/33"
"O Thomas","Oshane Romaine Thomas","West Indies","t20s",20,20,408,"68.0",661,21,31.48,9.72,19.43,0,1,"5/28"
"RR Sarwan","Ramnaresh Ronnie Sarwan","West Indies","t20s",1,1,12,"2.0",10,2,5,5,6,0,0,"2/10"
"RR Simmonds","Ramon Romario Simmonds","West Indies","t20s",2,2,30,"5.0",40,4,10,8,7.5,1,0,"4/15"
"R Rampaul","Ravindranath Rampaul","West Indies","t20s",27,27,575,"95.5",827,31,26.68,8.63,18.55,0,0,"3/18"
"RN Lewis","Rawl Nicholas Lewis","West Indies","t20s",1,1,6,"1.0",9,0,9,9,6,0,0,"0/9"
"RR Emrit","Rayad Ryan Emrit","West Indies","t20s",4,4,96,"16.0",161,4,40.25,10.06,24,0,0,"1/42"
"RA Reifer","Raymon Anton Reifer","West Indies","t20s",2,2,30,"5.0",60,1,60,12,30,0,0,"1/42"
"R Shepherd","Romario Shepherd","West Indies","t20s",72,72,1332,"222.0",2257,81,27.86,10.17,16.44,1,1,"5/20"
"RL Chase","Roston Lamar Chase","West Indies","t20s",49,49,850,"141.4",1085,38,28.55,7.66,22.37,0,0,"3/26"
"R Powell","Rovman Powell","West Indies","t20s",13,13,113,"18.5",201,4,50.25,10.67,28.25,0,0,"2/33"
"S Badree","Samuel Badree","West Indies","t20s",48,48,1056,"176.0",1131,50,22.62,6.43,21.12,1,0,"4/15"
"S Joseph","Shamar Joseph","West Indies","t20s",20,20,402,"67.0",643,25,25.72,9.6,16.08,1,0,"4/30"
"SK Springer","Shamar Kamal Springer","West Indies","t20s",4,4,60,"10.0",93,4,23.25,9.3,15,0,0,"1/25"
"ST Gabriel","Shannon Terry Gabriel","West Indies","t20s",2,2,42,"7.0",58,3,19.33,8.29,14,0,0,"3/44"
"SS Cottrell","Sheldon Shane Cottrell","West Indies","t20s",41,41,858,"143.0",1215,49,24.8,8.5,17.51,1,0,"4/32"
"SE Rutherford","Sherfane Eviston Rutherford","West Indies","t20s",3,3,36,"6.0",64,2,32,10.67,18,0,0,"1/21"
"SR Taylor","Stafanie Roxann Taylor","West Indies","t20s",14,14,216,"36.0",230,9,25.56,6.39,24,0,0,"2/21"
"SJ Benn","Sulieman Jamaal Benn","West Indies","t20s",23,23,484,"80.4",614,19,32.32,7.61,25.47,1,0,"4/6"
"SP Narine","Sunil Philip Narine","West Indies","t20s",46,46,1036,"172.4",1057,48,22.02,6.12,21.58,1,0,"4/12"
"T Hinds","Terrance Hinds","West Indies","t20s",2,2,26,"4.2",58,1,58,13.38,26,0,0,"1/30"
"TL Best","Tino la Bertram Best","West Indies","t20s",6,6,120,"20.0",167,6,27.83,8.35,20,0,0,"3/20"
"V Permaul","Veerasammy Permaul","West Indies","t20s",1,1,3,"0.3",8,0,8,16,3,0,0,"0/8"
"Y Cariah","Yannic Cariah","West Indies","t20s",2,2,36,"6.0",43,1,43,7.17,36,0,0,"1/15"
