"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"A Ndlovu","Ainsley Ndlovu","Zimbabwe","t20s",7,7,126,"21.0",177,2,88.5,8.43,63,0,0,"1/14"
"AG Cremer","Alexander Graeme Cremer","Zimbabwe","t20s",29,29,600,"100.0",734,32,22.94,7.34,18.75,0,0,"3/11"
"B Muzarabani","Blessing Muzarabani","Zimbabwe","t20s",76,76,1639,"273.1",1976,90,21.96,7.23,18.21,1,0,"4/19"
"B Evans","Brad Evans","Zimbabwe","t20s",28,28,562,"93.4",775,41,18.9,8.27,13.71,1,0,"4/18"
"B Mavuta","Brandon Anesu Mavuta","Zimbabwe","t20s",11,11,204,"34.0",234,10,23.4,6.88,20.4,0,0,"3/10"
"BRM Taylor","Brendan Ross Murray Taylor","Zimbabwe","t20s",2,2,30,"5.0",21,1,21,4.2,30,0,0,"1/20"
"BJ Bennett","Brian John Bennett","Zimbabwe","t20s",16,16,140,"23.2",193,6,32.17,8.27,23.33,0,0,"2/20"
"BV Vitori","Brian Vitalis Vitori","Zimbabwe","t20s",11,11,238,"39.4",329,4,82.25,8.29,59.5,0,0,"1/24"
"CT Mumba","Carl Tapfuma Mumba","Zimbabwe","t20s",9,9,126,"21.0",193,3,64.33,9.19,42,0,0,"1/21"
"CJ Chibhabha","Chamunorwa Justice Chibhabha","Zimbabwe","t20s",17,17,240,"40.0",324,10,32.4,8.1,24,0,0,"3/18"
"CK Tshuma","Charlton Kirsh Tshuma","Zimbabwe","t20s",1,1,6,"1.0",10,0,10,10,6,0,0,"0/10"
"CB Mpofu","Christopher Bobby Mpofu","Zimbabwe","t20s",26,26,574,"95.4",916,25,36.64,9.57,22.96,0,0,"3/37"
"CT Mutombodzi","Confidence Tinotenda Mutombodzi","Zimbabwe","t20s",8,8,138,"23.0",171,5,34.2,7.43,27.6,0,0,"2/28"
"D Myers","Dion Nephy Myers","Zimbabwe","t20s",6,6,60,"10.0",126,0,126,12.6,60,0,0,"0/42"
"DT Tiripano","Donald Tatenda Tiripano","Zimbabwe","t20s",16,16,291,"48.3",390,12,32.5,8.04,24.25,0,0,"3/20"
"EC Rainsford","Edward Charles Rainsford","Zimbabwe","t20s",2,2,36,"6.0",67,0,67,11.17,36,0,0,"0/25"
"E Chigumbura","Elton Chigumbura","Zimbabwe","t20s",16,16,198,"33.0",318,12,26.5,9.64,16.5,1,0,"4/31"
"GB Brent","Gary Bazil Brent","Zimbabwe","t20s",2,2,42,"7.0",53,2,26.5,7.57,21,0,0,"2/19"
"GA Lamb","Gregory Arthur Lamb","Zimbabwe","t20s",5,5,73,"12.1",80,4,20,6.58,18.25,0,0,"2/34"
"H Masakadza","Hamilton Masakadza","Zimbabwe","t20s",8,8,60,"10.0",98,2,49,9.8,30,0,0,"1/9"
"I Kaia","Innocent Kaia","Zimbabwe","t20s",2,2,12,"2.0",9,0,9,4.5,12,0,0,"0/5"
"JK Masara","John Kumbirai Masara","Zimbabwe","t20s",1,1,6,"1.0",5,0,5,5,6,0,0,"0/5"
"J Nyumbu","John Nyumbu","Zimbabwe","t20s",2,2,36,"6.0",77,0,77,12.83,36,0,0,"0/32"
"J Campbell","Johnathan Mitchell Ross Campbell","Zimbabwe","t20s",1,1,12,"2.0",7,1,7,3.5,12,0,0,"1/7"
"KO Meth","Keegan Orry Meth","Zimbabwe","t20s",2,2,42,"7.0",64,0,64,9.14,42,0,0,"0/34"
"KM Dabengwa","Keith Mbusi Dabengwa","Zimbabwe","t20s",3,3,24,"4.0",56,0,56,14,24,0,0,"0/30"
"K Macheka","Kudakwashe Macheka","Zimbabwe","t20s",2,2,39,"6.3",60,4,15,9.23,9.75,0,0,"3/40"
"KM Jarvis","Kyle Malcolm Jarvis","Zimbabwe","t20s",18,18,360,"60.0",557,24,23.21,9.28,15,0,0,"3/15"
"LM Jongwe","Luke Mafuwa Jongwe","Zimbabwe","t20s",52,52,930,"155.0",1339,61,21.95,8.64,15.25,1,0,"4/18"
"MN Waller","Malcolm Noel Waller","Zimbabwe","t20s",3,3,30,"5.0",42,0,42,8.4,30,0,0,"0/4"
"M Shumba","Milton Shumba","Zimbabwe","t20s",5,5,72,"12.0",103,4,25.75,8.58,18,0,0,"3/16"
"M Faraz Akram","Mohammad Faraz Akram","Zimbabwe","t20s",8,8,116,"19.2",198,1,198,10.24,116,0,0,"1/44"
"N M'shangwe","Natsai M'shangwe","Zimbabwe","t20s",5,5,96,"16.0",142,4,35.5,8.88,24,0,0,"2/33"
"N Madziva","Neville Madziva","Zimbabwe","t20s",12,12,239,"39.5",346,12,28.83,8.69,19.92,1,0,"4/34"
"O Muzondo","Owen Muzondo","Zimbabwe","t20s",5,5,108,"18.0",93,11,8.45,5.17,9.82,1,0,"4/18"
"P Utseya","Prosper Utseya","Zimbabwe","t20s",30,30,634,"105.4",782,19,41.16,7.4,33.37,0,0,"2/43"
"RW Price","Raymond William Price","Zimbabwe","t20s",12,12,273,"45.3",336,8,42,7.38,34.12,0,0,"2/33"
"R Ngarava","Richard Ngarava","Zimbabwe","t20s",82,82,1754,"292.2",2210,104,21.25,7.56,16.87,2,0,"4/17"
"RP Burl","Ryan Ponsonby Burl","Zimbabwe","t20s",64,64,975,"162.3",1207,51,23.67,7.43,19.12,0,0,"3/24"
"SC Williams","Sean Colin Williams","Zimbabwe","t20s",69,69,1092,"182.0",1284,43,29.86,7.05,25.4,0,0,"3/16"
"SW Masakadza","Shingirai Winston Masakadza","Zimbabwe","t20s",7,7,117,"19.3",213,4,53.25,10.92,29.25,0,0,"2/39"
"Sikandar Raza","Sikandar Raza Butt","Zimbabwe","t20s",102,102,1896,"316.0",2234,98,22.8,7.07,19.35,2,1,"5/21"
"SF Mire","Solomon Farai Mire","Zimbabwe","t20s",5,5,72,"12.0",118,1,118,9.83,72,0,0,"1/15"
"S Matsikenyeri","Stuart Matsikenyeri","Zimbabwe","t20s",2,2,10,"1.4",13,0,13,7.8,10,0,0,"0/10"
"T Kamungozi","Tafadzwa Paul Kamungozi","Zimbabwe","t20s",1,1,12,"2.0",17,0,17,8.5,12,0,0,"0/17"
"TZ Chataira","Takudzwa Zivanai Chataira","Zimbabwe","t20s",3,3,42,"7.0",57,5,11.4,8.14,8.4,0,0,"2/14"
"TL Chivanga","Tanaka Lance Chivanga","Zimbabwe","t20s",3,3,39,"6.3",79,0,79,12.15,39,0,0,"0/23"
"T Musekiwa","Tashinga Musekiwa","Zimbabwe","t20s",5,5,108,"18.0",105,8,13.12,5.83,13.5,0,0,"3/29"
"T Taibu","Tatenda Taibu","Zimbabwe","t20s",2,2,24,"4.0",42,0,42,10.5,24,0,0,"0/22"
"T Muzarabani","Taurai Muzarabani","Zimbabwe","t20s",7,7,132,"22.0",218,5,43.6,9.91,26.4,0,0,"2/31"
"T Mupariwa","Tawanda Mupariwa","Zimbabwe","t20s",2,2,30,"5.0",45,1,45,9,30,0,0,"1/22"
"TL Chatara","Tendai Larry Chatara","Zimbabwe","t20s",53,53,1131,"188.3",1403,57,24.61,7.44,19.84,0,0,"3/31"
"TS Chisoro","Tendai Sam Chisoro","Zimbabwe","t20s",11,11,246,"41.0",278,9,30.89,6.78,27.33,0,0,"3/17"
"T Panyangara","Tinashe Panyangara","Zimbabwe","t20s",13,13,279,"46.3",371,17,21.82,7.98,16.41,1,0,"4/39"
"TT Maposa","Tinotenda Tinashe Maposa","Zimbabwe","t20s",18,18,308,"51.2",476,15,31.73,9.27,20.53,0,0,"2/38"
"T Munyonga","Tony Tanaka Munyonga","Zimbabwe","t20s",5,5,78,"13.0",64,3,21.33,4.92,26,0,0,"1/16"
"T Gwandu","Trevor Wesley Gwandu","Zimbabwe","t20s",18,18,300,"50.0",428,16,26.75,8.56,18.75,0,0,"3/10"
"VM Nyauchi","Victor Munyaradzi Nyauchi","Zimbabwe","t20s",2,2,42,"7.0",66,3,22,9.43,14,0,0,"3/29"
"WT Mubayiwa","Wallace Tapiwanashe Mubayiwa","Zimbabwe","t20s",5,5,114,"19.0",92,5,18.4,4.84,22.8,0,0,"3/13"
"WP Masakadza","Wellington Pedzisai Masakadza","Zimbabwe","t20s",66,66,1186,"197.4",1465,45,32.56,7.41,26.36,2,0,"4/28"
"W Madhevere","Wessly Nyasha Madhevere","Zimbabwe","t20s",35,35,408,"68.0",487,15,32.47,7.16,27.2,0,0,"2/11"
"WT Mashinge","William Takudzwa Mashinge","Zimbabwe","t20s",2,2,30,"5.0",59,1,59,11.8,30,0,0,"1/37"
