"match_id","balls_per_over","team1","team2","gender","season","date","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","tv_umpire","match_referee","winner","winner_runs","winner_wickets","outcome","bowl_out","reserve_umpire","event","match_number","method","eliminator","toss_uncontested"
"1512719","6","Netherlands","Pakistan","male","2025/26",2026-02-07,"Sinhalese Sports Club Ground, Colombo","Colombo","Pakistan","field","Faheem Ashraf","HDPK Dharmasena","WR Knights","RK Illingworth","RB Richardson","Pakistan",NA,"3",NA,NA,"CB Gaffaney","ICC Men's T20 World Cup","1",NA,NA,NA
"1512720","6","West Indies","Scotland","male","2025/26",2026-02-07,"Eden Gardens, Kolkata","Kolkata","Scotland","field","SO Hetmyer","Nitin Menon","SJ Nogajski","J Madanagopal","J Srinath","West Indies","35",NA,NA,NA,"KN Ananthapadmanabhan","ICC Men's T20 World Cup","2",NA,NA,NA
"1512721","6","India","United States of America","male","2025/26",2026-02-07,"Wankhede Stadium, Mumbai","Mumbai","United States of America","field","SA Yadav","PR Reiffel","RJ Tucker","Sharfuddoula","AJ Pycroft","India","29",NA,NA,NA,"R Black","ICC Men's T20 World Cup","3",NA,NA,NA
"1512723","6","England","Nepal","male","2025/26",2026-02-08,"Wankhede Stadium, Mumbai","Mumbai","England","bat","WG Jacks","LS Reifer","RJ Tucker","PR Reiffel","AJ Pycroft","England","4",NA,NA,NA,"R Black","ICC Men's T20 World Cup","5",NA,NA,NA
"1512724","6","Sri Lanka","Ireland","male","2025/26",2026-02-08,"R Premadasa Stadium, Colombo","Colombo","Ireland","field","PHKD Mendis","Ahsan Raza","Asif Yaqoob","RA Kettleborough","DA Cosker","Sri Lanka","20",NA,NA,NA,"WR Knights","ICC Men's T20 World Cup","6",NA,NA,NA
"1512725","6","Scotland","Italy","male","2025/26",2026-02-09,"Eden Gardens, Kolkata","Kolkata","Italy","field","MA Leask","A Paleker","CM Brown","SJ Nogajski","J Srinath","Scotland","73",NA,NA,NA,"DM Koch","ICC Men's T20 World Cup","7",NA,NA,NA
"1512726","6","Oman","Zimbabwe","male","2025/26",2026-02-09,"Sinhalese Sports Club Ground, Colombo","Colombo","Zimbabwe","field","B Muzarabani","Asif Yaqoob","WR Knights","Ahsan Raza","RB Richardson","Zimbabwe",NA,"8",NA,NA,"RA Kettleborough","ICC Men's T20 World Cup","8",NA,NA,NA
"1512727","6","South Africa","Canada","male","2025/26",2026-02-09,"Narendra Modi Stadium, Ahmedabad","Ahmedabad","Canada","field","L Ngidi","J Madanagopal","Nitin Menon","Sharfuddoula","Dave Gilbert","South Africa","57",NA,NA,NA,"KN Ananthapadmanabhan","ICC Men's T20 World Cup","9",NA,NA,NA
"1512728","6","Namibia","Netherlands","male","2025/26",2026-02-10,"Arun Jaitley Stadium, Delhi","Delhi","Netherlands","field","BFW de Leede","AT Holdstock","L Rusere","AG Wharf","AJ Pycroft","Netherlands",NA,"7",NA,NA,"Gazi Sohel","ICC Men's T20 World Cup","10",NA,NA,NA
"1512729","6","United Arab Emirates","New Zealand","male","2025/26",2026-02-10,"MA Chidambaram Stadium, Chepauk, Chennai","Chennai","United Arab Emirates","bat","TL Seifert","PR Reiffel","R Black","RJ Tucker","RS Madugalle","New Zealand",NA,"10",NA,NA,"LS Reifer","ICC Men's T20 World Cup","11",NA,NA,NA
"1512730","6","Pakistan","United States of America","male","2025/26",2026-02-10,"Sinhalese Sports Club Ground, Colombo","Colombo","United States of America","field","Sahibzada Farhan","RR Wimalasiri","RK Illingworth","CB Gaffaney","DA Cosker","Pakistan","32",NA,NA,NA,"HDPK Dharmasena","ICC Men's T20 World Cup","12",NA,NA,NA
"1512732","6","Australia","Ireland","male","2025/26",2026-02-11,"R Premadasa Stadium, Colombo","Colombo","Australia","bat","NT Ellis","CB Gaffaney","RK Illingworth","HDPK Dharmasena","RB Richardson","Australia","67",NA,NA,NA,"RR Wimalasiri","ICC Men's T20 World Cup","14",NA,NA,NA
"1512733","6","West Indies","England","male","2025/26",2026-02-11,"Wankhede Stadium, Mumbai","Mumbai","England","field","SE Rutherford","A Paleker","DM Koch","CM Brown","J Srinath","West Indies","30",NA,NA,NA,"SJ Nogajski","ICC Men's T20 World Cup","15",NA,NA,NA
"1512734","6","Sri Lanka","Oman","male","2025/26",2026-02-12,"Pallekele International Cricket Stadium","Kandy","Oman","field","P Rathnayake","RA Kettleborough","WR Knights","Ahsan Raza","DA Cosker","Sri Lanka","105",NA,NA,NA,"Asif Yaqoob","ICC Men's T20 World Cup","16",NA,NA,NA
"1512735","6","Nepal","Italy","male","2025/26",2026-02-12,"Wankhede Stadium, Mumbai","Mumbai","Italy","field","CJPF Kalugamage","DM Koch","SJ Nogajski","A Paleker","RS Madugalle","Italy",NA,"10",NA,NA,"CM Brown","ICC Men's T20 World Cup","17",NA,NA,NA
"1512736","6","India","Namibia","male","2025/26",2026-02-12,"Arun Jaitley Stadium, Delhi","Delhi","Namibia","field","HH Pandya","PR Reiffel","RJ Tucker","LS Reifer","AJ Pycroft","India","93",NA,NA,NA,"R Black","ICC Men's T20 World Cup","18",NA,NA,NA
"1512737","6","Zimbabwe","Australia","male","2025/26",2026-02-13,"R Premadasa Stadium, Colombo","Colombo","Australia","field","B Muzarabani","CB Gaffaney","RR Wimalasiri","RK Illingworth","RB Richardson","Zimbabwe","23",NA,NA,NA,"HDPK Dharmasena","ICC Men's T20 World Cup","19",NA,NA,NA
"1512738","6","Canada","United Arab Emirates","male","2025/26",2026-02-13,"Arun Jaitley Stadium, Delhi","Delhi","Canada","bat","Junaid Siddique","AT Holdstock","Gazi Sohel","AG Wharf","AJ Pycroft","United Arab Emirates",NA,"5",NA,NA,"L Rusere","ICC Men's T20 World Cup","20",NA,NA,NA
