"batter","bowler","runs","balls","dismissals","strike_rate"
"A Ahmadhel","A Nanda",4,4,0,100
"A Ahmadhel","Bilal Muhammad",0,6,1,0
"A Ahmadhel","E Mathew",1,2,0,50
"A Ahmadhel","J Shaju",1,4,1,25
"A Ahmadhel","M Dixit",0,2,1,0
"A Ahmadhel","S Vashisht",0,1,0,0
"A Ahmadhel","V Saini",2,7,1,28.57
"A Ahmadhel","Washeem Abbas",0,1,0,0
"A Alexander","ASF Sirah",3,3,0,100
"A Alexander","Abdul Majid Abbasi",1,2,1,50
"A Alexander","Ali Dawood",2,2,0,100
"A Alexander","Imran Khan",1,4,1,25
"A Alexander","KDA Lukies",5,5,1,100
"A Alexander","LJ Myott",1,1,0,100
"A Alexander","Luqman Butt",3,1,0,300
"A Alexander","Marcelle Hanekom",0,1,0,0
"A Alexander","Nazmul Huda",5,2,0,250
"A Alexander","S Godara",6,2,0,300
"A Alexander","S Sarthak",1,1,0,100
"A Alexander","Shah Abrar Hussain",1,3,1,33.33
"A Alexander","Utkarsh Jain",21,7,0,300
"A Alexander","Virandeep Singh",0,1,0,0
"A Amado","Atif Mehmood",2,3,0,66.67
"A Amado","B Arora",0,2,1,0
"A Amado","Imran Ameer",3,5,0,60
"A Amado","LA Burns",2,8,0,25
"A Amado","Mohammad Kamran",5,3,0,166.67
"A Amado","Raja Adeel",2,3,0,66.67
"A Amado","VP Thamotharam",0,1,0,0
"A Amado","Yasir Ali",5,3,0,166.67
"A Andrews","Dawood Ahmadzai",0,1,1,0
"A Andrews","Noman Amjad",4,5,0,80
"A Ashokan","A Kheterpal",20,26,0,76.92
"A Ashokan","A Prashar",2,1,0,200
"A Ashokan","AG Weligamage",15,14,0,107.14
"A Ashokan","Abdullah Akbarjan",26,22,1,118.18
"A Ashokan","Ali Masood",2,3,0,66.67
"A Ashokan","Ali Nayyer",2,2,0,100
"A Ashokan","Ali Yalmaz",0,2,1,0
"A Ashokan","Aqib Iqbal",6,8,0,75
"A Ashokan","Arslan Amjad",7,9,0,77.78
"A Ashokan","Ashwin Vinod",8,4,0,200
