"player_id","batter","matches","inns","runs","avg","no"
"23616","Brian Bennett","6","6","292","146.00","4"
"6250","Mitchell Marsh","2","2","118","118.00","1"
"13646","Romario Shepherd","5","4","80","80.00","3"
"8271","Sanju Samson","4","4","232","77.33","1"
"13625","Sahibzada Farhan","6","6","383","76.60","1"
"11315","Shubham Ranjane","4","4","141","70.50","2"
"11131","Lorcan Tucker","3","3","139","69.50","1"
"19243","Tristan Stubbs","8","6","135","67.50","4"
"13748","Sherfane Rutherford","7","6","183","61.00","3"
"6349","David Miller","7","6","174","58.00","3"
"11172","Finn Allen","7","7","289","57.80","2"
"12173","Ibrahim Zadran","4","4","170","56.67","1"
"12258","Will Jacks","8","8","226","56.50","4"
"11155","Dipendra Singh Airee","4","4","169","56.33","1"
"10863","Fakhar Zaman","2","2","109","54.50","0"
