"player_id","bowler","matches","overs","inns","wkts","eco","avg","sr"
"9311","Jasprit Bumrah","7","24.0","7","10","6.62","15.90","14.40"
"2245","Shadley van Schalkwyk","4","14.5","4","13","6.81","7.77","6.85"
"11177","Rachin Ravindra","7","17.0","6","11","6.88","10.64","9.27"
"9603","Lungi Ngidi","7","26.0","7","12","7.19","15.58","13.00"
"14251","Dunith Wellalage","7","27.0","7","8","7.22","24.38","20.25"
"55799","Usman Tariq","5","19.3","5","10","7.23","14.10","11.70"
"18504","Maheesh Theekshana","7","27.3","7","11","7.42","18.55","15.00"
"8512","Jamie Overton","6","20.0","6","9","7.45","16.56","13.33"
"7973","Gerhard Erasmus","4","11.0","4","7","7.55","11.86","9.43"
"8642","Adam Zampa","4","15.2","4","8","7.57","14.50","11.50"
"9067","Matt Henry","7","24.3","7","9","7.59","20.67","16.33"
"9383","Michael Leask","4","16.0","4","9","7.62","13.56","10.67"
"9576","Corbin Bosch","7","25.0","7","11","7.64","17.36","13.64"
"6639","Liam Dawson","8","27.0","8","10","7.74","20.90","16.20"
"9793","Gudakesh Motie","7","22.0","7","10","7.86","17.30","13.20"
