"player_id","batter","runs","balls","sr","vs","4s","6s"
"1424075","Yuvraj Samra","110","65","169.23","New Zealand","11","6"
"19636","Jacob Bethell","105","48","218.75","India","8","7"
"11172","Finn Allen","100","33","303.03","South Africa","10","8"
"12201","Harry Brook","100","51","196.08","Pakistan","10","4"
"13682","Pathum Nissanka","100","52","192.31","Australia","10","5"
"13625","Sahibzada Farhan","100","58","172.41","Namibia","11","4"
"13625","Sahibzada Farhan","100","60","166.67","Sri Lanka","9","5"
"8271","Sanju Samson","97","50","194.00","West Indies","12","4"
"23616","Brian Bennett","97","59","164.41","India","8","6"
"12173","Ibrahim Zadran","95","56","169.64","Canada","7","5"
"11131","Lorcan Tucker","94","51","184.31","Oman","10","4"
"8271","Sanju Samson","89","42","211.90","England","8","7"
"9443","Tim Seifert","89","42","211.90","United Arab Emirates","12","3"
"9582","Aiden Markram","86","44","195.45","New Zealand","8","4"
"9789","Shimron Hetmyer","85","34","250.00","Zimbabwe","7","7"
