"player_id","batter","matches","inns","runs","90s","50s","h.s"
"23616","Brian Bennett","6","6","292","1","3","97"
"9582","Aiden Markram","8","8","286","0","3","86"
"9443","Tim Seifert","7","7","274","0","3","89"
"9494","Kusal Mendis","6","6","197","0","3","61"
"13625","Sahibzada Farhan","6","6","383","0","2","100"
"10276","Ishan Kishan","8","8","263","0","2","77"
"9789","Shimron Hetmyer","7","7","248","0","2","85"
"8271","Sanju Samson","4","4","232","1","2","97"
"10384","Shai Hope","7","7","217","0","2","75"
"15081","Pavan Rathnayake","7","7","205","0","2","60"
"9647","Hardik Pandya","8","8","199","0","2","52"
"12173","Ibrahim Zadran","4","4","170","1","2","95"
"11155","Dipendra Singh Airee","4","4","169","0","2","58"
"8422","Dasun Shanaka","7","6","165","0","2","76"
"14500","Ben Manenti","4","3","138","0","2","60"
