"player_id","player","matches","inns","runs","avg","sr","4s","6s"
"13625","Sahibzada Farhan","6","6","383","76.60","160.25","37","18"
"23616","Brian Bennett","6","6","292","146.00","134.56","32","7"
"11172","Finn Allen","7","7","289","57.80","203.52","24","20"
"9582","Aiden Markram","8","8","286","47.67","165.32","32","11"
"19636","Jacob Bethell","8","8","280","35.00","152.17","25","14"
"9443","Tim Seifert","7","7","274","45.67","161.18","32","11"
"10276","Ishan Kishan","8","8","263","32.88","189.21","29","14"
"9789","Shimron Hetmyer","7","7","248","41.33","186.47","16","19"
"7915","Suryakumar Yadav","8","8","242","34.57","137.50","21","10"
"12201","Harry Brook","8","8","235","29.38","159.86","21","9"
"8271","Sanju Samson","4","4","232","77.33","201.74","22","16"
"13070","Ryan Rickelton","8","8","228","32.57","170.15","17","15"
"12258","Will Jacks","8","8","226","56.50","176.56","18","14"
"10384","Shai Hope","7","7","217","36.17","130.72","19","10"
"13682","Pathum Nissanka","7","7","211","35.17","147.55","23","6"
