"player_id","batter","matches","inns","runs","6s"
"11172","Finn Allen","7","7","289","20"
"9789","Shimron Hetmyer","7","7","248","19"
"13625","Sahibzada Farhan","6","6","383","18"
"8271","Sanju Samson","4","4","232","16"
"13070","Ryan Rickelton","8","8","228","15"
"11195","Shivam Dube","8","7","209","15"
"8422","Dasun Shanaka","7","6","165","15"
"19636","Jacob Bethell","8","8","280","14"
"10276","Ishan Kishan","8","8","263","14"
"12258","Will Jacks","8","8","226","14"
"20538","Dewald Brevis","8","7","207","14"
"9647","Hardik Pandya","8","8","199","14"
"9354","Sikandar Raza","6","6","206","13"
"13748","Sherfane Rutherford","7","6","183","13"
"8313","Jason Holder","7","5","141","13"
