"player_id","player","matches","overs","balls","wkts","avg","runs","4_fers","5_fers"
"2245","Shadley van Schalkwyk","4","14.5","89","13","7.77","101","2","0"
"13316","Blessing Muzarabani","6","23.5","143","13","14.46","188","1","0"
"1742","Adil Rashid","8","30.4","184","13","19.23","250","0","0"
"12926","Varun Chakaravarthy","8","28.0","168","13","19.08","248","0","0"
"9603","Lungi Ngidi","7","26.0","156","12","15.58","187","1","0"
"14565","Marco Jansen","6","22.4","136","11","21.55","237","2","0"
"11177","Rachin Ravindra","7","17.0","102","11","10.64","117","1","0"
"18504","Maheesh Theekshana","7","27.3","165","11","18.55","204","0","0"
"9576","Corbin Bosch","7","25.0","150","11","17.36","191","0","0"
"11540","Jofra Archer","8","30.0","180","11","26.00","286","0","0"
"9311","Jasprit Bumrah","7","24.0","144","10","15.90","159","0","0"
"55799","Usman Tariq","5","19.3","117","10","14.10","141","1","0"
"6639","Liam Dawson","8","27.0","162","10","20.90","209","0","0"
"9793","Gudakesh Motie","7","22.0","132","10","17.30","173","1","0"
"8313","Jason Holder","7","23.0","138","10","20.40","204","1","0"
